number of controls,Q,Depth,Gittins,MDP,Number of MDP states
13,46,6,0.006828,10.811759,215774
14,45,5,0.005921,-1,>5000000
13,31,5,0.003538,32.692343,405517
12,43,5,0.001858,-1,>5000000
14,47,6,0.003010,640.474454,3998871
15,39,6,0.004393,94.798450,1665914
14,46,6,0.006400,-1,>5000000
12,31,7,0.003716,10.811784,105987
14,49,6,0.005844,-1,>5000000
10,23,5,0.002674,0.068253,1263
12,38,8,0.002190,471.706337,3425964
11,36,5,0.002816,3.295717,11332
14,45,6,0.007901,7.734028,141989
12,35,7,0.001325,167.027743,1332810
14,34,6,0.003984,32.006257,576703
14,45,7,0.006161,329.293097,3663174
10,27,4,0.002576,3.371451,22778
12,37,6,0.001842,48.030646,640211
10,20,7,0.000661,1.626511,12957
10,32,4,0.003210,1.231592,26516
10,24,6,0.001139,2.052774,29738
11,25,5,0.001251,0.242214,3209
13,42,7,0.005131,45.786657,864594
14,37,7,0.013622,3.691897,28954
11,36,4,0.003792,6.145760,123175
31,129,14,0.034099,TIMEOUT,NA
41,111,14,0.021263,TIMEOUT,NA
43,150,12,0.030491,-1,>5000000
44,144,16,0.011107,-1,>5000000
38,148,13,0.021466,-1,>5000000
44,100,11,0.008377,-1,>5000000
35,150,15,0.017473,-1,>5000000
43,102,12,0.008590,-1,>5000000
37,122,12,0.009375,TIMEOUT,NA
32,117,10,0.007605,-1,>5000000
42,133,12,0.010233,-1,>5000000
31,113,11,0.011556,-1,>5000000
41,116,14,0.007315,-1,>5000000
42,126,11,0.015622,-1,>5000000
13,42,6,0.005518,1.730755,20736
14,45,7,0.004559,3.651440,40783
12,30,8,0.003368,4.951439,85042
14,36,7,0.002716,13.789105,209548
15,45,6,0.003994,176.911144,1987932
