network_id,structure,n_controls,total_Q,depth,mode,rho,seed,task,index_time_s,mdp_time_s,mdp_status,mdp_states,ell,probs
0,"Ser(Ser(Ser(get_credentials,Par(Ser(find_LAN_access_port,spoof_MAC_address),Ser(find_WLAN,break_WPA_keys))),exploit_software_vulnerability),run_malicous_script)",7,26,5,random,0.9,0,both,0.001195,0.006481,ok,208,"{""get_credentials"": 0.21, ""find_LAN_access_port"": 0.1, ""spoof_MAC_address"": 0.14, ""find_WLAN"": 0.11, ""break_WPA_keys"": 0.15, ""exploit_software_vulnerability"": 0.17, ""run_malicous_script"": 0.12}","{""get_credentials"": [0.88, 0.73, 0.55, 0.36, 0.22], ""find_LAN_access_port"": [0.79, 0.61, 0.38], ""spoof_MAC_address"": [0.93, 0.82, 0.68, 0.51], ""find_WLAN"": [0.77, 0.58, 0.36], ""break_WPA_keys"": [0.66, 0.49, 0.31, 0.18], ""exploit_software_vulnerability"": [0.95, 0.81, 0.63, 0.41], ""run_malicous_script"": [0.84, 0.69, 0.47]}"
1,"Ser(Par(Ser(BribeProgrammer,ProgrammerObtainsTheCode),Par(Ser(HireRobberA,Ser(BugInComputerSystem,ExploitBug)),Ser(HireRobberB,RobberBreaksIntoSystem))),UseCodeInProduct)",8,29,5,random,0.9,0,both,0.001478,0.022335,ok,2598,"{""BribeProgrammer"": 0.16, ""ProgrammerObtainsTheCode"": 0.15, ""HireRobberA"": 0.065, ""BugInComputerSystem"": 0.15, ""ExploitBug"": 0.11, ""HireRobberB"": 0.065, ""RobberBreaksIntoSystem"": 0.12, ""UseCodeInProduct"": 0.18}","{""BribeProgrammer"": [0.88, 0.75, 0.57, 0.39], ""ProgrammerObtainsTheCode"": [0.91, 0.8, 0.66, 0.49], ""HireRobberA"": [0.82, 0.69, 0.51], ""BugInComputerSystem"": [0.9, 0.77, 0.61, 0.43], ""ExploitBug"": [0.86, 0.72, 0.54], ""HireRobberB"": [0.82, 0.69, 0.51], ""RobberBreaksIntoSystem"": [0.78, 0.59, 0.37], ""UseCodeInProduct"": [0.95, 0.89, 0.79, 0.64, 0.42]}"
2,"Par(Par(Par(BreakIntoComputerCentre,Unattended Guest),Par(CorruptSysAdmin,Par(Ser(ObtainPasswordFileA,EncounterGuessablePasswordA),Par(LookOverSysAdminShoulderA,TrojanHorseSAAccountA)))),Par(Ser(ObtainPasswordFileB,EncounterGuessablePasswordB),Par(LookOverSysAdminShoulderB,TrojanHorseSAAccountB)))",11,43,5,random,0.9,0,both,0.000516,220.497008,ok,4839996,"{""BreakIntoComputerCentre"": 0.12, ""Unattended Guest"": 0.11, ""CorruptSysAdmin"": 0.14, ""ObtainPasswordFileA"": 0.085, ""EncounterGuessablePasswordA"": 0.09, ""LookOverSysAdminShoulderA"": 0.075, ""TrojanHorseSAAccountA"": 0.065, ""ObtainPasswordFileB"": 0.085, ""EncounterGuessablePasswordB"": 0.09, ""LookOverSysAdminShoulderB"": 0.075, ""TrojanHorseSAAccountB"": 0.065}","{""BreakIntoComputerCentre"": [0.69, 0.53, 0.36], ""Unattended Guest"": [0.88, 0.77, 0.61], ""CorruptSysAdmin"": [0.94, 0.85, 0.73], ""ObtainPasswordFileA"": [0.75, 0.6, 0.45, 0.3], ""EncounterGuessablePasswordA"": [0.91, 0.81, 0.68, 0.52, 0.37], ""LookOverSysAdminShoulderA"": [0.84, 0.71, 0.55, 0.38], ""TrojanHorseSAAccountA"": [0.78, 0.64, 0.48, 0.31], ""ObtainPasswordFileB"": [0.75, 0.6, 0.45, 0.3], ""EncounterGuessablePasswordB"": [0.91, 0.81, 0.68, 0.52, 0.37], ""LookOverSysAdminShoulderB"": [0.84, 0.71, 0.55, 0.38], ""TrojanHorseSAAccountB"": [0.78, 0.64, 0.48, 0.31]}"
3,"Par(Ser(Par(Ser(Impersonation,User_login),Par(Password_attack,Unauthorized_login)),Par(Packet_spoofing,Sync_flood)),Par(Ser(SQL_injection,Insert_malicious_scripts),Ser(Ser(Capture_packets,Analyze_packets),Modify_sensitive_data)))",11,11,4,random,0.9,0,both,0.000167,1.039964,ok,2172,"{""Impersonation"": 0.09, ""User_login"": 0.08, ""Password_attack"": 0.08, ""Unauthorized_login"": 0.09, ""Packet_spoofing"": 0.07, ""Sync_flood"": 0.07, ""SQL_injection"": 0.12, ""Insert_malicious_scripts"": 0.09, ""Capture_packets"": 0.1, ""Analyze_packets"": 0.11, ""Modify_sensitive_data"": 0.1}","{""Impersonation"": [0.006892], ""User_login"": [0.0089], ""Password_attack"": [0.008687], ""Unauthorized_login"": [0.008687], ""Packet_spoofing"": [0.0068], ""Sync_flood"": [0.0068], ""SQL_injection"": [0.00231788], ""Insert_malicious_scripts"": [0.008], ""Capture_packets"": [0.00098], ""Analyze_packets"": [0.0048], ""Modify_sensitive_data"": [0.002642]}"
4,"Par(Par(Par(Guessing,Dictionary),Bruteforce),Par(Ser(GenericReconnaissanceA,Par(EmailTrapExecution,PhoneTrapExecution)),Ser(Par(Ser(Ser(GenericReconnaissanceB,PayloadCrafting),EmailFileExecution),Ser(PhysicalReconnaissance,KeyloggerLocalInstallation)),PasswordIntercept)))",12,37,6,random,0.9,0,both,0.000615,9.378660,ok,299468,"{""Guessing"": 0.08, ""Dictionary"": 0.09, ""Bruteforce"": 0.12, ""GenericReconnaissanceA"": 0.05, ""EmailTrapExecution"": 0.08, ""PhoneTrapExecution"": 0.07, ""GenericReconnaissanceB"": 0.05, ""PayloadCrafting"": 0.09, ""EmailFileExecution"": 0.08, ""PhysicalReconnaissance"": 0.11, ""KeyloggerLocalInstallation"": 0.11, ""PasswordIntercept"": 0.07}","{""Guessing"": [0.32, 0.18, 0.09, 0.04], ""Dictionary"": [0.78, 0.62, 0.48], ""Bruteforce"": [0.14, 0.08, 0.04, 0.02, 0.01], ""GenericReconnaissanceA"": [0.92, 0.81, 0.66], ""EmailTrapExecution"": [0.29, 0.17, 0.08], ""PhoneTrapExecution"": [0.25, 0.13], ""GenericReconnaissanceB"": [0.92, 0.81, 0.66], ""PayloadCrafting"": [0.67, 0.49, 0.31], ""EmailFileExecution"": [0.58, 0.41, 0.24], ""PhysicalReconnaissance"": [0.74, 0.57, 0.39], ""KeyloggerLocalInstallation"": [0.46, 0.3, 0.18], ""PasswordIntercept"": [0.55, 0.38]}"
5,"Par(Ser(10,Ser(11,12)),Par(13,Par(14,Par(15,Par(16,Par(17,Par(18,Par(19,Par(20,Par(3,Par(Ser(21,22),Par(Ser(23,24),Par(25,26)))))))))))))",18,18,13,random,0.9,0,both,0.000171,13.174500,ok,196596,"{""10"": 0.036781, ""11"": 0.034264, ""12"": 0.015113, ""13"": 0.02939, ""14"": 0.027554, ""15"": 0.058449, ""16"": 0.100465, ""17"": 0.113461, ""18"": 0.038877, ""19"": 0.020671, ""20"": 0.067029, ""3"": 0.000353, ""21"": 0.059701, ""22"": 0.091846, ""23"": 0.007425, ""24"": 0.033313, ""25"": 0.014321, ""26"": 0.250987}","{""10"": [0.129], ""11"": [0.129], ""12"": [0.129], ""13"": [0.00027], ""14"": [0.00027], ""15"": [0.00027], ""16"": [0.00027], ""17"": [0.00027], ""18"": [0.00027], ""19"": [0.00027], ""20"": [0.00027], ""3"": [0.00431], ""21"": [0.0379], ""22"": [0.0379], ""23"": [0.0379], ""24"": [0.0379], ""25"": [0.00072], ""26"": [0.00072]}"
6,"Par(X1,Par(X2,Par(X3,Par(X4,Par(X5,Par(X6,Par(X7,Par(X8,Par(X9,Par(X10,Par(X11,Par(X12,Par(X13,Par(X14,Par(X15,Par(X16,Par(X17,Par(X18,Par(X19,Par(X20,Par(X21,Par(X22,Par(X23,Par(X24,Par(X25,Par(X26,Par(X27,Par(X28,Par(X29,Par(X30,Par(X31,Par(X32,Par(X33,Par(X34,Par(X35,Par(X36,Par(X37,Par(X38,Par(X44,Par(X45,Par(X39,Par(X40,Par(X41,Par(X42,X43))))))))))))))))))))))))))))))))))))))))))))",45,45,44,random,0.9,0,both,0.000241,-1,timeout,,"{""X1"": 0.004288, ""X2"": 0.032102, ""X3"": 0.073443, ""X4"": 0.028607, ""X5"": 0.090067, ""X6"": 0.010579, ""X7"": 0.0284, ""X8"": 0.000778, ""X9"": 0.09552, ""X10"": 0.011924, ""X11"": 0.001654, ""X12"": 0.034074, ""X13"": 0.020836, ""X14"": 0.034189, ""X15"": 0.027374, ""X16"": 0.021183, ""X17"": 0.0228, ""X18"": 0.056395, ""X19"": 0.015375, ""X20"": 0.01429, ""X21"": 0.004628, ""X22"": 0.030622, ""X23"": 0.051674, ""X24"": 0.019476, ""X25"": 0.009675, ""X26"": 0.045167, ""X27"": 0.004893, ""X28"": 0.035602, ""X29"": 0.016399, ""X30"": 0.002236, ""X31"": 0.008422, ""X32"": 0.038913, ""X33"": 0.001397, ""X34"": 0.005787, ""X35"": 0.002547, ""X36"": 0.010828, ""X37"": 0.018998, ""X38"": 0.00913, ""X44"": 0.005975, ""X45"": 0.003733, ""X39"": 0.017587, ""X40"": 0.003496, ""X41"": 0.000606, ""X42"": 0.023201, ""X43"": 0.00513}","{""X1"": [0.02365], ""X2"": [0.03979], ""X3"": [0.07824], ""X4"": [0.03573], ""X5"": [0.02317], ""X6"": [0.07778], ""X7"": [0.07368], ""X8"": [0.08013], ""X9"": [0.03493], ""X10"": [0.02893], ""X11"": [0.03023], ""X12"": [0.03099], ""X13"": [0.0443], ""X14"": [0.04241], ""X15"": [0.04644], ""X16"": [0.03584], ""X17"": [0.03934], ""X18"": [0.0444], ""X19"": [0.04241], ""X20"": [0.02915], ""X21"": [0.0407], ""X22"": [0.04567], ""X23"": [0.04006], ""X24"": [0.02483], ""X25"": [0.06356], ""X26"": [0.06745], ""X27"": [0.02915], ""X28"": [0.06011], ""X29"": [0.07254], ""X30"": [0.02317], ""X31"": [0.07318], ""X32"": [0.07757], ""X33"": [0.06908], ""X34"": [0.03438], ""X35"": [0.07056], ""X36"": [0.03714], ""X37"": [0.02915], ""X38"": [0.06111], ""X44"": [0.03143], ""X45"": [0.03338], ""X39"": [0.03438], ""X40"": [0.03099], ""X41"": [0.04464], ""X42"": [0.03584], ""X43"": [0.03934]}"
7,"Par(Signal_and_communication,Par(Frogs__switches_and_track_appliances,Par(Other_way_and_structure,Par(Rail__joint_bar_and_rail_anchoring,Par(Roadbed,Par(Track_geometry,Par(Brakes__use_of,Par(General_switching_rules,Par(Loading_procedures,Par(Miscellaneous,Par(Speed,Par(Switches__use_of,Par(Train_handling/train_makeup,Par(Axles_and_journal_bearings,Par(Body,Par(Brakes,Par(Coupler_and_draft_system,Par(General_mechanical_and_electrical_failures,Par(Locomotive,Par(Truck_component,Par(Wheels,Par(Environmental_conditions,Par(Loading_procedures_misc,Par(Other_miscellaneous,Unusual_operating_situations))))))))))))))))))))))))",25,25,24,random,0.9,0,both,0.000169,-1,statecap,,"{""Signal_and_communication"": 0.002148, ""Frogs__switches_and_track_appliances"": 0.010568, ""Other_way_and_structure"": 0.004342, ""Rail__joint_bar_and_rail_anchoring"": 0.030465, ""Roadbed"": 0.033741, ""Track_geometry"": 0.013161, ""Brakes__use_of"": 0.056928, ""General_switching_rules"": 0.018732, ""Loading_procedures"": 0.02395, ""Miscellaneous"": 0.035507, ""Speed"": 0.062427, ""Switches__use_of"": 0.043224, ""Train_handling/train_makeup"": 0.053032, ""Axles_and_journal_bearings"": 0.010534, ""Body"": 0.062032, ""Brakes"": 0.118691, ""Coupler_and_draft_system"": 0.059843, ""General_mechanical_and_electrical_failures"": 0.01236, ""Locomotive"": 0.013576, ""Truck_component"": 0.002632, ""Wheels"": 0.10395, ""Environmental_conditions"": 0.037351, ""Loading_procedures_misc"": 0.073225, ""Other_miscellaneous"": 0.033763, ""Unusual_operating_situations"": 0.083818}","{""Signal_and_communication"": [1e-05], ""Frogs__switches_and_track_appliances"": [4e-05], ""Other_way_and_structure"": [1e-05], ""Rail__joint_bar_and_rail_anchoring"": [0.0002], ""Roadbed"": [6e-05], ""Track_geometry"": [0.00014], ""Brakes__use_of"": [1e-06], ""General_switching_rules"": [3e-05], ""Loading_procedures"": [1e-06], ""Miscellaneous"": [3e-05], ""Speed"": [2e-05], ""Switches__use_of"": [4e-05], ""Train_handling/train_makeup"": [0.00012], ""Axles_and_journal_bearings"": [9e-05], ""Body"": [1e-05], ""Brakes"": [6e-05], ""Coupler_and_draft_system"": [1e-05], ""General_mechanical_and_electrical_failures"": [1e-06], ""Locomotive"": [7e-05], ""Truck_component"": [4e-05], ""Wheels"": [8e-05], ""Environmental_conditions"": [7e-05], ""Loading_procedures_misc"": [4e-05], ""Other_miscellaneous"": [2e-05], ""Unusual_operating_situations"": [5e-05]}"
8,"Par(Truck_componenets,Par(Brakes__use_of,Par(Flagging__fixed__hand_and_radio_signals,Par(General_switching_rules,Par(Main-track_authority,Par(Miscellaneous,Par(Speed,Par(Train_handling/train_makeup,Unusual_operating_situations))))))))",9,9,8,random,0.9,0,both,0.000068,0.012721,ok,511,"{""Truck_componenets"": 0.132169, ""Brakes__use_of"": 0.182575, ""Flagging__fixed__hand_and_radio_signals"": 0.127361, ""General_switching_rules"": 0.07327, ""Main-track_authority"": 0.00604, ""Miscellaneous"": 0.058309, ""Speed"": 0.15446, ""Train_handling/train_makeup"": 0.25683, ""Unusual_operating_situations"": 0.008986}","{""Truck_componenets"": [0.00037], ""Brakes__use_of"": [0.0011], ""Flagging__fixed__hand_and_radio_signals"": [0.00074], ""General_switching_rules"": [0.00037], ""Main-track_authority"": [0.0015], ""Miscellaneous"": [0.00074], ""Speed"": [0.003], ""Train_handling/train_makeup"": [0.00037], ""Unusual_operating_situations"": [0.00037]}"
9,"Par(B1,Par(B2,Par(B4,Par(B5,Par(B10,Par(Ser(Par(B7,Par(B8,B3)),Par(B9,Par(B16,Par(B17,Par(B18,Par(B19,Par(B26,Par(B27,Par(B14,Par(B15,Par(B11,Par(B12,B13)))))))))))),Par(B6,Par(B25,Par(B21,Par(B22,Par(B23,Par(B20,B24))))))))))))",27,27,18,random,0.9,0,both,0.000398,-1,statecap,,"{""B1"": 0.108515, ""B2"": 0.00223, ""B4"": 0.143306, ""B5"": 0.00273, ""B10"": 0.003409, ""B7"": 0.005757, ""B8"": 0.021004, ""B3"": 0.010423, ""B9"": 0.017741, ""B16"": 0.013232, ""B17"": 0.079448, ""B18"": 0.041575, ""B19"": 0.01604, ""B26"": 0.000214, ""B27"": 0.000766, ""B14"": 0.019963, ""B15"": 0.088658, ""B11"": 0.02482, ""B12"": 0.019404, ""B13"": 0.004386, ""B6"": 0.125473, ""B25"": 0.018608, ""B21"": 0.07185, ""B22"": 0.029147, ""B23"": 0.019269, ""B20"": 0.09007, ""B24"": 0.021962}","{""B1"": [3e-05], ""B2"": [3e-05], ""B4"": [0.00236], ""B5"": [3e-05], ""B10"": [1e-05], ""B7"": [9e-05], ""B8"": [3e-05], ""B3"": [4e-05], ""B9"": [0.00953], ""B16"": [0.00315], ""B17"": [0.02551], ""B18"": [0.00418], ""B19"": [0.00276], ""B26"": [0.00108], ""B27"": [0.00077], ""B14"": [0.00324], ""B15"": [0.0039], ""B11"": [1e-06], ""B12"": [1e-06], ""B13"": [1e-06], ""B6"": [3e-05], ""B25"": [0.00051], ""B21"": [1e-05], ""B22"": [0.00215], ""B23"": [0.00276], ""B20"": [0.00275], ""B24"": [0.0039]}"
