network_id,method,iteration,opt_gap,rm_regret,objective,cum_runtime_s
0,1,1,0.13350133,0.18203837,0.37406745,0.005505
0,1,10,0.01959137,0.03733772,0.26015749,0.045854
0,1,20,0.00985024,0.02080001,0.25041636,0.092832
0,1,30,0.00630688,0.01451487,0.24687300,0.144120
0,1,40,0.00455207,0.01121899,0.24511818,0.189293
0,1,50,0.00348958,0.00921243,0.24405570,0.229796
0,1,60,0.00279917,0.00781005,0.24336529,0.270533
0,1,70,0.00235506,0.00683469,0.24292118,0.307917
0,1,80,0.00205788,0.00610341,0.24262400,0.340591
0,1,90,0.00175450,0.00548199,0.24232062,0.371655
0,1,100,0.00153287,0.00497257,0.24209899,0.402236
0,1,110,0.00136339,0.00459103,0.24192951,0.431528
0,1,120,0.00122739,0.00425109,0.24179351,0.461667
0,1,130,0.00114209,0.00400501,0.24170820,0.493312
0,1,140,0.00107495,0.00379804,0.24164107,0.525077
0,1,150,0.00098118,0.00357264,0.24154730,0.552813
0,1,160,0.00090946,0.00338717,0.24147558,0.579226
0,1,170,0.00085017,0.00322499,0.24141629,0.604965
0,1,180,0.00080950,0.00309366,0.24137562,0.632965
0,1,190,0.00073504,0.00293588,0.24130116,0.658225
0,1,200,0.00068017,0.00280592,0.24124628,0.683884
0,1,210,0.00063725,0.00269400,0.24120336,0.709839
0,1,220,0.00061509,0.00261102,0.24118121,0.735709
0,1,230,0.00058375,0.00252315,0.24114986,0.762326
0,1,240,0.00056917,0.00245823,0.24113529,0.787904
0,1,250,0.00052705,0.00236783,0.24109317,0.813115
0,1,260,0.00049184,0.00228764,0.24105795,0.838907
0,1,270,0.00047118,0.00222585,0.24103730,0.864618
0,1,280,0.00044960,0.00216561,0.24101572,0.890185
0,1,290,0.00043057,0.00211088,0.24099669,0.915791
0,1,300,0.00041619,0.00206329,0.24098231,0.941303
0,1,310,0.00039201,0.00200791,0.24095812,0.966618
0,1,320,0.00037218,0.00195815,0.24093830,0.992083
0,1,330,0.00035274,0.00191073,0.24091886,1.017441
0,1,340,0.00034008,0.00187178,0.24090620,1.042831
0,1,350,0.00033574,0.00184361,0.24090186,1.068184
0,1,360,0.00031203,0.00179627,0.24087814,1.094513
0,1,370,0.00029349,0.00175520,0.24085961,1.120220
0,1,380,0.00028066,0.00172094,0.24084678,1.146534
0,1,390,0.00026912,0.00168954,0.24083523,1.171712
0,1,400,0.00026445,0.00166642,0.24083057,1.197139
0,1,410,0.00025956,0.00164380,0.24082568,1.222340
0,1,420,0.00024474,0.00161161,0.24081086,1.247712
0,1,430,0.00023072,0.00158079,0.24079684,1.272644
0,1,440,0.00022651,0.00156082,0.24079263,1.298328
0,1,450,0.00022023,0.00153947,0.24078635,1.323442
0,1,460,0.00020443,0.00150920,0.24077055,1.348698
0,1,470,0.00019133,0.00148196,0.24075745,1.374050
0,1,480,0.00018524,0.00146240,0.24075136,1.399673
0,1,490,0.00017540,0.00143954,0.24074151,1.425284
0,1,500,0.00017037,0.00142217,0.24073649,1.451243
0,1,510,0.00016593,0.00140595,0.24073205,1.476844
0,1,520,0.00015706,0.00138585,0.24072317,1.504341
0,1,530,0.00014965,0.00136747,0.24071577,1.529734
0,1,540,0.00014109,0.00134825,0.24070721,1.555180
0,1,550,0.00013627,0.00133327,0.24070239,1.580598
0,1,560,0.00013007,0.00131723,0.24069619,1.605878
0,1,570,0.00012858,0.00130642,0.24069470,1.631086
0,1,580,0.00011859,0.00128726,0.24068470,1.656677
0,1,590,0.00011302,0.00127283,0.24067913,1.681966
0,1,600,0.00010543,0.00125657,0.24067155,1.707202
0,1,610,0.00010204,0.00124486,0.24066816,1.732515
0,1,620,0.00009889,0.00123371,0.24066501,1.758430
0,1,630,0.00009180,0.00121889,0.24065792,1.790532
0,1,640,0.00008394,0.00120334,0.24065005,1.822217
0,1,650,0.00007907,0.00119100,0.24064518,1.861224
