network_id,method,iteration,opt_gap,rm_regret,objective,cum_runtime_s
0,1,1,0.13350133,0.18203837,0.37406745,0.002602
0,1,250,0.00052705,0.00236783,0.24109317,0.291030
0,1,500,0.00017037,0.00142217,0.24073649,0.584159
0,1,750,0.00003459,0.00108345,0.24060071,0.873040
0,1,850,0.00000000,0.00099974,0.24056612,0.989858
0,2,1,0.13350133,0.18249606,0.37406745,0.074546
0,2,250,0.00040799,0.00215150,0.24097411,17.971047
0,2,500,0.00014891,0.00133245,0.24071503,36.027486
0,2,750,0.00004617,0.00106214,0.24061228,54.172806
0,2,868,0.00000853,0.00099813,0.24057465,62.679893
1,1,1,0.17424737,0.78644245,0.73275539,0.002030
1,1,250,0.00808587,0.02857354,0.56659389,0.362114
1,1,500,0.00602936,0.01862247,0.56453739,0.712472
1,1,750,0.00499227,0.01523338,0.56350029,1.066176
1,1,1000,0.00436460,0.01286100,0.56287262,1.412641
1,1,1250,0.00388561,0.01144865,0.56239364,1.777650
1,1,1500,0.00355295,0.01020888,0.56206097,2.137923
1,1,1750,0.00327267,0.00942067,0.56178070,2.486336
1,1,2000,0.00304043,0.00870175,0.56154845,2.840002
1,1,2250,0.00285555,0.00819112,0.56136357,3.186710
1,1,2500,0.00269336,0.00775700,0.56120139,3.538235
1,1,2750,0.00255398,0.00735809,0.56106200,3.884784
1,1,3000,0.00243214,0.00711563,0.56094017,4.233080
1,1,3250,0.00232835,0.00677748,0.56083637,4.594222
1,1,3500,0.00223771,0.00655602,0.56074573,4.949878
1,1,3750,0.00215003,0.00628518,0.56065806,5.299235
1,1,4000,0.00207365,0.00607810,0.56058167,5.657628
1,1,4250,0.00200210,0.00592343,0.56051012,6.025559
1,1,4500,0.00193937,0.00570944,0.56044740,6.392182
1,1,4750,0.00187656,0.00556898,0.56038458,6.754042
1,1,5000,0.00181852,0.00542800,0.56032655,7.101375
1,1,5250,0.00176621,0.00532253,0.56027423,7.470664
1,1,5500,0.00171718,0.00520082,0.56022521,7.832858
1,1,5750,0.00167325,0.00503676,0.56018128,8.190076
1,1,6000,0.00162915,0.00497878,0.56013717,8.549396
1,1,6250,0.00159126,0.00482737,0.56009929,8.917814
1,1,6500,0.00155336,0.00475544,0.56006138,9.288881
1,1,6750,0.00151912,0.00465922,0.56002714,9.640972
1,1,7000,0.00148719,0.00460353,0.55999522,9.990335
1,1,7250,0.00145726,0.00449383,0.55996529,10.359757
1,1,7500,0.00142714,0.00444811,0.55993516,10.728032
1,1,7750,0.00139978,0.00434174,0.55990780,11.077005
1,1,8000,0.00137205,0.00430239,0.55988008,11.430024
1,1,8250,0.00134700,0.00422099,0.55985503,11.787866
1,1,8500,0.00132219,0.00415988,0.55983022,12.146036
1,1,8750,0.00129828,0.00407640,0.55980631,12.508671
1,1,9000,0.00127527,0.00405684,0.55978329,12.869802
1,1,9250,0.00125453,0.00396782,0.55976256,13.220872
1,1,9500,0.00123245,0.00391441,0.55974048,13.579073
1,1,9750,0.00121278,0.00388996,0.55972081,13.930373
1,1,10000,0.00119302,0.00381482,0.55970105,14.283451
1,1,10250,0.00117417,0.00376582,0.55968220,14.647069
1,1,10500,0.00115648,0.00375271,0.55966451,15.002336
1,1,10750,0.00113881,0.00369239,0.55964683,15.354998
1,1,11000,0.00112173,0.00365162,0.55962976,15.706999
1,1,11250,0.00110548,0.00361252,0.55961350,16.058447
1,1,11500,0.00108941,0.00356239,0.55959743,16.409919
1,1,11750,0.00107421,0.00352855,0.55958224,16.759622
1,1,12000,0.00105911,0.00348388,0.55956713,17.113610
1,1,12250,0.00104466,0.00346190,0.55955269,17.466241
1,1,12500,0.00103032,0.00341984,0.55953834,17.815325
1,1,12750,0.00101647,0.00339916,0.55952450,18.164552
1,1,13000,0.00100289,0.00335631,0.55951091,18.530448
1,1,13250,0.00099035,0.00331529,0.55949838,18.886792
1,1,13500,0.00097765,0.00329125,0.55948568,19.237230
1,1,13750,0.00096570,0.00327463,0.55947373,19.588610
1,1,14000,0.00095346,0.00322479,0.55946149,19.935971
1,1,14250,0.00094165,0.00320437,0.55944967,20.303837
1,1,14500,0.00093005,0.00316855,0.55943808,20.669275
1,1,14750,0.00091946,0.00315874,0.55942748,21.029436
1,1,15000,0.00090868,0.00312932,0.55941670,21.382660
1,1,15250,0.00089830,0.00309814,0.55940632,21.741575
1,1,15500,0.00088796,0.00308080,0.55939598,22.104272
1,1,15750,0.00087786,0.00304270,0.55938589,22.467074
1,1,16000,0.00086769,0.00303363,0.55937572,22.826273
1,1,16250,0.00085814,0.00299920,0.55936616,23.182303
1,1,16500,0.00084860,0.00296624,0.55935662,23.549817
1,1,16750,0.00083941,0.00294870,0.55934743,23.909720
1,1,17000,0.00083019,0.00292686,0.55933821,24.265802
1,1,17250,0.00082126,0.00291087,0.55932929,24.612379
1,1,17500,0.00081270,0.00289691,0.55932072,24.957819
1,1,17750,0.00080375,0.00287439,0.55931178,25.302737
1,1,18000,0.00079514,0.00285453,0.55930317,25.660157
1,1,18250,0.00078699,0.00282626,0.55929502,26.016709
1,1,18500,0.00077909,0.00280763,0.55928712,26.370058
1,1,18750,0.00077119,0.00278601,0.55927922,26.723829
1,1,19000,0.00076341,0.00276568,0.55927144,27.079927
1,1,19250,0.00075593,0.00274802,0.55926396,27.445158
1,1,19500,0.00074829,0.00273012,0.55925631,27.795869
1,1,19750,0.00074087,0.00271591,0.55924889,28.141249
1,1,20000,0.00073372,0.00269215,0.55924175,28.502111
1,1,20250,0.00072639,0.00267769,0.55923442,28.860839
1,1,20500,0.00071965,0.00266436,0.55922767,29.211696
1,1,20750,0.00071301,0.00264123,0.55922103,29.573038
1,1,21000,0.00070602,0.00263709,0.55921404,29.936298
1,1,21250,0.00069959,0.00261129,0.55920762,30.303952
1,1,21500,0.00069323,0.00259929,0.55920126,30.669705
1,1,21750,0.00068711,0.00258076,0.55919513,31.019539
1,1,22000,0.00068099,0.00257046,0.55918901,31.379560
1,1,22250,0.00067486,0.00255785,0.55918289,31.737721
1,1,22500,0.00066870,0.00253836,0.55917672,32.092606
1,1,22750,0.00066285,0.00252562,0.55917087,32.457588
1,1,23000,0.00065690,0.00251898,0.55916493,32.825488
1,1,23250,0.00065117,0.00249644,0.55915920,33.171761
1,1,23500,0.00064554,0.00248311,0.55915356,33.520360
1,1,23750,0.00064012,0.00247512,0.55914815,33.867893
1,1,24000,0.00063482,0.00245815,0.55914285,34.219867
1,1,24250,0.00062947,0.00244282,0.55913749,34.583524
1,1,24500,0.00062425,0.00244084,0.55913227,34.947365
1,1,24750,0.00061892,0.00242896,0.55912695,35.311770
1,1,25000,0.00061368,0.00241655,0.55912171,35.668189
1,1,25250,0.00060856,0.00239948,0.55911658,36.014457
