network_id,method,iteration,opt_gap,rm_regret,objective,cum_runtime_s
0,1,1,0.13380853,0.18724309,0.34728957,0.002553
0,1,500,0.00016266,0.00143142,0.21364369,0.560787
0,1,873,0.00000000,0.00099915,0.21348104,0.977147
0,2,1,0.13380853,0.17810326,0.34728957,0.009378
0,2,499,-0.00019589,0.00098887,0.21328515,4.276106
1,1,1,0.18283168,0.84537229,0.71186240,0.001670
1,1,500,0.00611624,0.02004606,0.53514696,0.689858
1,1,1000,0.00442583,0.01351687,0.53345655,1.375309
1,1,1500,0.00363217,0.01104879,0.53266289,2.061689
1,1,2000,0.00317095,0.00934951,0.53220166,2.746326
1,1,2500,0.00283942,0.00835128,0.53187014,3.431701
1,1,3000,0.00258540,0.00765364,0.53161612,4.113357
1,1,3500,0.00237562,0.00706196,0.53140633,4.798607
1,1,4000,0.00221052,0.00659152,0.53124123,5.481284
1,1,4500,0.00207169,0.00620150,0.53110240,6.167456
1,1,5000,0.00195396,0.00587498,0.53098467,6.855033
1,1,5500,0.00185276,0.00561692,0.53088348,7.536799
1,1,6000,0.00176162,0.00535986,0.53079234,8.216127
1,1,6500,0.00168080,0.00517212,0.53071151,8.899134
1,1,7000,0.00160686,0.00499399,0.53063758,9.581677
1,1,7500,0.00153994,0.00477185,0.53057066,10.266144
1,1,8000,0.00147964,0.00462171,0.53051036,10.948727
1,1,8500,0.00142453,0.00447987,0.53045525,11.631336
1,1,9000,0.00137291,0.00435246,0.53040363,12.316354
1,1,9500,0.00132380,0.00424730,0.53035452,12.997260
1,1,10000,0.00127987,0.00415168,0.53031059,13.679688
1,1,10500,0.00123954,0.00403571,0.53027026,14.361115
1,1,11000,0.00120103,0.00394175,0.53023175,15.045190
1,1,11500,0.00116549,0.00385450,0.53019620,15.729962
1,1,12000,0.00113037,0.00377062,0.53016109,16.412798
1,1,12500,0.00109854,0.00368255,0.53012926,17.099052
1,1,13000,0.00106776,0.00362246,0.53009848,17.780083
1,1,13500,0.00103889,0.00354385,0.53006960,18.463596
1,1,14000,0.00101154,0.00347959,0.53004226,19.139922
1,1,14500,0.00098614,0.00341204,0.53001686,19.822559
1,1,15000,0.00096074,0.00335771,0.52999146,20.505548
1,1,15500,0.00093735,0.00329905,0.52996807,21.190846
1,1,16000,0.00091456,0.00325101,0.52994528,21.876311
1,1,16500,0.00089329,0.00320253,0.52992400,22.562468
1,1,17000,0.00087370,0.00314691,0.52990441,23.246913
1,1,17500,0.00085483,0.00310393,0.52988554,23.933934
1,1,18000,0.00083615,0.00306627,0.52986687,24.619790
1,1,18500,0.00081853,0.00303314,0.52984925,25.300923
1,1,19000,0.00080094,0.00297603,0.52983166,25.985385
1,1,19500,0.00078436,0.00293621,0.52981508,26.669807
1,1,20000,0.00076871,0.00291357,0.52979943,27.355201
1,1,20500,0.00075358,0.00287081,0.52978429,28.040959
1,1,21000,0.00073911,0.00283139,0.52976983,28.720852
1,1,21500,0.00072504,0.00280283,0.52975576,29.406804
1,1,22000,0.00071107,0.00276618,0.52974178,30.092682
1,1,22500,0.00069787,0.00273298,0.52972859,30.775501
1,1,23000,0.00068511,0.00270732,0.52971582,31.460098
1,1,23500,0.00067254,0.00267796,0.52970326,32.145850
1,1,24000,0.00066027,0.00264536,0.52969098,32.827691
1,1,24500,0.00064843,0.00262814,0.52967915,33.507608
1,1,25000,0.00063720,0.00259811,0.52966792,34.188135
1,1,25500,0.00062615,0.00257748,0.52965687,34.868638
1,1,26000,0.00061546,0.00254553,0.52964618,35.551607
1,1,26500,0.00060511,0.00252538,0.52963583,36.235088
1,1,27000,0.00059493,0.00249280,0.52962564,36.919122
1,1,27500,0.00058494,0.00248061,0.52961566,37.602074
1,1,28000,0.00057507,0.00245006,0.52960579,38.285721
1,1,28500,0.00056568,0.00242564,0.52959639,38.967311
1,1,29000,0.00055652,0.00241485,0.52958724,39.651895
1,1,29500,0.00054748,0.00238470,0.52957820,40.336398
1,1,30000,0.00053886,0.00236367,0.52956957,41.023108
1,1,30500,0.00053051,0.00234676,0.52956123,41.711431
1,1,31000,0.00052226,0.00232569,0.52955297,42.393672
1,1,31500,0.00051436,0.00231100,0.52954508,43.081421
1,1,32000,0.00050633,0.00229323,0.52953705,43.767890
1,1,32500,0.00049872,0.00227418,0.52952944,44.450436
1,1,33000,0.00049113,0.00225520,0.52952185,45.132946
1,1,33500,0.00048390,0.00223578,0.52951462,45.817076
1,1,34000,0.00047661,0.00222246,0.52950733,46.502455
1,1,34500,0.00046961,0.00220359,0.52950033,47.178694
1,1,35000,0.00046275,0.00218718,0.52949347,47.853889
1,1,35500,0.00045606,0.00217621,0.52948678,48.537747
1,1,36000,0.00044929,0.00215912,0.52948000,49.226853
1,1,36500,0.00044292,0.00214377,0.52947363,49.915063
1,1,37000,0.00043650,0.00212820,0.52946722,50.592799
1,1,37500,0.00043026,0.00211331,0.52946097,51.269970
1,1,38000,0.00042421,0.00209859,0.52945493,51.946241
1,1,38500,0.00041831,0.00208819,0.52944903,52.622885
1,1,39000,0.00041237,0.00207561,0.52944309,53.302188
1,1,39500,0.00040672,0.00205896,0.52943744,53.980001
1,1,40000,0.00040115,0.00204691,0.52943187,54.658331
1,1,40500,0.00039570,0.00203396,0.52942641,55.336368
1,1,41000,0.00039033,0.00202650,0.52942104,56.013758
1,1,41500,0.00038498,0.00200875,0.52941570,56.692904
1,1,42000,0.00037966,0.00199847,0.52941038,57.373590
1,1,42500,0.00037448,0.00198632,0.52940520,58.051354
1,1,43000,0.00036945,0.00197139,0.52940016,58.733209
1,1,43500,0.00036441,0.00196090,0.52939513,59.407585
