network_id,n_controls,total_Q,method,converged,stop_reason,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,13,46,1,True,regret,873,0.926566,0.00099915,873,0.926566,0.21348104,0.00000000,0.21348104,0.001,,"{""v0"": 0.000368, ""v1"": 0.000175, ""v2"": 0.018791, ""v3"": 0.001967, ""v4"": 0.415287, ""v5"": 8.8e-05, ""v6"": 0.000623, ""v7"": 8.8e-05, ""v8"": 8.8e-05, ""v9"": 0.000219, ""v10"": 0.001119, ""v11"": 0.196915, ""v12"": 0.364271}","{""v0"": [0.258584, 0.258555, 0.258459, 0.258116], ""v1"": [0.258699, 0.258651, 0.258638, 0.258571, 0.258534, 0.258519, 0.258455], ""v2"": [0.258784, 0.250487, 0.246984, 0.240971], ""v3"": [0.267176, 0.266578, 0.265992], ""v4"": [0.268007, 0.257761, 0.203691], ""v5"": [0.482096], ""v6"": [0.481815, 0.48167, 0.481534], ""v7"": [0.48221, 0.482091], ""v8"": [0.482345, 0.482251, 0.482176], ""v9"": [0.482289, 0.482286, 0.482246, 0.482134, 0.482026], ""v10"": [0.48152, 0.481406, 0.481268, 0.480115], ""v11"": [0.482455, 0.479064], ""v12"": [0.634622, 0.627972, 0.610392, 0.592887, 0.536999]}"
0,13,46,2,True,regret,11132,13.493989,0.00099930,11132,13.493989,0.21297183,-0.00050921,0.21348104,0.001,1,"{""v0"": 7e-06, ""v1"": 1.8e-05, ""v2"": 0.008198, ""v3"": 0.000583, ""v4"": 0.404106, ""v5"": 7e-06, ""v6"": 6.7e-05, ""v7"": 2.9e-05, ""v8"": 7e-06, ""v9"": 1.8e-05, ""v10"": 7e-06, ""v11"": 0.195323, ""v12"": 0.39163}","{""v0"": [0.259981, 0.259981, 0.259979, 0.259972], ""v1"": [0.259976, 0.259971, 0.25997, 0.259963, 0.259959, 0.259957, 0.25995], ""v2"": [0.259985, 0.255626, 0.253751, 0.250915], ""v3"": [0.263647, 0.26347, 0.263297], ""v4"": [0.26389, 0.25398, 0.20145], ""v5"": [0.467911], ""v6"": [0.467876, 0.467861, 0.467846], ""v7"": [0.467894, 0.467857], ""v8"": [0.467926, 0.467919, 0.467913], ""v9"": [0.467921, 0.467921, 0.467917, 0.467908, 0.4679], ""v10"": [0.467929, 0.467928, 0.467927, 0.46792], ""v11"": [0.467934, 0.464668], ""v12"": [0.614232, 0.60744, 0.589524, 0.57174, 0.515322]}"
1,14,45,1,True,plateau,132500,175.157625,0.00112155,132500,175.157625,0.52903072,0.00000000,0.52903072,0.001,,"{""v0"": 0.240453, ""v1"": 0.394483, ""v2"": 0.235326, ""v3"": 0.128288, ""v4"": 0.000487, ""v5"": 5e-06, ""v6"": 1.2e-05, ""v7"": 8e-06, ""v8"": 0.000176, ""v9"": 3e-06, ""v10"": 0.000421, ""v11"": 0.000335, ""v12"": 1e-06, ""v13"": 1e-06}","{""v0"": [0.537148], ""v1"": [0.536784, 0.477828, 0.385872], ""v2"": [0.536624, 0.385612], ""v3"": [0.821067, 0.791607, 0.738326, 0.653148, 0.629395], ""v4"": [0.999436, 0.999426, 0.999347, 0.999174], ""v5"": [0.999971, 0.999969], ""v6"": [0.999978, 0.999978, 0.999977, 0.99997], ""v7"": [0.999775, 0.999771], ""v8"": [0.999786, 0.999771, 0.999749, 0.999632], ""v9"": [0.999996, 0.999996, 0.999994, 0.999993], ""v10"": [0.999532, 0.999431, 0.997916], ""v11"": [0.999606, 0.999482, 0.999444, 0.998953, 0.998766], ""v12"": [0.999995], ""v13"": [0.999999, 0.999999, 0.999999, 0.999999, 0.999997]}"
1,14,45,2,True,plateau,153000,123.337562,0.00158365,153000,123.337562,0.52910815,0.00007744,0.52903072,0.001,1,"{""v0"": 0.240396, ""v1"": 0.394281, ""v2"": 0.230614, ""v3"": 0.132841, ""v4"": 5.1e-05, ""v5"": 1.5e-05, ""v6"": 0.000526, ""v7"": 0.000213, ""v8"": 0.000406, ""v9"": 0.000607, ""v10"": 1.8e-05, ""v11"": 1.9e-05, ""v12"": 1e-05, ""v13"": 2e-06}","{""v0"": [0.537201], ""v1"": [0.536925, 0.477971, 0.386009], ""v2"": [0.536842, 0.387471], ""v3"": [0.815515, 0.785384, 0.731057, 0.644657, 0.620661], ""v4"": [0.999921, 0.999919, 0.999911, 0.999893], ""v5"": [0.999156, 0.999151], ""v6"": [0.99918, 0.99917, 0.999161, 0.998862], ""v7"": [0.999241, 0.999137], ""v8"": [0.999496, 0.999463, 0.999411, 0.999144], ""v9"": [0.999316, 0.999217, 0.99887, 0.998709], ""v10"": [0.99998, 0.999975, 0.999909], ""v11"": [0.999977, 0.99997, 0.999968, 0.99994, 0.999929], ""v12"": [0.999963], ""v13"": [0.999998, 0.999998, 0.999997, 0.999997, 0.999992]}"
2,13,31,1,True,plateau,120000,121.248385,0.00166682,120000,121.248385,0.58295044,0.00000000,0.58295044,0.001,,"{""v0"": 0.000702, ""v1"": 0.000694, ""v2"": 0.000553, ""v3"": 2.4e-05, ""v4"": 2e-06, ""v5"": 1e-06, ""v6"": 0.188428, ""v7"": 0.192269, ""v8"": 0.467799, ""v9"": 0.149383, ""v10"": 1e-06, ""v11"": 0.00013, ""v12"": 1.5e-05}","{""v0"": [0.586454, 0.586044, 0.585946, 0.585841], ""v1"": [0.585882, 0.585052], ""v2"": [0.586522, 0.586126, 0.58584], ""v3"": [0.58704, 0.586979], ""v4"": [0.587127, 0.587122], ""v5"": [0.587132, 0.587132, 0.587131], ""v6"": [0.586736, 0.53759, 0.408319], ""v7"": [0.770764, 0.586265], ""v8"": [0.58687, 0.285998, 0.282402], ""v9"": [0.587134], ""v10"": [0.999981], ""v11"": [0.999854, 0.99971], ""v12"": [0.999982, 0.999967, 0.999965]}"
2,13,31,2,True,plateau,154500,120.883167,0.00184391,154500,120.883167,0.58311259,0.00016216,0.58295044,0.001,1,"{""v0"": 9.5e-05, ""v1"": 0.000305, ""v2"": 0.000707, ""v3"": 0.000678, ""v4"": 9e-06, ""v5"": 4e-06, ""v6"": 0.188886, ""v7"": 0.191554, ""v8"": 0.467578, ""v9"": 0.149422, ""v10"": 0.0, ""v11"": 2.1e-05, ""v12"": 0.000739}","{""v0"": [0.586932, 0.586875, 0.586862, 0.586847], ""v1"": [0.586528, 0.586161], ""v2"": [0.586449, 0.585945, 0.585579], ""v3"": [0.586147, 0.585558], ""v4"": [0.587003, 0.586982], ""v5"": [0.587028, 0.587025, 0.587025], ""v6"": [0.586915, 0.537691, 0.408193], ""v7"": [0.771487, 0.587257], ""v8"": [0.586984, 0.286105, 0.282509], ""v9"": [0.587037], ""v10"": [0.999976], ""v11"": [0.999977, 0.999954], ""v12"": [0.999111, 0.998361, 0.998243]}"
3,12,43,1,True,plateau,82500,201.712433,0.00135567,82500,201.712433,0.74075590,0.00000000,0.74075590,0.001,,"{""v0"": 0.083192, ""v1"": 3e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.189458, ""v6"": 0.24838, ""v7"": 0.000799, ""v8"": 0.000612, ""v9"": 0.000156, ""v10"": 0.243305, ""v11"": 0.234093}","{""v0"": [0.739902], ""v1"": [0.999996, 0.999995, 0.999992], ""v2"": [0.999999, 0.999997, 0.999997, 0.999995], ""v3"": [0.999999, 0.999998], ""v4"": [0.999999, 0.999998, 0.999997], ""v5"": [0.740713, 0.726825, 0.72386, 0.595272, 0.574726, 0.564333, 0.55227], ""v6"": [0.740797, 0.71066, 0.699208, 0.627963, 0.605805, 0.559422, 0.473633], ""v7"": [0.740092, 0.739742], ""v8"": [0.74027, 0.739583, 0.739045], ""v9"": [0.740681, 0.740502, 0.740475], ""v10"": [0.740882, 0.711882, 0.667224, 0.517974], ""v11"": [0.740867, 0.684066, 0.631855, 0.482984]}"
3,12,43,2,True,plateau,109500,71.586631,0.00147843,109500,71.586631,0.74093770,0.00018180,0.74075590,0.001,1,"{""v0"": 0.083052, ""v1"": 1e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.189309, ""v6"": 0.248186, ""v7"": 0.000181, ""v8"": 0.000979, ""v9"": 0.001467, ""v10"": 0.243013, ""v11"": 0.233808}","{""v0"": [0.740239], ""v1"": [0.999999, 0.999999, 0.999998], ""v2"": [0.999999, 0.999998, 0.999998, 0.999997], ""v3"": [0.999999, 0.999998], ""v4"": [0.999998, 0.999997, 0.999996], ""v5"": [0.740879, 0.726997, 0.724032, 0.59548, 0.574937, 0.564546, 0.552484], ""v6"": [0.740967, 0.710841, 0.699393, 0.628169, 0.606016, 0.559639, 0.473853], ""v7"": [0.740961, 0.740882], ""v8"": [0.740162, 0.739064, 0.738203], ""v9"": [0.73927, 0.737602, 0.737347], ""v10"": [0.741141, 0.712159, 0.667524, 0.518311], ""v11"": [0.741129, 0.68436, 0.632172, 0.483325]}"
4,14,47,1,True,plateau,100500,248.931215,0.00180057,100500,248.931215,0.70848043,0.00000000,0.70848043,0.001,,"{""v0"": 0.197524, ""v1"": 7e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.306362, ""v6"": 0.017474, ""v7"": 0.136866, ""v8"": 0.121958, ""v9"": 1e-06, ""v10"": 0.000433, ""v11"": 3e-06, ""v12"": 0.103376, ""v13"": 0.115994}","{""v0"": [0.708525, 0.529883], ""v1"": [0.999989, 0.999987], ""v2"": [0.999998, 0.999997], ""v3"": [0.999998, 0.999998, 0.999997, 0.999997], ""v4"": [0.999999, 0.999999, 0.999999, 0.999999], ""v5"": [0.708504, 0.699109, 0.650431, 0.602963, 0.588469], ""v6"": [0.707626, 0.704654, 0.703477], ""v7"": [0.724403, 0.711613, 0.6962, 0.668832], ""v8"": [0.868546, 0.768135, 0.750903, 0.731793, 0.705284, 0.679584], ""v9"": [0.707939, 0.707939, 0.707938], ""v10"": [0.707357, 0.707325, 0.707307], ""v11"": [0.707936, 0.707936, 0.707934], ""v12"": [0.70794, 0.679444, 0.63762], ""v13"": [0.844374, 0.742748, 0.624791]}"
4,14,47,2,True,plateau,89000,82.619149,0.00223376,89000,82.619149,0.70838087,-0.00009956,0.70848043,0.001,1,"{""v0"": 0.19761, ""v1"": 1e-06, ""v2"": 1e-06, ""v3"": 4e-06, ""v4"": 1e-06, ""v5"": 0.306496, ""v6"": 0.022852, ""v7"": 0.130654, ""v8"": 0.12296, ""v9"": 1.8e-05, ""v10"": 1e-06, ""v11"": 5e-06, ""v12"": 0.10318, ""v13"": 0.116219}","{""v0"": [0.708427, 0.529765], ""v1"": [0.999999, 0.999998], ""v2"": [0.999998, 0.999997], ""v3"": [0.999994, 0.999994, 0.999987, 0.999985], ""v4"": [0.999998, 0.999998, 0.999998, 0.999998], ""v5"": [0.7084, 0.699002, 0.650316, 0.602842, 0.588346], ""v6"": [0.707504, 0.70363, 0.702099], ""v7"": [0.728965, 0.716617, 0.701669, 0.675116], ""v8"": [0.86755, 0.766584, 0.749273, 0.730084, 0.703474, 0.677688], ""v9"": [0.707888, 0.707885, 0.70787], ""v10"": [0.707908, 0.707908, 0.707908], ""v11"": [0.707903, 0.707901, 0.707898], ""v12"": [0.707909, 0.679463, 0.637705], ""v13"": [0.844105, 0.742357, 0.624311]}"
