network_id,method,iteration,opt_gap,rm_regret,objective,cum_runtime_s
0,1,1,0.00058790,0.00295103,0.00063427,0.002560
0,1,5,0.00000000,0.00087092,0.00004637,0.008914
0,2,1,0.00058790,0.00469538,0.00063427,0.004142
0,2,7,-0.00000300,0.00089311,0.00004337,0.025418
1,1,1,0.05677288,0.66658398,0.07020852,0.002177
1,1,250,0.00259510,0.04884248,0.01603073,0.532008
1,1,500,0.00155204,0.02585713,0.01498767,1.065456
1,1,750,0.00105042,0.01773579,0.01448606,1.599078
1,1,1000,0.00075044,0.01361265,0.01418608,2.119160
1,1,1250,0.00058045,0.01110428,0.01401609,2.637518
1,1,1500,0.00047149,0.00936532,0.01390712,3.152684
1,1,1750,0.00039504,0.00817128,0.01383067,3.670093
1,1,2000,0.00033932,0.00727945,0.01377496,4.186957
1,1,2250,0.00029590,0.00650560,0.01373154,4.703108
1,1,2500,0.00026193,0.00593756,0.01369757,5.218441
1,1,2750,0.00023391,0.00546993,0.01366954,5.734680
1,1,3000,0.00021093,0.00507505,0.01364656,6.253120
1,1,3250,0.00019189,0.00474217,0.01362752,6.768288
1,1,3500,0.00017534,0.00444606,0.01361098,7.292285
1,1,3750,0.00016110,0.00419344,0.01359674,7.812720
1,1,4000,0.00014868,0.00396998,0.01358432,8.328475
1,1,4250,0.00013791,0.00374892,0.01357354,8.845726
1,1,4500,0.00012825,0.00357597,0.01356388,9.364032
1,1,4750,0.00011943,0.00341841,0.01355507,9.881363
1,1,5000,0.00011186,0.00327987,0.01354750,10.397505
1,1,5250,0.00010480,0.00314710,0.01354043,10.914933
1,1,5500,0.00009832,0.00302844,0.01353396,11.433756
1,1,5750,0.00009236,0.00292342,0.01352800,11.949985
1,1,6000,0.00008709,0.00282596,0.01352273,12.468700
1,1,6250,0.00008206,0.00273389,0.01351770,12.987335
1,1,6500,0.00007742,0.00265259,0.01351306,13.502114
1,1,6750,0.00007327,0.00257671,0.01350890,14.022088
1,1,7000,0.00006940,0.00249320,0.01350504,14.536971
1,1,7250,0.00006563,0.00242392,0.01350127,15.058943
1,1,7500,0.00006225,0.00237038,0.01349788,15.577679
1,1,7750,0.00005947,0.00230582,0.01349510,16.095918
1,1,8000,0.00005704,0.00224531,0.01349267,16.614252
1,1,8250,0.00005467,0.00220430,0.01349030,17.130338
1,1,8500,0.00005244,0.00214092,0.01348808,17.649569
1,1,8750,0.00005042,0.00210431,0.01348606,18.167192
1,1,9000,0.00004852,0.00205812,0.01348415,18.685230
1,1,9250,0.00004669,0.00201748,0.01348233,19.202578
1,1,9500,0.00004500,0.00197379,0.01348064,19.719569
1,1,9750,0.00004326,0.00193253,0.01347889,20.237772
1,1,10000,0.00004159,0.00189543,0.01347722,20.753178
1,1,10250,0.00004012,0.00186206,0.01347575,21.270245
1,1,10500,0.00003863,0.00182715,0.01347426,21.789306
1,1,10750,0.00003720,0.00180119,0.01347283,22.306106
1,1,11000,0.00003581,0.00177247,0.01347144,22.826030
1,1,11250,0.00003449,0.00173860,0.01347013,23.344462
1,1,11500,0.00003331,0.00171289,0.01346894,23.862467
1,1,11750,0.00003213,0.00168659,0.01346777,24.380007
1,1,12000,0.00003094,0.00165856,0.01346657,24.898504
1,1,12250,0.00002983,0.00163568,0.01346546,25.419539
1,1,12500,0.00002873,0.00161234,0.01346436,25.936786
1,1,12750,0.00002767,0.00159052,0.01346330,26.454787
1,1,13000,0.00002666,0.00155905,0.01346229,26.977442
1,1,13250,0.00002572,0.00153961,0.01346135,27.492317
1,1,13500,0.00002480,0.00152695,0.01346043,28.011674
1,1,13750,0.00002383,0.00149959,0.01345947,28.527521
1,1,14000,0.00002298,0.00148068,0.01345861,29.044756
1,1,14250,0.00002212,0.00146357,0.01345775,29.560066
1,1,14500,0.00002130,0.00144636,0.01345693,30.077843
1,1,14750,0.00002049,0.00142730,0.01345612,30.596084
1,1,15000,0.00001972,0.00140976,0.01345535,31.114491
1,1,15250,0.00001902,0.00139428,0.01345465,31.635480
1,1,15500,0.00001833,0.00137753,0.01345396,32.160853
1,1,15750,0.00001763,0.00136820,0.01345326,32.678224
1,1,16000,0.00001692,0.00134962,0.01345256,33.199942
1,1,16250,0.00001628,0.00133631,0.01345191,33.717371
1,1,16500,0.00001562,0.00132208,0.01345126,34.235439
1,1,16750,0.00001503,0.00131067,0.01345066,34.756728
1,1,17000,0.00001442,0.00129586,0.01345005,35.275658
1,1,17250,0.00001382,0.00128193,0.01344946,35.795147
1,1,17500,0.00001324,0.00126734,0.01344888,36.311969
1,1,17750,0.00001270,0.00125645,0.01344834,36.830451
1,1,18000,0.00001216,0.00124513,0.01344779,37.355713
1,1,18250,0.00001160,0.00123349,0.01344723,37.876503
1,1,18500,0.00001108,0.00122422,0.01344671,38.393866
