network_id,method,iteration,opt_gap,rm_regret,objective,cum_runtime_s
0,1,1,0.10913310,0.15679214,0.42350204,0.001177
0,1,500,0.00192073,0.00386647,0.31628967,0.418399
0,1,1000,0.00121849,0.00271397,0.31558744,0.831902
0,1,1500,0.00087843,0.00220476,0.31524737,1.245662
0,1,2000,0.00067168,0.00190648,0.31504063,1.659085
0,1,2500,0.00052558,0.00170194,0.31489452,2.074057
0,1,3000,0.00041690,0.00155217,0.31478584,2.489160
0,1,3500,0.00033027,0.00143496,0.31469922,2.904000
0,1,4000,0.00026243,0.00134346,0.31463138,3.318858
0,1,4500,0.00020400,0.00126588,0.31457294,3.733165
0,1,5000,0.00015410,0.00120013,0.31452305,4.147776
0,1,5500,0.00011109,0.00114379,0.31448004,4.563601
0,1,6000,0.00007307,0.00109441,0.31444202,4.978819
0,1,6500,0.00003973,0.00105118,0.31440868,5.393263
0,1,7000,0.00001009,0.00101289,0.31437904,5.807537
0,1,7178,0.00000000,0.00099997,0.31436895,5.954831
0,2,1,0.10913310,0.15622675,0.42350204,0.005681
0,2,500,0.00076548,0.00311590,0.31513443,2.714509
0,2,1000,0.00036489,0.00213199,0.31473384,5.406600
0,2,1500,0.00014977,0.00169857,0.31451871,8.106616
0,2,2000,0.00001621,0.00147352,0.31438516,10.802317
0,2,2500,-0.00006108,0.00130772,0.31430787,13.498324
0,2,3000,-0.00012093,0.00117873,0.31424802,16.203319
0,2,3500,-0.00017308,0.00107423,0.31419586,18.910174
0,2,4000,-0.00020985,0.00102557,0.31415910,21.606366
0,2,4266,-0.00022788,0.00099958,0.31414107,23.040204
1,1,1,0.30429612,0.46080028,0.66075218,0.001451
1,1,500,0.00134291,0.00357013,0.35779897,0.491592
1,1,1000,0.00058139,0.00206715,0.35703745,0.980734
1,1,1500,0.00030587,0.00154342,0.35676193,1.469534
1,1,2000,0.00015818,0.00127124,0.35661423,1.957008
1,1,2500,0.00005906,0.00109718,0.35651512,2.445874
1,1,2865,0.00000000,0.00099968,0.35645606,2.802300
1,2,1,0.30429612,0.45985355,0.66075218,0.004238
1,2,500,0.00247734,0.00481982,0.35893340,2.077707
1,2,1000,0.00155046,0.00310697,0.35800651,4.142165
1,2,1500,0.00120052,0.00249246,0.35765657,6.206137
1,2,2000,0.00093429,0.00209006,0.35739035,8.268343
1,2,2500,0.00076101,0.00183497,0.35721707,10.336015
1,2,3000,0.00062438,0.00164306,0.35708044,12.401827
1,2,3500,0.00052332,0.00150258,0.35697937,14.468367
1,2,4000,0.00044546,0.00139492,0.35690151,16.533249
1,2,4500,0.00038598,0.00131217,0.35684203,18.603311
1,2,5000,0.00033204,0.00123968,0.35678810,20.671121
1,2,5500,0.00028134,0.00117362,0.35673740,22.756088
1,2,6000,0.00023865,0.00111808,0.35669471,24.826156
1,2,6500,0.00020407,0.00107264,0.35666013,26.890853
1,2,7000,0.00017391,0.00103313,0.35662997,28.955313
1,2,7394,0.00014734,0.00099997,0.35660340,30.584084
2,1,1,0.03495670,0.82554847,0.90773439,0.003381
2,1,500,0.00385713,0.01448147,0.87663482,1.597961
2,1,1000,0.00199355,0.01036422,0.87477124,3.163180
2,1,1500,0.00133768,0.00839933,0.87411537,4.719586
2,1,2000,0.00099283,0.00710583,0.87377052,6.272672
2,1,2500,0.00080476,0.00632974,0.87358245,7.827180
2,1,3000,0.00067886,0.00582708,0.87345655,9.380956
2,1,3500,0.00057802,0.00527244,0.87335571,10.941197
2,1,4000,0.00050085,0.00494940,0.87327854,12.498811
2,1,4500,0.00044492,0.00477861,0.87322261,14.058080
2,1,5000,0.00039434,0.00445200,0.87317203,15.618094
2,1,5500,0.00035930,0.00422724,0.87313700,17.176064
2,1,6000,0.00032664,0.00406049,0.87310433,18.731847
2,1,6500,0.00030207,0.00394331,0.87307976,20.289553
2,1,7000,0.00027794,0.00379775,0.87305563,21.843098
2,1,7500,0.00025846,0.00361358,0.87303615,23.407178
2,1,8000,0.00023625,0.00358035,0.87301394,24.976346
2,1,8500,0.00021801,0.00347829,0.87299570,26.550015
2,1,9000,0.00020384,0.00335555,0.87298153,28.123614
2,1,9500,0.00018992,0.00322843,0.87296761,29.698768
2,1,10000,0.00018060,0.00317809,0.87295829,31.273135
2,1,10500,0.00016908,0.00307519,0.87294677,32.846448
2,1,11000,0.00015830,0.00304338,0.87293599,34.418593
2,1,11500,0.00014712,0.00290962,0.87292481,35.989292
2,1,12000,0.00013817,0.00285021,0.87291586,37.563665
2,1,12500,0.00012983,0.00284896,0.87290752,39.135251
2,1,13000,0.00011977,0.00274515,0.87289746,40.711969
2,1,13500,0.00011251,0.00272044,0.87289020,42.285585
2,1,14000,0.00010527,0.00267260,0.87288297,43.858009
2,1,14500,0.00009985,0.00260557,0.87287754,45.430693
2,1,15000,0.00009549,0.00256082,0.87287318,47.005921
2,1,15500,0.00008867,0.00252874,0.87286636,48.580418
2,1,16000,0.00008469,0.00246464,0.87286238,50.151811
2,1,16500,0.00008214,0.00246316,0.87285983,51.724684
2,1,17000,0.00008004,0.00239653,0.87285773,53.296829
2,1,17500,0.00007669,0.00236026,0.87285438,54.871015
2,1,18000,0.00007363,0.00236447,0.87285132,56.444106
2,1,18500,0.00007025,0.00229998,0.87284794,58.019113
2,1,19000,0.00006793,0.00228569,0.87284562,59.592806
2,1,19500,0.00006462,0.00223598,0.87284231,61.169426
2,1,20000,0.00006263,0.00222967,0.87284032,62.744979
2,1,20500,0.00006025,0.00217885,0.87283794,64.326394
2,1,21000,0.00005808,0.00217862,0.87283577,65.899724
2,1,21500,0.00005549,0.00215060,0.87283318,67.475538
2,1,22000,0.00005313,0.00212877,0.87283082,69.050899
2,1,22500,0.00005036,0.00211257,0.87282806,70.625941
2,1,23000,0.00004808,0.00206373,0.87282577,72.198077
2,1,23500,0.00004641,0.00203803,0.87282410,73.772600
2,1,24000,0.00004418,0.00201455,0.87282187,75.344155
2,1,24500,0.00004214,0.00200073,0.87281983,76.917021
2,1,25000,0.00003975,0.00199266,0.87281744,78.490429
2,1,25500,0.00003807,0.00197792,0.87281576,80.063978
2,1,26000,0.00003603,0.00193805,0.87281372,81.637092
2,1,26500,0.00003403,0.00194428,0.87281172,83.210531
2,1,27000,0.00003244,0.00190235,0.87281013,84.783040
2,1,27500,0.00003097,0.00188734,0.87280866,86.353326
2,1,28000,0.00002939,0.00188361,0.87280708,87.926694
2,1,28500,0.00002837,0.00186538,0.87280606,89.496632
2,1,29000,0.00002682,0.00185675,0.87280451,91.065015
2,1,29500,0.00002590,0.00181824,0.87280359,92.639657
2,1,30000,0.00002421,0.00180819,0.87280190,94.213003
2,1,30500,0.00002253,0.00178691,0.87280022,95.789301
2,1,31000,0.00002126,0.00179407,0.87279896,97.361441
2,1,31500,0.00002023,0.00177976,0.87279792,98.932330
2,1,32000,0.00001900,0.00176527,0.87279669,100.498756
2,1,32500,0.00001754,0.00174376,0.87279523,102.068250
2,1,33000,0.00001640,0.00173030,0.87279409,103.636412
2,1,33500,0.00001544,0.00171428,0.87279313,105.207424
2,1,34000,0.00001443,0.00171450,0.87279212,106.779170
2,1,34500,0.00001316,0.00168842,0.87279085,108.351868
2,1,35000,0.00001202,0.00167503,0.87278971,109.925327
2,1,35500,0.00001085,0.00165673,0.87278854,111.492568
2,1,36000,0.00000962,0.00166397,0.87278731,113.054866
2,1,36500,0.00000869,0.00163572,0.87278638,114.620131
2,1,37000,0.00000789,0.00164349,0.87278559,116.187601
2,1,37500,0.00000693,0.00163163,0.87278462,117.759436
2,1,38000,0.00000561,0.00160285,0.87278331,119.328457
2,1,38500,0.00000431,0.00159608,0.87278200,120.902190
2,1,39000,0.00000321,0.00158788,0.87278090,122.475104
2,1,39500,0.00000212,0.00157914,0.87277981,124.051891
2,1,40000,0.00000112,0.00156718,0.87277881,125.628145
2,1,40500,0.00000000,0.00156678,0.87277769,127.202109
2,2,1,0.03495670,0.82902318,0.90773439,0.002588
2,2,500,0.00151869,0.01525960,0.87429638,1.431990
2,2,1000,0.00072905,0.01006859,0.87350674,2.858503
2,2,1500,0.00042316,0.00823963,0.87320085,4.278306
2,2,2000,0.00028453,0.00716452,0.87306222,5.696609
2,2,2500,0.00021715,0.00629844,0.87299484,7.122043
2,2,3000,0.00019443,0.00584130,0.87297212,8.543882
2,2,3500,0.00016828,0.00528668,0.87294597,9.960802
2,2,4000,0.00016217,0.00491577,0.87293986,11.383707
2,2,4500,0.00016149,0.00471680,0.87293918,12.805942
2,2,5000,0.00015310,0.00441264,0.87293079,14.236762
2,2,5500,0.00015387,0.00419670,0.87293156,15.654524
2,2,6000,0.00014400,0.00405583,0.87292169,17.072102
2,2,6500,0.00013675,0.00390177,0.87291444,18.492171
2,2,7000,0.00012896,0.00374326,0.87290665,19.908960
2,2,7500,0.00012203,0.00358903,0.87289972,21.331713
2,2,8000,0.00011622,0.00351453,0.87289391,22.750235
2,2,8500,0.00010959,0.00341182,0.87288728,24.174125
2,2,9000,0.00010443,0.00329277,0.87288212,25.594814
2,2,9500,0.00010270,0.00321117,0.87288039,27.015050
2,2,10000,0.00009985,0.00310901,0.87287754,28.431201
2,2,10500,0.00009668,0.00307668,0.87287437,29.850049
2,2,11000,0.00009427,0.00297874,0.87287196,31.269413
2,2,11500,0.00009097,0.00291012,0.87286867,32.687802
2,2,12000,0.00008722,0.00288804,0.87286491,34.112445
2,2,12500,0.00008397,0.00280203,0.87286167,35.535450
2,2,13000,0.00008081,0.00275130,0.87285850,36.950021
2,2,13500,0.00007813,0.00273965,0.87285582,38.364039
2,2,14000,0.00007617,0.00263812,0.87285386,39.780268
2,2,14500,0.00007295,0.00260597,0.87285064,41.196769
2,2,15000,0.00006982,0.00255084,0.87284751,42.614514
2,2,15500,0.00006888,0.00254393,0.87284657,44.035998
2,2,16000,0.00006428,0.00248153,0.87284197,45.465587
2,2,16500,0.00006075,0.00243224,0.87283844,46.894636
2,2,17000,0.00005921,0.00242298,0.87283691,48.315636
2,2,17500,0.00005701,0.00236641,0.87283470,49.740318
2,2,18000,0.00005415,0.00232531,0.87283184,51.167488
2,2,18500,0.00005361,0.00232632,0.87283130,52.595381
2,2,19000,0.00005097,0.00227353,0.87282866,54.021357
2,2,19500,0.00004841,0.00227726,0.87282610,55.451606
2,2,20000,0.00004590,0.00221090,0.87282360,56.888820
2,2,20500,0.00004444,0.00218548,0.87282213,58.322801
2,2,21000,0.00004234,0.00215933,0.87282003,59.744568
2,2,21500,0.00004073,0.00214027,0.87281842,61.175081
2,2,22000,0.00003903,0.00212515,0.87281673,62.605110
2,2,22500,0.00003719,0.00208296,0.87281488,64.037193
2,2,23000,0.00003610,0.00207701,0.87281379,65.461129
2,2,23500,0.00003448,0.00206731,0.87281217,66.886277
2,2,24000,0.00003246,0.00203507,0.87281015,68.318668
2,2,24500,0.00002997,0.00201522,0.87280766,69.751640
2,2,25000,0.00002798,0.00198503,0.87280567,71.183038
2,2,25500,0.00002621,0.00196371,0.87280390,72.615677
2,2,26000,0.00002450,0.00195225,0.87280219,74.046918
2,2,26500,0.00002244,0.00192300,0.87280013,75.479625
2,2,27000,0.00002028,0.00191175,0.87279797,76.905651
2,2,27500,0.00001850,0.00188760,0.87279619,78.336500
2,2,28000,0.00001672,0.00188971,0.87279441,79.770272
2,2,28500,0.00001538,0.00185381,0.87279307,81.201535
2,2,29000,0.00001381,0.00184346,0.87279150,82.629226
2,2,29500,0.00001325,0.00182889,0.87279094,84.060782
2,2,30000,0.00001174,0.00181474,0.87278943,85.487327
2,2,30500,0.00001073,0.00178953,0.87278842,86.920654
2,2,31000,0.00000962,0.00177625,0.87278731,88.350242
2,2,31500,0.00000879,0.00177699,0.87278648,89.766627
2,2,32000,0.00000707,0.00174774,0.87278476,91.198501
2,2,32500,0.00000574,0.00175544,0.87278344,92.625652
2,2,33000,0.00000442,0.00173451,0.87278211,94.050411
2,2,33500,0.00000357,0.00171456,0.87278126,95.491851
2,2,34000,0.00000269,0.00170553,0.87278039,96.923161
2,2,34500,0.00000145,0.00169837,0.87277914,98.371774
2,2,35000,0.00000036,0.00167258,0.87277805,99.815416
2,2,35500,-0.00000058,0.00166103,0.87277711,101.260205
2,2,36000,-0.00000173,0.00164522,0.87277596,102.702857
2,2,36500,-0.00000272,0.00164710,0.87277497,104.149935
2,2,37000,-0.00000366,0.00164168,0.87277403,105.596815
2,2,37500,-0.00000451,0.00161625,0.87277318,107.041556
3,1,1,0.00000000,0.00006236,0.00019225,0.000633
3,2,1,0.00000000,0.00000000,0.00019225,0.006270
4,1,1,0.21776271,1.01271233,0.88755619,0.002627
4,1,500,0.00697171,0.03321975,0.67676520,1.468890
4,1,1000,0.00451450,0.02286860,0.67430799,2.938966
4,1,1500,0.00347609,0.01847521,0.67326958,4.415182
4,1,2000,0.00302354,0.01608396,0.67281703,5.923161
4,1,2500,0.00268394,0.01438239,0.67247743,7.426458
4,1,3000,0.00244209,0.01315495,0.67223558,8.936899
4,1,3500,0.00225282,0.01223327,0.67204630,10.451140
4,1,4000,0.00209572,0.01146554,0.67188920,11.959057
4,1,4500,0.00196173,0.01081606,0.67175522,13.466970
4,1,5000,0.00184704,0.01022156,0.67164053,14.978673
4,1,5500,0.00174682,0.00974064,0.67154030,16.489724
4,1,6000,0.00165574,0.00936713,0.67144923,17.998882
4,1,6500,0.00157898,0.00898893,0.67137246,19.519736
4,1,7000,0.00150886,0.00864277,0.67130234,21.047599
4,1,7500,0.00144524,0.00834405,0.67123873,22.577912
4,1,8000,0.00138257,0.00807613,0.67117605,24.098075
4,1,8500,0.00132661,0.00783826,0.67112010,25.604685
4,1,9000,0.00127334,0.00762077,0.67106683,27.115279
4,1,9500,0.00122368,0.00740518,0.67101717,28.624247
4,1,10000,0.00117982,0.00721957,0.67097331,30.131400
4,1,10500,0.00113782,0.00703988,0.67093130,31.639986
4,1,11000,0.00109889,0.00687505,0.67089238,33.147969
4,1,11500,0.00106379,0.00673521,0.67085728,34.665606
4,1,12000,0.00103029,0.00658135,0.67082378,36.193646
4,1,12500,0.00099961,0.00644601,0.67079309,37.722119
4,1,13000,0.00096962,0.00632149,0.67076310,39.249018
4,1,13500,0.00094162,0.00619953,0.67073511,40.779679
4,1,14000,0.00091600,0.00609090,0.67070948,42.307506
4,1,14500,0.00089008,0.00597793,0.67068356,43.835626
4,1,15000,0.00086592,0.00590276,0.67065940,45.357566
4,1,15500,0.00084314,0.00578547,0.67063663,46.863868
4,1,16000,0.00082125,0.00568729,0.67061474,48.388432
4,1,16500,0.00080035,0.00559576,0.67059383,49.914985
4,1,17000,0.00078008,0.00551219,0.67057357,51.440686
4,1,17500,0.00076169,0.00543023,0.67055518,52.960975
4,1,18000,0.00074446,0.00536175,0.67053794,54.487938
4,1,18500,0.00072725,0.00529117,0.67052074,56.017790
4,1,19000,0.00071096,0.00521199,0.67050444,57.544522
4,1,19500,0.00069446,0.00514109,0.67048794,59.061300
4,1,20000,0.00067982,0.00507621,0.67047331,60.572724
4,1,20500,0.00066468,0.00501072,0.67045817,62.082829
4,1,21000,0.00064992,0.00495554,0.67044341,63.588813
4,1,21500,0.00063579,0.00489056,0.67042927,65.096661
4,1,22000,0.00062266,0.00483390,0.67041615,66.605669
4,1,22500,0.00060956,0.00478346,0.67040304,68.119666
4,1,23000,0.00059747,0.00472890,0.67039095,69.648958
4,1,23500,0.00058596,0.00467675,0.67037945,71.162623
4,1,24000,0.00057415,0.00462617,0.67036764,72.673226
4,1,24500,0.00056283,0.00457701,0.67035631,74.188114
4,1,25000,0.00055179,0.00453308,0.67034528,75.717731
4,1,25500,0.00054090,0.00448866,0.67033438,77.249724
4,1,26000,0.00053101,0.00443981,0.67032449,78.781330
4,1,26500,0.00052102,0.00440660,0.67031450,80.316411
4,1,27000,0.00051169,0.00436406,0.67030517,81.845296
4,1,27500,0.00050282,0.00431991,0.67029630,83.375900
4,1,28000,0.00049355,0.00428797,0.67028704,84.906964
4,1,28500,0.00048452,0.00423938,0.67027800,86.441543
4,1,29000,0.00047571,0.00421084,0.67026920,87.974333
4,1,29500,0.00046742,0.00417151,0.67026091,89.504968
4,1,30000,0.00045926,0.00412858,0.67025275,91.031762
4,1,30500,0.00045140,0.00409942,0.67024488,92.559379
4,1,31000,0.00044357,0.00406075,0.67023706,94.085046
4,1,31500,0.00043617,0.00403807,0.67022966,95.600060
4,1,32000,0.00042899,0.00399692,0.67022247,97.126150
4,1,32500,0.00042191,0.00397817,0.67021540,98.647488
4,1,33000,0.00041491,0.00393684,0.67020840,100.176419
4,1,33500,0.00040812,0.00390783,0.67020161,101.705494
4,1,34000,0.00040138,0.00387578,0.67019487,103.222283
4,1,34500,0.00039456,0.00385057,0.67018805,104.735417
4,1,35000,0.00038819,0.00382086,0.67018168,106.245701
4,1,35500,0.00038219,0.00379563,0.67017567,107.754873
4,1,36000,0.00037595,0.00376644,0.67016944,109.265663
4,1,36500,0.00036973,0.00373918,0.67016321,110.784042
4,1,37000,0.00036380,0.00371551,0.67015728,112.307502
4,1,37500,0.00035797,0.00369010,0.67015146,113.831866
4,1,38000,0.00035223,0.00366512,0.67014572,115.352241
4,1,38500,0.00034662,0.00364518,0.67014011,116.877991
4,1,39000,0.00034093,0.00361545,0.67013441,118.402636
4,1,39500,0.00033540,0.00359457,0.67012889,119.933385
4,1,40000,0.00033007,0.00357053,0.67012356,121.456941
4,1,40500,0.00032513,0.00355860,0.67011862,122.989083
4,1,41000,0.00032002,0.00352782,0.67011351,124.518207
4,1,41500,0.00031506,0.00350449,0.67010855,126.048353
