network_id,n_controls,total_Q,method,converged,stop_reason,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,7,26,1,True,regret,153,0.137219,0.00099724,153,0.137219,0.00509859,0.00000000,0.00509859,0.001,,"{""get_credentials"": 0.341805, ""find_LAN_access_port"": 0.002398, ""spoof_MAC_address"": 0.002094, ""find_WLAN"": 0.001471, ""break_WPA_keys"": 0.006094, ""exploit_software_vulnerability"": 0.279225, ""run_malicous_script"": 0.366914}","{""get_credentials"": [0.005122, 0.00437, 0.003408, 0.002317, 0.001457], ""find_LAN_access_port"": [0.031768, 0.031626, 0.031254], ""spoof_MAC_address"": [0.032265, 0.032216, 0.032131, 0.031966], ""find_WLAN"": [0.030711, 0.030589, 0.030308], ""break_WPA_keys"": [0.031155, 0.030673, 0.029639, 0.027807], ""exploit_software_vulnerability"": [0.032634, 0.028837, 0.023529, 0.016289], ""run_malicous_script"": [0.13765, 0.115919, 0.08199]}"
0,7,26,2,True,regret,140,0.806537,0.00099903,140,0.806537,0.00505489,-0.00004370,0.00509859,0.001,100,"{""get_credentials"": 0.344035, ""find_LAN_access_port"": 0.003003, ""spoof_MAC_address"": 0.002296, ""find_WLAN"": 0.003926, ""break_WPA_keys"": 0.001969, ""exploit_software_vulnerability"": 0.278751, ""run_malicous_script"": 0.366021}","{""get_credentials"": [0.005078, 0.004331, 0.003376, 0.002294, 0.001443], ""find_LAN_access_port"": [0.031831, 0.031653, 0.03119], ""spoof_MAC_address"": [0.032454, 0.0324, 0.032307, 0.032126], ""find_WLAN"": [0.031381, 0.03109, 0.030407], ""break_WPA_keys"": [0.032371, 0.032204, 0.031834, 0.03113], ""exploit_software_vulnerability"": [0.032862, 0.029041, 0.023698, 0.016409], ""run_malicous_script"": [0.138282, 0.116465, 0.082391]}"
1,8,29,1,True,regret,1636,1.652588,0.00099974,1636,1.652588,0.00645532,0.00000000,0.00645532,0.001,,"{""BribeProgrammer"": 0.000539, ""ProgrammerObtainsTheCode"": 0.000306, ""HireRobberA"": 0.000407, ""BugInComputerSystem"": 0.000239, ""ExploitBug"": 0.000277, ""HireRobberB"": 0.000101, ""RobberBreaksIntoSystem"": 0.000115, ""UseCodeInProduct"": 0.998015}","{""BribeProgrammer"": [0.006436, 0.006433, 0.006426, 0.006412], ""ProgrammerObtainsTheCode"": [0.006456, 0.006455, 0.006452, 0.006447], ""HireRobberA"": [0.006431, 0.006428, 0.006421], ""BugInComputerSystem"": [0.006448, 0.006446, 0.006443, 0.006438], ""ExploitBug"": [0.006457, 0.006455, 0.006451], ""HireRobberB"": [0.006458, 0.006457, 0.006455], ""RobberBreaksIntoSystem"": [0.006462, 0.006461, 0.006457], ""UseCodeInProduct"": [0.006467, 0.006061, 0.005384, 0.004366, 0.002869]}"
1,8,29,2,True,regret,1606,6.787005,0.00099987,1606,6.787005,0.00647725,0.00002192,0.00645532,0.001,100,"{""BribeProgrammer"": 0.000324, ""ProgrammerObtainsTheCode"": 0.000304, ""HireRobberA"": 9.2e-05, ""BugInComputerSystem"": 7.8e-05, ""ExploitBug"": 8.4e-05, ""HireRobberB"": 0.000407, ""RobberBreaksIntoSystem"": 0.001354, ""UseCodeInProduct"": 0.997356}","{""BribeProgrammer"": [0.006465, 0.006463, 0.006459, 0.006451], ""ProgrammerObtainsTheCode"": [0.006478, 0.006476, 0.006474, 0.006468], ""HireRobberA"": [0.006479, 0.006478, 0.006476], ""BugInComputerSystem"": [0.006482, 0.006482, 0.006481, 0.006479], ""ExploitBug"": [0.006485, 0.006485, 0.006483], ""HireRobberB"": [0.006412, 0.006409, 0.006402], ""RobberBreaksIntoSystem"": [0.006432, 0.006415, 0.006371], ""UseCodeInProduct"": [0.006488, 0.006081, 0.005402, 0.00438, 0.002879]}"
2,11,43,1,True,plateau,121500,320.525801,0.00263219,121500,320.525801,0.52004362,0.00000000,0.52004362,0.001,,"{""BreakIntoComputerCentre"": 0.09873, ""Unattended Guest"": 0.118972, ""CorruptSysAdmin"": 0.124922, ""ObtainPasswordFileA"": 0.105097, ""EncounterGuessablePasswordA"": 0.000165, ""LookOverSysAdminShoulderA"": 0.114866, ""TrojanHorseSAAccountA"": 0.108557, ""ObtainPasswordFileB"": 0.105101, ""EncounterGuessablePasswordB"": 0.000158, ""LookOverSysAdminShoulderB"": 0.114876, ""TrojanHorseSAAccountB"": 0.108555}","{""BreakIntoComputerCentre"": [0.519466, 0.453655, 0.360617], ""Unattended Guest"": [0.519855, 0.486486, 0.428738], ""CorruptSysAdmin"": [0.52005, 0.4949, 0.456959], ""ObtainPasswordFileA"": [0.51948, 0.463817, 0.393537, 0.302013], ""EncounterGuessablePasswordA"": [0.999095, 0.998984, 0.99879, 0.998418, 0.997778], ""LookOverSysAdminShoulderA"": [0.519821, 0.477811, 0.414799, 0.328736], ""TrojanHorseSAAccountA"": [0.519726, 0.470315, 0.399737, 0.30074], ""ObtainPasswordFileB"": [0.519489, 0.463824, 0.393542, 0.302015], ""EncounterGuessablePasswordB"": [0.999133, 0.999026, 0.99884, 0.998484, 0.99787], ""LookOverSysAdminShoulderB"": [0.519792, 0.477783, 0.414771, 0.328711], ""TrojanHorseSAAccountB"": [0.519731, 0.47032, 0.399742, 0.300744]}"
2,11,43,2,True,plateau,81500,239.608650,0.00320578,81500,239.608650,0.51997854,-0.00006508,0.52004362,0.001,100,"{""BreakIntoComputerCentre"": 0.098697, ""Unattended Guest"": 0.118958, ""CorruptSysAdmin"": 0.124948, ""ObtainPasswordFileA"": 0.105164, ""EncounterGuessablePasswordA"": 0.000113, ""LookOverSysAdminShoulderA"": 0.114855, ""TrojanHorseSAAccountA"": 0.108568, ""ObtainPasswordFileB"": 0.105154, ""EncounterGuessablePasswordB"": 0.000117, ""LookOverSysAdminShoulderB"": 0.114862, ""TrojanHorseSAAccountB"": 0.108564}","{""BreakIntoComputerCentre"": [0.519571, 0.45376, 0.360715], ""Unattended Guest"": [0.519894, 0.486525, 0.428777], ""CorruptSysAdmin"": [0.519981, 0.494831, 0.456891], ""ObtainPasswordFileA"": [0.519427, 0.463748, 0.393456, 0.301928], ""EncounterGuessablePasswordA"": [0.99938, 0.999303, 0.99917, 0.998915, 0.998476], ""LookOverSysAdminShoulderA"": [0.519853, 0.477844, 0.414831, 0.328765], ""TrojanHorseSAAccountA"": [0.519693, 0.470282, 0.399705, 0.300712], ""ObtainPasswordFileB"": [0.519445, 0.463768, 0.393476, 0.301946], ""EncounterGuessablePasswordB"": [0.999358, 0.999279, 0.999141, 0.998877, 0.998423], ""LookOverSysAdminShoulderB"": [0.519832, 0.477822, 0.41481, 0.328746], ""TrojanHorseSAAccountB"": [0.519705, 0.470294, 0.399717, 0.300722]}"
3,11,11,1,True,regret,1,0.000660,0.00024598,1,0.000660,0.00006625,0.00000000,0.00006625,0.001,,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [0.0], ""User_login"": [0.000108], ""Password_attack"": [0.000105], ""Unauthorized_login"": [0.000105], ""Packet_spoofing"": [0.011679], ""Sync_flood"": [0.011679], ""SQL_injection"": [2e-05], ""Insert_malicious_scripts"": [0.013711], ""Capture_packets"": [0.0], ""Analyze_packets"": [1.4e-05], ""Modify_sensitive_data"": [0.00457]}"
3,11,11,2,True,regret,1,0.006212,0.00000000,1,0.006212,0.00006625,0.00000000,0.00006625,0.001,100,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [0.0], ""User_login"": [0.000108], ""Password_attack"": [0.000105], ""Unauthorized_login"": [0.000105], ""Packet_spoofing"": [0.011679], ""Sync_flood"": [0.011679], ""SQL_injection"": [2e-05], ""Insert_malicious_scripts"": [0.013711], ""Capture_packets"": [0.0], ""Analyze_packets"": [1.4e-05], ""Modify_sensitive_data"": [0.00457]}"
4,12,37,1,True,plateau,330000,960.822052,0.00156720,330000,960.822052,0.20244688,0.00000000,0.20244688,0.001,,"{""Guessing"": 0.16311, ""Dictionary"": 0.280899, ""Bruteforce"": 0.087934, ""GenericReconnaissanceA"": 0.173838, ""EmailTrapExecution"": 0.034018, ""PhoneTrapExecution"": 0.029509, ""GenericReconnaissanceB"": 0.00211, ""PayloadCrafting"": 0.007118, ""EmailFileExecution"": 0.008674, ""PhysicalReconnaissance"": 0.00407, ""KeyloggerLocalInstallation"": 0.010539, ""PasswordIntercept"": 0.19818}","{""Guessing"": [0.202477, 0.124963, 0.066646, 0.030759], ""Dictionary"": [0.202415, 0.167864, 0.135079], ""Bruteforce"": [0.202255, 0.126543, 0.067545, 0.034953, 0.017787], ""GenericReconnaissanceA"": [0.201844, 0.185673, 0.161134], ""EmailTrapExecution"": [0.609994, 0.478315, 0.301416], ""PhoneTrapExecution"": [0.61127, 0.449851], ""GenericReconnaissanceB"": [0.200733, 0.200123, 0.199171], ""PayloadCrafting"": [0.205789, 0.200203, 0.189767], ""EmailFileExecution"": [0.224534, 0.216973, 0.200646], ""PhysicalReconnaissance"": [0.201366, 0.198579, 0.193206], ""KeyloggerLocalInstallation"": [0.214802, 0.201503, 0.180447], ""PasswordIntercept"": [0.245135, 0.183251]}"
4,12,37,2,True,plateau,320500,2629.676997,0.00158432,320500,2629.676997,0.20243108,-0.00001580,0.20244688,0.001,100,"{""Guessing"": 0.163122, ""Dictionary"": 0.280914, ""Bruteforce"": 0.087917, ""GenericReconnaissanceA"": 0.173804, ""EmailTrapExecution"": 0.034015, ""PhoneTrapExecution"": 0.029517, ""GenericReconnaissanceB"": 0.00209, ""PayloadCrafting"": 0.007103, ""EmailFileExecution"": 0.00862, ""PhysicalReconnaissance"": 0.00407, ""KeyloggerLocalInstallation"": 0.010485, ""PasswordIntercept"": 0.198341}","{""Guessing"": [0.20246, 0.124952, 0.066639, 0.030756], ""Dictionary"": [0.202399, 0.16785, 0.135068], ""Bruteforce"": [0.202293, 0.126569, 0.06756, 0.034961, 0.017792], ""GenericReconnaissanceA"": [0.201875, 0.185703, 0.161162], ""EmailTrapExecution"": [0.61002, 0.478342, 0.301438], ""PhoneTrapExecution"": [0.611202, 0.44978], ""GenericReconnaissanceB"": [0.200734, 0.200126, 0.199182], ""PayloadCrafting"": [0.205745, 0.200176, 0.18976], ""EmailFileExecution"": [0.224439, 0.216925, 0.200688], ""PhysicalReconnaissance"": [0.201316, 0.198529, 0.193156], ""KeyloggerLocalInstallation"": [0.214737, 0.201502, 0.180502], ""PasswordIntercept"": [0.244898, 0.183059]}"
