network_id,method,iteration,opt_gap,rm_regret,objective,cum_runtime_s
0,exact,1,0.12966788,0.18203837,0.37406745,0.003812
0,exact,10,0.01575792,0.03733772,0.26015749,0.029208
0,exact,20,0.00601678,0.02080001,0.25041636,0.056179
0,exact,30,0.00247343,0.01451487,0.24687300,0.083007
0,exact,40,0.00071861,0.01121899,0.24511818,0.112825
0,exact,46,0.00000000,0.00983378,0.24439957,0.140101
0,stochastic,1,0.12966788,0.20750698,0.37406745,0.270951
0,stochastic,10,0.01545956,0.04005890,0.25985914,1.302537
0,stochastic,20,0.00616066,0.02193933,0.25056023,2.222309
0,stochastic,30,0.00282240,0.01498807,0.24722198,3.127760
0,stochastic,40,0.00097347,0.01177813,0.24537305,4.053461
0,stochastic,50,0.00005928,0.01004072,0.24445886,5.018043
0,stochastic,51,-0.00003460,0.00993531,0.24436497,5.107213
1,exact,1,0.17076676,0.78644245,0.73275539,0.004205
1,exact,10,0.06459600,0.23634263,0.62658463,0.039254
1,exact,20,0.04352526,0.15860445,0.60551389,0.076070
1,exact,30,0.03166840,0.12060647,0.59365704,0.110767
1,exact,40,0.02402327,0.09879075,0.58601190,0.142848
1,exact,50,0.01897859,0.08259083,0.58096722,0.174813
1,exact,60,0.01633027,0.06955150,0.57831890,0.207220
1,exact,70,0.01381181,0.06333286,0.57580044,0.239314
1,exact,80,0.01235937,0.05830554,0.57434800,0.272338
1,exact,90,0.01095571,0.05304838,0.57294435,0.304809
1,exact,100,0.01005585,0.04905416,0.57204449,0.337188
1,exact,110,0.00929045,0.04678733,0.57127908,0.369838
1,exact,120,0.00865419,0.04556462,0.57064283,0.405187
1,exact,130,0.00807218,0.04196540,0.57006082,0.437529
1,exact,140,0.00757045,0.03884353,0.56955909,0.470149
1,exact,150,0.00717903,0.03762815,0.56916767,0.501870
1,exact,160,0.00683027,0.03659323,0.56881890,0.534358
1,exact,170,0.00640635,0.03504720,0.56839498,0.566620
1,exact,180,0.00613917,0.03478361,0.56812780,0.598682
1,exact,190,0.00578781,0.03241276,0.56777645,0.631217
