network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,13,46,1,True,850,1.004698,0.00099974,850,1.004698,0.24056612,0.00000000,0.24056612,0.001,,"{""v0"": 0.000353, ""v1"": 0.000179, ""v2"": 0.004204, ""v3"": 0.001868, ""v4"": 0.431138, ""v5"": 9e-05, ""v6"": 0.000613, ""v7"": 9e-05, ""v8"": 9e-05, ""v9"": 0.000225, ""v10"": 0.001121, ""v11"": 0.180952, ""v12"": 0.379076}","{""v0"": [0.295299, 0.29527, 0.295173, 0.294828], ""v1"": [0.295409, 0.295358, 0.295343, 0.295271, 0.295232, 0.295215, 0.295147], ""v2"": [0.2955, 0.293164, 0.292123, 0.290284], ""v3"": [0.297504, 0.296928, 0.296363], ""v4"": [0.298304, 0.287371, 0.229075], ""v5"": [0.518777], ""v6"": [0.518515, 0.518376, 0.518245], ""v7"": [0.518892, 0.518772], ""v8"": [0.519028, 0.518933, 0.518858], ""v9"": [0.518971, 0.518969, 0.518928, 0.518816, 0.518708], ""v10"": [0.518221, 0.518109, 0.517974, 0.516841], ""v11"": [0.519138, 0.516032], ""v12"": [0.652455, 0.645948, 0.628716, 0.61151, 0.556265]}"
0,13,46,2,True,914,7.663748,0.00099201,914,7.663748,0.24048968,-0.00007644,0.24056612,0.001,100,"{""v0"": 8.4e-05, ""v1"": 0.00017, ""v2"": 0.007402, ""v3"": 0.001423, ""v4"": 0.430509, ""v5"": 8.4e-05, ""v6"": 0.000229, ""v7"": 0.001243, ""v8"": 0.000124, ""v9"": 0.000221, ""v10"": 8.4e-05, ""v11"": 0.189443, ""v12"": 0.368983}","{""v0"": [0.294802, 0.294795, 0.294772, 0.29469], ""v1"": [0.294763, 0.294715, 0.294701, 0.294633, 0.294595, 0.29458, 0.294515], ""v2"": [0.29485, 0.290785, 0.288989, 0.286172], ""v3"": [0.298288, 0.297847, 0.297416], ""v4"": [0.298897, 0.287961, 0.229619], ""v5"": [0.519211], ""v6"": [0.519236, 0.519184, 0.519135], ""v7"": [0.517941, 0.516317], ""v8"": [0.519339, 0.519208, 0.519105], ""v9"": [0.519327, 0.519325, 0.519285, 0.519175, 0.519069], ""v10"": [0.519422, 0.519413, 0.519403, 0.519318], ""v11"": [0.519491, 0.516257], ""v12"": [0.659626, 0.653182, 0.636104, 0.619033, 0.564095]}"
1,14,45,1,True,142103,202.044814,0.00099986,142103,202.044814,0.55850803,0.00000000,0.55850803,0.001,,"{""v0"": 0.238964, ""v1"": 0.395057, ""v2"": 0.237438, ""v3"": 0.127231, ""v4"": 0.000459, ""v5"": 5e-06, ""v6"": 1e-05, ""v7"": 6e-06, ""v8"": 0.000112, ""v9"": 3e-06, ""v10"": 0.000404, ""v11"": 0.000309, ""v12"": 1e-06, ""v13"": 1e-06}","{""v0"": [0.567987], ""v1"": [0.567589, 0.508966, 0.415788], ""v2"": [0.567442, 0.415843], ""v3"": [0.838122, 0.810822, 0.760968, 0.679964, 0.657082], ""v4"": [0.999522, 0.999513, 0.999446, 0.9993], ""v5"": [0.999977, 0.999976], ""v6"": [0.999983, 0.999983, 0.999983, 0.999977], ""v7"": [0.999869, 0.999866], ""v8"": [0.999877, 0.999868, 0.999855, 0.999788], ""v9"": [0.999997, 0.999997, 0.999995, 0.999995], ""v10"": [0.999595, 0.999508, 0.998198], ""v11"": [0.999673, 0.999569, 0.999538, 0.99913, 0.998975], ""v12"": [0.999997], ""v13"": [0.999999, 0.999999, 0.999999, 0.999999, 0.999998]}"
1,14,45,2,True,146622,949.247010,0.00099996,146622,949.247010,0.55849487,-0.00001316,0.55850803,0.001,100,"{""v0"": 0.239035, ""v1"": 0.395033, ""v2"": 0.23742, ""v3"": 0.127201, ""v4"": 1.3e-05, ""v5"": 3e-06, ""v6"": 0.000425, ""v7"": 1.1e-05, ""v8"": 0.000421, ""v9"": 0.000424, ""v10"": 4e-06, ""v11"": 4e-06, ""v12"": 4e-06, ""v13"": 0.0}","{""v0"": [0.567918], ""v1"": [0.567618, 0.508994, 0.415814], ""v2"": [0.567492, 0.415886], ""v3"": [0.838172, 0.810876, 0.761028, 0.680031, 0.657152], ""v4"": [0.999982, 0.999982, 0.99998, 0.999976], ""v5"": [0.999409, 0.999407], ""v6"": [0.999415, 0.999407, 0.999401, 0.999182], ""v7"": [0.999532, 0.999526], ""v8"": [0.999545, 0.999514, 0.999466, 0.999216], ""v9"": [0.99957, 0.999508, 0.99929, 0.999188], ""v10"": [0.999996, 0.999995, 0.999983], ""v11"": [0.999996, 0.999995, 0.999994, 0.999989, 0.999987], ""v12"": [0.999987], ""v13"": [0.999999, 0.999999, 0.999999, 0.999999, 0.999998]}"
2,13,31,1,True,303021,324.658896,0.00099999,303021,324.658896,0.61231210,0.00000000,0.61231210,0.001,,"{""v0"": 0.00044, ""v1"": 0.000433, ""v2"": 0.000354, ""v3"": 9e-06, ""v4"": 1e-06, ""v5"": 0.0, ""v6"": 0.190492, ""v7"": 0.190385, ""v8"": 0.469978, ""v9"": 0.14782, ""v10"": 0.0, ""v11"": 8.3e-05, ""v12"": 6e-06}","{""v0"": [0.61651, 0.616267, 0.616208, 0.616146], ""v1"": [0.616173, 0.615682], ""v2"": [0.616545, 0.616306, 0.616132], ""v3"": [0.616865, 0.616843], ""v4"": [0.616897, 0.616896], ""v5"": [0.616899, 0.616899, 0.616899], ""v6"": [0.616663, 0.568528, 0.438964], ""v7"": [0.792263, 0.616456], ""v8"": [0.616769, 0.312148, 0.308365], ""v9"": [0.6169], ""v10"": [0.999994], ""v11"": [0.999916, 0.999833], ""v12"": [0.999994, 0.999989, 0.999988]}"
2,13,31,2,True,263942,1463.508233,0.00099999,263942,1463.508233,0.61236799,0.00005589,0.61231210,0.001,100,"{""v0"": 1.9e-05, ""v1"": 0.00012, ""v2"": 0.000298, ""v3"": 0.00034, ""v4"": 2e-06, ""v5"": 1e-06, ""v6"": 0.190488, ""v7"": 0.190531, ""v8"": 0.470093, ""v9"": 0.147792, ""v10"": 0.0, ""v11"": 7e-06, ""v12"": 0.000311}","{""v0"": [0.616899, 0.616868, 0.61686, 0.616852], ""v1"": [0.61659, 0.616452], ""v2"": [0.616544, 0.616342, 0.616196], ""v3"": [0.616362, 0.616081], ""v4"": [0.616932, 0.616928], ""v5"": [0.616936, 0.616935, 0.616935], ""v6"": [0.616565, 0.568431, 0.438894], ""v7"": [0.792125, 0.616259], ""v8"": [0.616688, 0.312079, 0.308296], ""v9"": [0.616937], ""v10"": [0.999993], ""v11"": [0.999993, 0.999986], ""v12"": [0.999663, 0.999379, 0.999334]}"
3,12,43,1,True,129873,315.632036,0.00099996,129873,315.632036,0.76245647,0.00000000,0.76245647,0.001,,"{""v0"": 0.082597, ""v1"": 2e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.189241, ""v6"": 0.248821, ""v7"": 0.000624, ""v8"": 0.000479, ""v9"": 9.8e-05, ""v10"": 0.243736, ""v11"": 0.2344}","{""v0"": [0.761785], ""v1"": [0.999998, 0.999997, 0.999995], ""v2"": [0.999999, 0.999999, 0.999999, 0.999997], ""v3"": [0.999999, 0.999999], ""v4"": [0.999999, 0.999999, 0.999998], ""v5"": [0.76243, 0.749311, 0.746505, 0.622969, 0.602891, 0.592699, 0.580839], ""v6"": [0.762494, 0.733973, 0.723084, 0.654703, 0.633206, 0.587854, 0.50268], ""v7"": [0.761954, 0.7617], ""v8"": [0.762081, 0.761581, 0.761189], ""v9"": [0.762409, 0.762304, 0.762288], ""v10"": [0.762526, 0.735082, 0.692467, 0.546849], ""v11"": [0.762516, 0.708594, 0.658413, 0.511986]}"
3,12,43,2,True,149318,461.327676,0.00099992,149318,461.327676,0.76252357,0.00006711,0.76245647,0.001,100,"{""v0"": 0.08252, ""v1"": 1e-06, ""v2"": 1e-06, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 0.189187, ""v6"": 0.248747, ""v7"": 0.000107, ""v8"": 0.00061, ""v9"": 0.000928, ""v10"": 0.243617, ""v11"": 0.23428}","{""v0"": [0.76196], ""v1"": [0.999999, 0.999999, 0.999998], ""v2"": [0.999999, 0.999999, 0.999999, 0.999998], ""v3"": [0.999999, 0.999999], ""v4"": [0.999999, 0.999999, 0.999998], ""v5"": [0.762486, 0.749369, 0.746563, 0.623042, 0.602965, 0.592774, 0.580914], ""v6"": [0.762554, 0.734038, 0.723151, 0.654777, 0.633283, 0.587934, 0.502763], ""v7"": [0.762526, 0.762482], ""v8"": [0.762059, 0.761423, 0.760924], ""v9"": [0.761526, 0.760545, 0.760395], ""v10"": [0.762625, 0.735188, 0.692583, 0.546984], ""v11"": [0.762618, 0.70871, 0.65854, 0.512128]}"
4,14,47,1,True,282734,740.796630,0.00099996,282734,740.796630,0.73222990,0.00000000,0.73222990,0.001,,"{""v0"": 0.197105, ""v1"": 2e-06, ""v2"": 0.0, ""v3"": 0.0, ""v4"": 0.0, ""v5"": 0.307285, ""v6"": 0.013968, ""v7"": 0.136863, ""v8"": 0.125564, ""v9"": 0.0, ""v10"": 0.000256, ""v11"": 1e-06, ""v12"": 0.098335, ""v13"": 0.120619}","{""v0"": [0.732256, 0.559107], ""v1"": [0.999997, 0.999996], ""v2"": [0.999999, 0.999999], ""v3"": [0.999999, 0.999999, 0.999999, 0.999999], ""v4"": [1.0, 1.0, 1.0, 1.0], ""v5"": [0.732258, 0.723329, 0.676758, 0.630836, 0.616712], ""v6"": [0.731767, 0.729539, 0.728649], ""v7"": [0.744566, 0.732595, 0.718088, 0.692231], ""v8"": [0.877498, 0.782211, 0.765706, 0.74735, 0.721793, 0.696914], ""v9"": [0.73193, 0.73193, 0.731929], ""v10"": [0.731606, 0.731588, 0.731578], ""v11"": [0.731929, 0.731929, 0.731928], ""v12"": [0.73193, 0.706133, 0.667779], ""v13"": [0.853359, 0.755904, 0.641064]}"
4,14,47,2,True,257994,1213.134872,0.00099996,257994,1213.134872,0.73218223,-0.00004767,0.73222990,0.001,100,"{""v0"": 0.197153, ""v1"": 0.0, ""v2"": 1e-06, ""v3"": 0.0, ""v4"": 1e-06, ""v5"": 0.307351, ""v6"": 0.014152, ""v7"": 0.136361, ""v8"": 0.126005, ""v9"": 5e-06, ""v10"": 0.0, ""v11"": 2e-06, ""v12"": 0.098344, ""v13"": 0.120624}","{""v0"": [0.732204, 0.559042], ""v1"": [0.999999, 0.999999], ""v2"": [0.999997, 0.999996], ""v3"": [0.999999, 0.999999, 0.999998, 0.999998], ""v4"": [0.999999, 0.999999, 0.999999, 0.999999], ""v5"": [0.73221, 0.72328, 0.676704, 0.630779, 0.616655], ""v6"": [0.731669, 0.729412, 0.728511], ""v7"": [0.744612, 0.73268, 0.718212, 0.692429], ""v8"": [0.877098, 0.781578, 0.765039, 0.746648, 0.721047, 0.696129], ""v9"": [0.73191, 0.73191, 0.731905], ""v10"": [0.731916, 0.731916, 0.731916], ""v11"": [0.731914, 0.731913, 0.731912], ""v12"": [0.731916, 0.706118, 0.667762], ""v13"": [0.853354, 0.755896, 0.641055]}"
