network_id,method,iteration,opt_gap,rm_regret,objective,cum_runtime_s
0,1,1,0.13350133,0.18203837,0.37406745,0.002607
0,1,250,0.00052705,0.00236783,0.24109317,0.274845
0,1,500,0.00017037,0.00142217,0.24073649,0.543527
0,1,750,0.00003459,0.00108345,0.24060071,0.815211
0,1,850,0.00000000,0.00099974,0.24056612,0.923859
0,2,1,0.13350133,0.19894674,0.37406745,0.002712
0,2,250,0.00241187,0.01056787,0.24297799,0.297782
0,2,500,0.00103284,0.00642033,0.24159896,0.575766
0,2,750,0.00053654,0.00507345,0.24110266,0.845548
0,2,1000,0.00041395,0.00483220,0.24098007,1.141895
0,2,1250,0.00016111,0.00355563,0.24072723,1.409493
0,2,1500,0.00000510,0.00338981,0.24057122,1.674934
0,2,1750,-0.00013881,0.00321274,0.24042731,1.935992
0,2,2000,-0.00023363,0.00269256,0.24033249,2.195012
0,2,2250,-0.00024899,0.00302705,0.24031713,2.467764
0,2,2500,-0.00027908,0.00253294,0.24028703,2.734055
0,2,2750,-0.00032111,0.00275980,0.24024501,2.998435
0,2,3000,-0.00036835,0.00264347,0.24019776,3.248766
0,2,3250,-0.00038840,0.00207398,0.24017772,3.502344
0,2,3500,-0.00040272,0.00221539,0.24016340,3.769607
0,2,3750,-0.00042314,0.00168871,0.24014298,4.037442
0,2,4000,-0.00043308,0.00195965,0.24013303,4.305115
0,2,4250,-0.00044061,0.00194185,0.24012551,4.577107
0,2,4500,-0.00043190,0.00192550,0.24013422,4.828586
0,2,4750,-0.00042522,0.00165250,0.24014089,5.093448
0,2,5000,-0.00041365,0.00167674,0.24015247,5.368046
0,2,5250,-0.00041835,0.00148630,0.24014777,5.636093
0,2,5500,-0.00042769,0.00170892,0.24013843,5.902936
0,2,5750,-0.00043205,0.00152057,0.24013407,6.170567
0,2,6000,-0.00043621,0.00140052,0.24012991,6.438833
0,2,6250,-0.00044642,0.00150451,0.24011969,6.715849
0,2,6500,-0.00045049,0.00131704,0.24011562,6.984115
0,2,6750,-0.00045651,0.00126368,0.24010961,7.250622
0,2,7000,-0.00046055,0.00134986,0.24010557,7.519981
0,2,7250,-0.00046133,0.00136380,0.24010479,7.792787
0,2,7500,-0.00046564,0.00112828,0.24010047,8.060925
0,2,7750,-0.00046786,0.00113402,0.24009826,8.326705
0,2,8000,-0.00046951,0.00117914,0.24009661,8.595398
0,2,8250,-0.00047077,0.00116207,0.24009535,8.874836
0,2,8500,-0.00047133,0.00117443,0.24009478,9.142984
0,2,8750,-0.00047245,0.00102087,0.24009366,9.410617
0,2,8758,-0.00047249,0.00099486,0.24009362,9.419042
1,1,1,0.17424737,0.78644245,0.73275539,0.001803
1,1,250,0.00808587,0.02857354,0.56659389,0.348121
1,1,500,0.00602936,0.01862247,0.56453739,0.690804
1,1,750,0.00499227,0.01523338,0.56350029,1.034432
1,1,1000,0.00436460,0.01286100,0.56287262,1.374744
1,1,1250,0.00388561,0.01144865,0.56239364,1.714552
1,1,1500,0.00355295,0.01020888,0.56206097,2.056920
1,1,1750,0.00327267,0.00942067,0.56178070,2.398200
1,1,2000,0.00304043,0.00870175,0.56154845,2.739115
1,1,2250,0.00285555,0.00819112,0.56136357,3.080722
1,1,2500,0.00269336,0.00775700,0.56120139,3.420912
1,1,2750,0.00255398,0.00735809,0.56106200,3.779298
1,1,3000,0.00243214,0.00711563,0.56094017,4.119988
1,1,3250,0.00232835,0.00677748,0.56083637,4.464307
1,1,3500,0.00223771,0.00655602,0.56074573,4.809120
1,1,3750,0.00215003,0.00628518,0.56065806,5.154484
1,1,4000,0.00207365,0.00607810,0.56058167,5.496008
1,1,4250,0.00200210,0.00592343,0.56051012,5.836842
1,1,4500,0.00193937,0.00570944,0.56044740,6.176949
1,1,4750,0.00187656,0.00556898,0.56038458,6.518425
1,1,5000,0.00181852,0.00542800,0.56032655,6.857985
1,1,5250,0.00176621,0.00532253,0.56027423,7.198286
1,1,5500,0.00171718,0.00520082,0.56022521,7.538975
1,1,5750,0.00167325,0.00503676,0.56018128,7.879455
1,1,6000,0.00162915,0.00497878,0.56013717,8.217540
1,1,6250,0.00159126,0.00482737,0.56009929,8.556430
1,1,6500,0.00155336,0.00475544,0.56006138,8.896592
1,1,6750,0.00151912,0.00465922,0.56002714,9.236611
1,1,7000,0.00148719,0.00460353,0.55999522,9.576368
1,1,7250,0.00145726,0.00449383,0.55996529,9.915282
1,1,7500,0.00142714,0.00444811,0.55993516,10.254840
1,1,7750,0.00139978,0.00434174,0.55990780,10.595690
1,1,8000,0.00137205,0.00430239,0.55988008,10.934869
1,1,8250,0.00134700,0.00422099,0.55985503,11.273864
1,1,8500,0.00132219,0.00415988,0.55983022,11.612826
1,1,8750,0.00129828,0.00407640,0.55980631,11.951877
1,1,9000,0.00127527,0.00405684,0.55978329,12.290479
1,1,9250,0.00125453,0.00396782,0.55976256,12.644967
1,1,9500,0.00123245,0.00391441,0.55974048,12.984675
1,1,9750,0.00121278,0.00388996,0.55972081,13.327174
1,1,10000,0.00119302,0.00381482,0.55970105,13.667980
1,1,10250,0.00117417,0.00376582,0.55968220,14.007925
1,1,10500,0.00115648,0.00375271,0.55966451,14.347999
1,1,10750,0.00113881,0.00369239,0.55964683,14.687387
1,1,11000,0.00112173,0.00365162,0.55962976,15.026384
1,1,11250,0.00110548,0.00361252,0.55961350,15.365546
1,1,11500,0.00108941,0.00356239,0.55959743,15.704188
1,1,11750,0.00107421,0.00352855,0.55958224,16.042917
1,1,12000,0.00105911,0.00348388,0.55956713,16.382482
1,1,12250,0.00104466,0.00346190,0.55955269,16.723927
1,1,12500,0.00103032,0.00341984,0.55953834,17.065350
1,1,12750,0.00101647,0.00339916,0.55952450,17.427589
1,1,13000,0.00100289,0.00335631,0.55951091,17.767523
1,1,13250,0.00099035,0.00331529,0.55949838,18.106819
1,1,13500,0.00097765,0.00329125,0.55948568,18.446781
1,1,13750,0.00096570,0.00327463,0.55947373,18.786959
1,1,14000,0.00095346,0.00322479,0.55946149,19.125898
1,1,14250,0.00094165,0.00320437,0.55944967,19.464767
1,1,14500,0.00093005,0.00316855,0.55943808,19.803100
1,1,14750,0.00091946,0.00315874,0.55942748,20.143730
1,1,15000,0.00090868,0.00312932,0.55941670,20.483068
1,1,15250,0.00089830,0.00309814,0.55940632,20.822998
1,1,15500,0.00088796,0.00308080,0.55939598,21.162179
1,1,15750,0.00087786,0.00304270,0.55938589,21.502255
1,1,16000,0.00086769,0.00303363,0.55937572,21.840934
1,1,16250,0.00085814,0.00299920,0.55936616,22.180515
1,1,16500,0.00084860,0.00296624,0.55935662,22.518982
