network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,13,46,exact,True,46,0.140101,0.00983378,46,0.140101,0.24439957,0.00000000,0.24439957,0.01,,"{""v0"": 0.001934, ""v1"": 0.003313, ""v2"": 0.074785, ""v3"": 0.034516, ""v4"": 0.344268, ""v5"": 0.001672, ""v6"": 0.005047, ""v7"": 0.001672, ""v8"": 0.001672, ""v9"": 0.004162, ""v10"": 0.00292, ""v11"": 0.20076, ""v12"": 0.323279}","{""v0"": [0.293875, 0.293742, 0.293313, 0.291785], ""v1"": [0.293402, 0.292631, 0.292416, 0.291346, 0.290767, 0.290518, 0.289522], ""v2"": [0.294773, 0.265166, 0.253911, 0.236035], ""v3"": [0.325655, 0.316274, 0.307561], ""v4"": [0.341404, 0.330724, 0.271704], ""v5"": [0.532714], ""v6"": [0.532809, 0.531869, 0.530995], ""v7"": [0.534442, 0.532639], ""v8"": [0.536543, 0.534816, 0.533681], ""v9"": [0.535462, 0.53542, 0.534742, 0.533045, 0.531423], ""v10"": [0.536178, 0.53588, 0.535518, 0.533016], ""v11"": [0.538638, 0.535116], ""v12"": [0.693279, 0.68717, 0.670922, 0.654598, 0.601487]}"
0,13,46,stochastic,True,51,5.107213,0.00993531,51,5.107213,0.24436497,-0.00003460,0.24439957,0.01,300,"{""v0"": 0.001508, ""v1"": 0.002936, ""v2"": 0.060469, ""v3"": 0.033817, ""v4"": 0.351351, ""v5"": 0.001508, ""v6"": 0.003928, ""v7"": 0.004883, ""v8"": 0.001508, ""v9"": 0.003821, ""v10"": 0.001508, ""v11"": 0.189903, ""v12"": 0.342858}","{""v0"": [0.294786, 0.294682, 0.294344, 0.293139], ""v1"": [0.294267, 0.293578, 0.293387, 0.292429, 0.29191, 0.291688, 0.290795], ""v2"": [0.295492, 0.270614, 0.26087, 0.245293], ""v3"": [0.320586, 0.31153, 0.303111], ""v4"": [0.335822, 0.325152, 0.266384], ""v5"": [0.529418], ""v6"": [0.529905, 0.529176, 0.528497], ""v7"": [0.527699, 0.522549], ""v8"": [0.532294, 0.530711, 0.529692], ""v9"": [0.531274, 0.531235, 0.530593, 0.529044, 0.527564], ""v10"": [0.532909, 0.532755, 0.532568, 0.531008], ""v11"": [0.534175, 0.530844], ""v12"": [0.678621, 0.672359, 0.655727, 0.639054, 0.585068]}"
1,14,45,exact,True,1560,5.043644,0.00997116,1560,5.043644,0.56198863,0.00000000,0.56198863,0.01,,"{""v0"": 0.233255, ""v1"": 0.389923, ""v2"": 0.225741, ""v3"": 0.135613, ""v4"": 0.004712, ""v5"": 0.000414, ""v6"": 0.000936, ""v7"": 0.000577, ""v8"": 0.001907, ""v9"": 0.000253, ""v10"": 0.00362, ""v11"": 0.00292, ""v12"": 8.4e-05, ""v13"": 4.6e-05}","{""v0"": [0.573319], ""v1"": [0.570161, 0.511738, 0.418659], ""v2"": [0.569129, 0.421495], ""v3"": [0.826945, 0.7985, 0.746833, 0.663633, 0.640298], ""v4"": [0.994868, 0.99478, 0.994099, 0.99261], ""v5"": [0.997934, 0.997826], ""v6"": [0.998453, 0.998435, 0.998422, 0.997941], ""v7"": [0.997058, 0.996804], ""v8"": [0.997692, 0.997549, 0.99733, 0.996204], ""v9"": [0.999744, 0.999706, 0.999576, 0.999516], ""v10"": [0.996383, 0.995609, 0.98408], ""v11"": [0.99692, 0.995946, 0.99565, 0.991842, 0.990399], ""v12"": [0.999682], ""v13"": [0.999952, 0.999947, 0.999939, 0.999929, 0.9998]}"
1,14,45,stochastic,True,1596,118.544282,0.00999844,1596,118.544282,0.56229715,0.00030852,0.56198863,0.01,300,"{""v0"": 0.23341, ""v1"": 0.389608, ""v2"": 0.224508, ""v3"": 0.136701, ""v4"": 0.001299, ""v5"": 0.000429, ""v6"": 0.004338, ""v7"": 0.001078, ""v8"": 0.003792, ""v9"": 0.003645, ""v10"": 0.000437, ""v11"": 0.000309, ""v12"": 0.000402, ""v13"": 4.5e-05}","{""v0"": [0.573427], ""v1"": [0.57068, 0.512233, 0.419101], ""v2"": [0.569563, 0.422295], ""v3"": [0.826152, 0.79754, 0.745606, 0.662073, 0.638666], ""v4"": [0.998315, 0.998291, 0.998102, 0.997688], ""v5"": [0.993195, 0.993082], ""v6"": [0.99375, 0.993669, 0.993609, 0.991411], ""v7"": [0.994433, 0.993961], ""v8"": [0.995612, 0.99533, 0.994899, 0.992676], ""v9"": [0.996312, 0.995776, 0.993917, 0.993053], ""v10"": [0.999563, 0.999469, 0.998055], ""v11"": [0.999673, 0.99957, 0.999538, 0.999131, 0.998976], ""v12"": [0.998664], ""v13"": [0.999953, 0.999948, 0.99994, 0.99993, 0.999804]}"
2,13,31,exact,True,3041,7.362709,0.00999888,3041,7.362709,0.61471200,0.00000000,0.61471200,0.01,,"{""v0"": 0.004813, ""v1"": 0.004256, ""v2"": 0.003844, ""v3"": 0.000891, ""v4"": 7.4e-05, ""v5"": 3.6e-05, ""v6"": 0.18718, ""v7"": 0.189482, ""v8"": 0.462949, ""v9"": 0.144498, ""v10"": 2.5e-05, ""v11"": 0.001396, ""v12"": 0.000556}","{""v0"": [0.617873, 0.615224, 0.614592, 0.613917], ""v1"": [0.614905, 0.61015], ""v2"": [0.618279, 0.61569, 0.61382], ""v3"": [0.619989, 0.619243], ""v4"": [0.621899, 0.621706], ""v5"": [0.622092, 0.622074, 0.622066], ""v6"": [0.619885, 0.571994, 0.443032], ""v7"": [0.793113, 0.617678], ""v8"": [0.62069, 0.315906, 0.312099], ""v9"": [0.622167], ""v10"": [0.999359], ""v11"": [0.998592, 0.997203], ""v12"": [0.999398, 0.998889, 0.998809]}"
2,13,31,stochastic,True,2851,177.865919,0.00999411,2851,177.865919,0.61508597,0.00037397,0.61471200,0.01,300,"{""v0"": 0.001695, ""v1"": 0.002119, ""v2"": 0.003639, ""v3"": 0.003599, ""v4"": 0.000133, ""v5"": 6.1e-05, ""v6"": 0.187159, ""v7"": 0.18998, ""v8"": 0.463258, ""v9"": 0.144489, ""v10"": 2.7e-05, ""v11"": 0.000743, ""v12"": 0.003098}","{""v0"": [0.619723, 0.61877, 0.618544, 0.618302], ""v1"": [0.617746, 0.615345], ""v2"": [0.61816, 0.615706, 0.613934], ""v3"": [0.616449, 0.613513], ""v4"": [0.621561, 0.621217], ""v5"": [0.621906, 0.621877, 0.621864], ""v6"": [0.619554, 0.571668, 0.4428], ""v7"": [0.792644, 0.617004], ""v8"": [0.620351, 0.315656, 0.311851], ""v9"": [0.622034], ""v10"": [0.999212], ""v11"": [0.999251, 0.99851], ""v12"": [0.996652, 0.993841, 0.9934]}"
3,12,43,exact,True,1615,9.669603,0.00998612,1615,9.669603,0.76544419,0.00000000,0.76544419,0.01,,"{""v0"": 0.082971, ""v1"": 0.000142, ""v2"": 5.2e-05, ""v3"": 5.2e-05, ""v4"": 5.2e-05, ""v5"": 0.186182, ""v6"": 0.244941, ""v7"": 0.007235, ""v8"": 0.007316, ""v9"": 0.007896, ""v10"": 0.236221, ""v11"": 0.226942}","{""v0"": [0.760884], ""v1"": [0.999835, 0.999776, 0.999616], ""v2"": [0.999932, 0.999884, 0.999884, 0.999788], ""v3"": [0.999931, 0.999898], ""v4"": [0.999939, 0.999913, 0.99987], ""v5"": [0.765623, 0.752623, 0.749842, 0.62712, 0.607124, 0.596968, 0.585144], ""v6"": [0.765654, 0.737382, 0.726581, 0.658655, 0.637268, 0.592095, 0.507062], ""v7"": [0.762261, 0.759342], ""v8"": [0.762113, 0.754594, 0.74879], ""v9"": [0.75956, 0.751371, 0.750136], ""v10"": [0.768774, 0.741807, 0.699832, 0.555463], ""v11"": [0.768939, 0.715931, 0.666419, 0.520928]}"
3,12,43,stochastic,True,1765,57.860519,0.00998334,1765,57.860519,0.76568806,0.00024387,0.76544419,0.01,300,"{""v0"": 0.082513, ""v1"": 4.7e-05, ""v2"": 4.7e-05, ""v3"": 4.7e-05, ""v4"": 6.7e-05, ""v5"": 0.186393, ""v6"": 0.244605, ""v7"": 0.00717, ""v8"": 0.007832, ""v9"": 0.009989, ""v10"": 0.235148, ""v11"": 0.226141}","{""v0"": [0.761933], ""v1"": [0.999945, 0.999925, 0.999872], ""v2"": [0.999938, 0.999894, 0.999894, 0.999806], ""v3"": [0.999937, 0.999906], ""v4"": [0.99992, 0.999887, 0.999831], ""v5"": [0.765402, 0.752395, 0.749611, 0.626833, 0.606831, 0.596672, 0.584846], ""v6"": [0.765928, 0.737677, 0.726884, 0.658998, 0.637621, 0.592463, 0.507443], ""v7"": [0.763068, 0.760172], ""v8"": [0.762383, 0.75434, 0.748137], ""v9"": [0.757852, 0.747567, 0.746021], ""v10"": [0.769671, 0.742774, 0.700893, 0.556711], ""v11"": [0.769632, 0.716725, 0.667287, 0.521903]}"
4,14,47,exact,True,3015,17.933276,0.00998992,3015,17.933276,0.73427019,0.00000000,0.73427019,0.01,,"{""v0"": 0.195014, ""v1"": 0.000224, ""v2"": 3.1e-05, ""v3"": 2.4e-05, ""v4"": 2.4e-05, ""v5"": 0.304595, ""v6"": 0.030173, ""v7"": 0.125577, ""v8"": 0.123516, ""v9"": 2.4e-05, ""v10"": 0.002272, ""v11"": 9.1e-05, ""v12"": 0.102461, ""v13"": 0.115973}","{""v0"": [0.734492, 0.561944], ""v1"": [0.999675, 0.999621], ""v2"": [0.999931, 0.999909], ""v3"": [0.999948, 0.999948, 0.999907, 0.999896], ""v4"": [0.999974, 0.999974, 0.999973, 0.999968], ""v5"": [0.734225, 0.725337, 0.678954, 0.633175, 0.619087], ""v6"": [0.729569, 0.724953, 0.72313], ""v7"": [0.755552, 0.744247, 0.730565, 0.706075], ""v8"": [0.879354, 0.785157, 0.768809, 0.750617, 0.725269, 0.700572], ""v9"": [0.732423, 0.732419, 0.7324], ""v10"": [0.729581, 0.729423, 0.729336], ""v11"": [0.732338, 0.732316, 0.732257], ""v12"": [0.732449, 0.705646, 0.665935], ""v13"": [0.858465, 0.763463, 0.650535]}"
4,14,47,stochastic,True,2791,144.044046,0.00999280,2791,144.044046,0.73414472,-0.00012547,0.73427019,0.01,300,"{""v0"": 0.195011, ""v1"": 3.7e-05, ""v2"": 0.000122, ""v3"": 5.1e-05, ""v4"": 6e-05, ""v5"": 0.304992, ""v6"": 0.030883, ""v7"": 0.125722, ""v8"": 0.123451, ""v9"": 0.000612, ""v10"": 3.3e-05, ""v11"": 0.0002, ""v12"": 0.104783, ""v13"": 0.114041}","{""v0"": [0.734484, 0.561939], ""v1"": [0.999946, 0.999937], ""v2"": [0.999725, 0.999638], ""v3"": [0.99988, 0.99988, 0.999791, 0.999769], ""v4"": [0.999935, 0.999935, 0.999931, 0.99992], ""v5"": [0.733934, 0.725041, 0.678629, 0.632829, 0.618736], ""v6"": [0.728953, 0.724241, 0.722379], ""v7"": [0.755485, 0.74417, 0.730476, 0.705966], ""v8"": [0.879413, 0.785251, 0.768908, 0.750721, 0.72538, 0.700689], ""v9"": [0.73139, 0.731287, 0.730812], ""v10"": [0.732026, 0.732024, 0.732023], ""v11"": [0.731825, 0.731776, 0.731648], ""v12"": [0.732068, 0.704733, 0.66431], ""v13"": [0.8606, 0.766641, 0.654545]}"
