network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
0,1,0.34728957,0.34728957,0.00000000,0.00000000,10
0,50,0.21687846,0.22546604,0.00407914,0.00128994,10
0,100,0.21493457,0.22101044,0.00236807,0.00074885,10
0,150,0.21440488,0.21927476,0.00180604,0.00057112,10
0,200,0.21411726,0.21825604,0.00123263,0.00038979,10
0,250,0.21397427,0.21753935,0.00090302,0.00028556,10
0,300,0.21385000,0.21707510,0.00088750,0.00028065,10
0,350,0.21379930,0.21665282,0.00076917,0.00024323,10
0,400,0.21373925,0.21633292,0.00071592,0.00022639,10
0,450,0.21368250,0.21609632,0.00066482,0.00021023,10
0,500,0.21364369,0.21588184,0.00064505,0.00020398,10
0,550,0.21361084,0.21572078,0.00062003,0.00019607,10
0,600,0.21357867,0.21558639,0.00060644,0.00019177,10
0,650,0.21355987,0.21546135,0.00057762,0.00018266,10
0,700,0.21353792,0.21534521,0.00052478,0.00016595,10
0,750,0.21351764,0.21522022,0.00047379,0.00014983,10
0,800,0.21350293,0.21514516,0.00044582,0.00014098,10
0,850,0.21348857,0.21506843,0.00041479,0.00013117,10
0,900,0.21347247,0.21499960,0.00040259,0.00012731,10
0,950,0.21345862,0.21493452,0.00039191,0.00012393,10
0,1000,0.21344753,0.21488743,0.00037606,0.00011892,10
0,1050,0.21343582,0.21485541,0.00035615,0.00011262,10
0,1100,0.21342704,0.21481105,0.00035610,0.00011261,10
0,1150,0.21341782,0.21477272,0.00034929,0.00011046,10
0,1200,0.21340698,0.21473324,0.00035118,0.00011105,10
0,1250,0.21339794,0.21469424,0.00034508,0.00010912,10
0,1300,0.21338931,0.21465951,0.00033957,0.00010738,10
0,1350,0.21338267,0.21462526,0.00033396,0.00010561,10
0,1400,0.21337467,0.21458772,0.00031932,0.00010098,10
0,1450,0.21336688,0.21455002,0.00030717,0.00009714,10
0,1500,0.21336224,0.21450536,0.00028978,0.00009164,10
0,1550,0.21335538,0.21446705,0.00027405,0.00008666,10
0,1600,0.21335007,0.21443308,0.00025773,0.00008150,10
0,1650,0.21334494,0.21439844,0.00024465,0.00007737,10
0,1700,0.21333896,0.21436546,0.00023264,0.00007357,10
0,1750,0.21333344,0.21433411,0.00022362,0.00007071,10
0,1800,0.21332945,0.21430464,0.00021800,0.00006894,10
0,1850,0.21332498,0.21427623,0.00021166,0.00006693,10
0,1900,0.21331985,0.21424728,0.00020615,0.00006519,10
0,1950,0.21331523,0.21422125,0.00019718,0.00006235,10
0,2000,0.21331211,0.21419882,0.00019607,0.00006200,10
0,2050,,0.21417901,0.00019197,0.00006071,10
0,2100,,0.21415888,0.00018938,0.00005989,10
0,2150,,0.21414158,0.00018598,0.00005881,10
0,2200,,0.21412083,0.00017994,0.00005690,10
0,2250,,0.21409909,0.00017369,0.00005492,10
0,2300,,0.21408030,0.00016828,0.00005321,10
0,2350,,0.21406314,0.00016710,0.00005284,10
