network_id,method,iteration,opt_gap,rm_regret,objective,cum_runtime_s
0,1,1,0.00058790,0.00295103,0.00063427,0.002523
0,1,5,0.00000000,0.00087092,0.00004637,0.008753
0,2,1,0.00058790,0.00817420,0.00063427,0.003381
0,2,16,-0.00002120,0.00098124,0.00002517,0.036953
1,1,1,0.05677288,0.66658398,0.07020852,0.001799
1,1,500,0.00155204,0.02585713,0.01498767,0.877134
1,1,1000,0.00075044,0.01361265,0.01418608,1.760876
1,1,1500,0.00047149,0.00936532,0.01390712,2.617643
1,1,2000,0.00033932,0.00727945,0.01377496,3.458755
1,1,2500,0.00026193,0.00593756,0.01369757,4.279294
1,1,3000,0.00021093,0.00507505,0.01364656,5.098904
1,1,3500,0.00017534,0.00444606,0.01361098,5.917555
1,1,4000,0.00014868,0.00396998,0.01358432,6.764828
1,1,4500,0.00012825,0.00357597,0.01356388,7.583239
1,1,5000,0.00011186,0.00327987,0.01354750,8.407526
1,1,5500,0.00009832,0.00302844,0.01353396,9.230307
1,1,6000,0.00008709,0.00282596,0.01352273,10.050149
1,1,6500,0.00007742,0.00265259,0.01351306,10.872790
1,1,7000,0.00006940,0.00249320,0.01350504,11.693483
1,1,7500,0.00006225,0.00237038,0.01349788,12.512683
1,1,8000,0.00005704,0.00224531,0.01349267,13.334298
1,1,8500,0.00005244,0.00214092,0.01348808,14.155724
1,1,9000,0.00004852,0.00205812,0.01348415,14.979175
1,1,9500,0.00004500,0.00197379,0.01348064,15.799892
1,1,10000,0.00004159,0.00189543,0.01347722,16.624403
1,1,10500,0.00003863,0.00182715,0.01347426,17.448937
1,1,11000,0.00003581,0.00177247,0.01347144,18.272178
1,1,11500,0.00003331,0.00171289,0.01346894,19.097832
1,1,12000,0.00003094,0.00165856,0.01346657,19.923193
1,1,12500,0.00002873,0.00161234,0.01346436,20.744880
1,1,13000,0.00002666,0.00155905,0.01346229,21.569720
1,1,13500,0.00002480,0.00152695,0.01346043,22.395649
1,1,14000,0.00002298,0.00148068,0.01345861,23.222900
1,1,14500,0.00002130,0.00144636,0.01345693,24.049710
1,1,15000,0.00001972,0.00140976,0.01345535,24.874782
1,1,15500,0.00001833,0.00137753,0.01345396,25.700109
1,1,16000,0.00001692,0.00134962,0.01345256,26.529451
1,1,16500,0.00001562,0.00132208,0.01345126,27.358563
1,1,17000,0.00001442,0.00129586,0.01345005,28.184497
1,1,17500,0.00001324,0.00126734,0.01344888,29.009759
1,1,18000,0.00001216,0.00124513,0.01344779,29.837915
1,1,18500,0.00001108,0.00122422,0.01344671,30.664425
1,1,19000,0.00001009,0.00120248,0.01344572,31.490297
1,1,19500,0.00000903,0.00117906,0.01344467,32.317847
1,1,20000,0.00000806,0.00116185,0.01344370,33.143258
1,1,20500,0.00000712,0.00113890,0.01344276,33.970938
1,1,21000,0.00000621,0.00112119,0.01344185,34.795187
1,1,21500,0.00000534,0.00110747,0.01344097,35.625973
1,1,22000,0.00000445,0.00109104,0.01344009,36.503968
1,1,22500,0.00000368,0.00107256,0.01343931,37.325812
1,1,23000,0.00000290,0.00105660,0.01343854,38.135593
1,1,23500,0.00000210,0.00104182,0.01343774,38.946525
1,1,24000,0.00000139,0.00102902,0.01343702,39.762072
1,1,24500,0.00000067,0.00101464,0.01343631,40.575480
1,1,24980,0.00000000,0.00099922,0.01343563,41.355646
1,2,1,0.05677288,0.92179345,0.07020852,0.002368
1,2,500,0.00306273,0.04083015,0.01649836,1.081230
1,2,1000,0.00174455,0.02263483,0.01518018,2.091317
1,2,1500,0.00116875,0.01582622,0.01460438,3.008785
1,2,2000,0.00089541,0.01219378,0.01433104,3.786683
1,2,2500,0.00072022,0.01005333,0.01415585,4.551362
1,2,3000,0.00061538,0.00861863,0.01405101,5.339776
1,2,3500,0.00054110,0.00752100,0.01397674,6.147505
1,2,4000,0.00048697,0.00671654,0.01392261,6.977136
1,2,4500,0.00044561,0.00607126,0.01388124,7.784356
1,2,5000,0.00041224,0.00552092,0.01384788,8.609472
1,2,5500,0.00038500,0.00511239,0.01382063,9.381992
1,2,6000,0.00036591,0.00476909,0.01380155,10.208772
1,2,6500,0.00034620,0.00448552,0.01378184,10.985056
1,2,7000,0.00032720,0.00424795,0.01376284,11.823840
1,2,7500,0.00031259,0.00398748,0.01374822,12.646447
1,2,8000,0.00029908,0.00379694,0.01373472,13.455451
1,2,8500,0.00028717,0.00359030,0.01372280,14.264083
1,2,9000,0.00027792,0.00346805,0.01371355,15.077500
1,2,9500,0.00026736,0.00332190,0.01370299,15.856195
1,2,10000,0.00025963,0.00317933,0.01369526,16.680936
1,2,10500,0.00025210,0.00305259,0.01368773,17.462527
1,2,11000,0.00024566,0.00294408,0.01368129,18.253927
1,2,11500,0.00024148,0.00286564,0.01367712,19.081377
1,2,12000,0.00023463,0.00278619,0.01367026,19.898615
1,2,12500,0.00022898,0.00270652,0.01366462,20.723365
1,2,13000,0.00022378,0.00261918,0.01365941,21.564905
1,2,13500,0.00021806,0.00253004,0.01365370,22.383719
1,2,14000,0.00021302,0.00247332,0.01364866,23.218592
1,2,14500,0.00020895,0.00242593,0.01364458,24.015622
1,2,15000,0.00020469,0.00234665,0.01364032,24.825706
1,2,15500,0.00019918,0.00230799,0.01363481,25.588937
1,2,16000,0.00019503,0.00224781,0.01363066,26.357496
1,2,16500,0.00019228,0.00217604,0.01362791,27.136748
1,2,17000,0.00018832,0.00212513,0.01362395,27.912075
1,2,17500,0.00018710,0.00209952,0.01362274,28.701030
1,2,18000,0.00018380,0.00206881,0.01361944,29.474445
1,2,18500,0.00018194,0.00200994,0.01361758,30.264875
1,2,19000,0.00017896,0.00197865,0.01361460,31.034108
1,2,19500,0.00017592,0.00194020,0.01361155,31.812453
1,2,20000,0.00017358,0.00190585,0.01360922,32.602054
1,2,20500,0.00017235,0.00189369,0.01360798,33.391621
1,2,21000,0.00016909,0.00185336,0.01360473,34.159142
1,2,21500,0.00016647,0.00181587,0.01360210,34.934905
