network_id,n_controls,total_Q,method,converged,stop_reason,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,7,26,1,True,regret,7178,5.840268,0.00099997,7178,5.840268,0.31436895,0.00000000,0.31436895,0.001,,"{""get_credentials"": 0.419251, ""find_LAN_access_port"": 5.5e-05, ""spoof_MAC_address"": 4e-05, ""find_WLAN"": 2e-05, ""break_WPA_keys"": 0.002541, ""exploit_software_vulnerability"": 0.000672, ""run_malicous_script"": 0.577422}","{""get_credentials"": [0.320047, 0.297135, 0.261229, 0.207547, 0.150555], ""find_LAN_access_port"": [0.517588, 0.517576, 0.517545], ""spoof_MAC_address"": [0.51763, 0.517627, 0.517621, 0.517609], ""find_WLAN"": [0.515441, 0.515434, 0.515416], ""break_WPA_keys"": [0.515464, 0.514709, 0.513016, 0.50972], ""exploit_software_vulnerability"": [0.517656, 0.517586, 0.517452, 0.517127], ""run_malicous_script"": [0.518058, 0.468929, 0.375568]}"
0,7,26,2,True,regret,28097,17.246258,0.00099883,28097,17.246258,0.31414574,-0.00022320,0.31436895,0.001,1,"{""get_credentials"": 0.431209, ""find_LAN_access_port"": 0.000603, ""spoof_MAC_address"": 1.2e-05, ""find_WLAN"": 0.001911, ""break_WPA_keys"": 1.7e-05, ""exploit_software_vulnerability"": 0.000894, ""run_malicous_script"": 0.565354}","{""get_credentials"": [0.319806, 0.29645, 0.259993, 0.205816, 0.148727], ""find_LAN_access_port"": [0.523978, 0.523848, 0.523502], ""spoof_MAC_address"": [0.524426, 0.524425, 0.524423, 0.524419], ""find_WLAN"": [0.522822, 0.522305, 0.521026], ""break_WPA_keys"": [0.524418, 0.524413, 0.524401, 0.524378], ""exploit_software_vulnerability"": [0.524434, 0.52434, 0.524158, 0.52372], ""run_malicous_script"": [0.524977, 0.475839, 0.382092]}"
1,8,29,1,True,regret,2865,2.745479,0.00099968,2865,2.745479,0.35645606,0.00000000,0.35645606,0.001,,"{""BribeProgrammer"": 0.001577, ""ProgrammerObtainsTheCode"": 0.000208, ""HireRobberA"": 0.000121, ""BugInComputerSystem"": 8.6e-05, ""ExploitBug"": 9.6e-05, ""HireRobberB"": 5.8e-05, ""RobberBreaksIntoSystem"": 6.3e-05, ""UseCodeInProduct"": 0.997792}","{""BribeProgrammer"": [0.356099, 0.355986, 0.355745, 0.355283], ""ProgrammerObtainsTheCode"": [0.356753, 0.356742, 0.356722, 0.356682], ""HireRobberA"": [0.356703, 0.356693, 0.35667], ""BugInComputerSystem"": [0.356759, 0.356753, 0.356742, 0.35672], ""ExploitBug"": [0.356796, 0.356788, 0.356771], ""HireRobberB"": [0.356777, 0.356772, 0.35676], ""RobberBreaksIntoSystem"": [0.356807, 0.356797, 0.356774], ""UseCodeInProduct"": [0.356836, 0.342007, 0.315711, 0.272076, 0.196972]}"
1,8,29,2,True,regret,40190,28.950902,0.00099998,40190,28.950902,0.35667505,0.00021899,0.35645606,0.001,1,"{""BribeProgrammer"": 1.4e-05, ""ProgrammerObtainsTheCode"": 1.4e-05, ""HireRobberA"": 3e-06, ""BugInComputerSystem"": 3e-06, ""ExploitBug"": 3e-06, ""HireRobberB"": 6e-06, ""RobberBreaksIntoSystem"": 0.002595, ""UseCodeInProduct"": 0.997361}","{""BribeProgrammer"": [0.356981, 0.35698, 0.356978, 0.356974], ""ProgrammerObtainsTheCode"": [0.356987, 0.356986, 0.356985, 0.356982], ""HireRobberA"": [0.356989, 0.356988, 0.356988], ""BugInComputerSystem"": [0.35699, 0.35699, 0.35699, 0.356989], ""ExploitBug"": [0.356991, 0.356991, 0.356991], ""HireRobberB"": [0.355782, 0.355781, 0.35578], ""RobberBreaksIntoSystem"": [0.355785, 0.355398, 0.354457], ""UseCodeInProduct"": [0.356993, 0.342161, 0.315859, 0.272211, 0.19708]}"
2,11,43,1,True,plateau,40500,124.480441,0.00156678,40500,124.480441,0.87277769,0.00000000,0.87277769,0.001,,"{""BreakIntoComputerCentre"": 0.096128, ""Unattended Guest"": 0.120722, ""CorruptSysAdmin"": 0.128409, ""ObtainPasswordFileA"": 0.103729, ""EncounterGuessablePasswordA"": 0.000154, ""LookOverSysAdminShoulderA"": 0.115606, ""TrojanHorseSAAccountA"": 0.107868, ""ObtainPasswordFileB"": 0.103746, ""EncounterGuessablePasswordB"": 0.000144, ""LookOverSysAdminShoulderB"": 0.115625, ""TrojanHorseSAAccountB"": 0.107869}","{""BreakIntoComputerCentre"": [0.872424, 0.84007, 0.78108], ""Unattended Guest"": [0.872746, 0.857164, 0.826209], ""CorruptSysAdmin"": [0.87278, 0.861179, 0.841966], ""ObtainPasswordFileA"": [0.87247, 0.845544, 0.804179, 0.732509], ""EncounterGuessablePasswordA"": [0.999831, 0.99981, 0.999774, 0.999705, 0.999585], ""LookOverSysAdminShoulderA"": [0.872678, 0.852798, 0.817778, 0.756138], ""TrojanHorseSAAccountA"": [0.872581, 0.848919, 0.808216, 0.731304], ""ObtainPasswordFileB"": [0.872461, 0.845531, 0.804161, 0.732484], ""EncounterGuessablePasswordB"": [0.999842, 0.999823, 0.999789, 0.999724, 0.999612], ""LookOverSysAdminShoulderB"": [0.87266, 0.852777, 0.817753, 0.756107], ""TrojanHorseSAAccountB"": [0.872579, 0.848917, 0.808214, 0.731301]}"
2,11,43,2,True,plateau,29000,14.717556,0.00198636,29000,14.717556,0.87268073,-0.00009696,0.87277769,0.001,1,"{""BreakIntoComputerCentre"": 0.096054, ""Unattended Guest"": 0.120866, ""CorruptSysAdmin"": 0.128515, ""ObtainPasswordFileA"": 0.103759, ""EncounterGuessablePasswordA"": 2.6e-05, ""LookOverSysAdminShoulderA"": 0.115628, ""TrojanHorseSAAccountA"": 0.107838, ""ObtainPasswordFileB"": 0.103741, ""EncounterGuessablePasswordB"": 6e-05, ""LookOverSysAdminShoulderB"": 0.115648, ""TrojanHorseSAAccountB"": 0.107863}","{""BreakIntoComputerCentre"": [0.872513, 0.840178, 0.781218], ""Unattended Guest"": [0.872606, 0.857009, 0.826028], ""CorruptSysAdmin"": [0.872682, 0.861074, 0.841849], ""ObtainPasswordFileA"": [0.87256, 0.845624, 0.804245, 0.732554], ""EncounterGuessablePasswordA"": [0.999971, 0.999968, 0.999961, 0.99995, 0.999929], ""LookOverSysAdminShoulderA"": [0.872656, 0.852773, 0.817749, 0.756101], ""TrojanHorseSAAccountA"": [0.872612, 0.848955, 0.808261, 0.73136], ""ObtainPasswordFileB"": [0.872547, 0.845616, 0.804243, 0.732561], ""EncounterGuessablePasswordB"": [0.999934, 0.999925, 0.999911, 0.999884, 0.999837], ""LookOverSysAdminShoulderB"": [0.872636, 0.852749, 0.817721, 0.756067], ""TrojanHorseSAAccountB"": [0.872586, 0.848925, 0.808224, 0.731313]}"
3,11,11,1,True,regret,1,0.000629,0.00006236,1,0.000629,0.00019225,0.00000000,0.00019225,0.001,,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [7e-06], ""User_login"": [0.001089], ""Password_attack"": [0.001064], ""Unauthorized_login"": [0.001064], ""Packet_spoofing"": [0.066687], ""Sync_flood"": [0.066687], ""SQL_injection"": [0.000178], ""Insert_malicious_scripts"": [0.077542], ""Capture_packets"": [0.0], ""Analyze_packets"": [0.000121], ""Modify_sensitive_data"": [0.027011]}"
3,11,11,2,True,regret,1,0.000318,0.00000000,1,0.000318,0.00019225,0.00000000,0.00019225,0.001,1,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [7e-06], ""User_login"": [0.001089], ""Password_attack"": [0.001064], ""Unauthorized_login"": [0.001064], ""Packet_spoofing"": [0.066687], ""Sync_flood"": [0.066687], ""SQL_injection"": [0.000178], ""Insert_malicious_scripts"": [0.077542], ""Capture_packets"": [0.0], ""Analyze_packets"": [0.000121], ""Modify_sensitive_data"": [0.027011]}"
4,12,37,1,True,plateau,110000,329.513633,0.00213809,110000,329.513633,0.66979349,0.00000000,0.66979349,0.001,,"{""Guessing"": 0.146077, ""Dictionary"": 0.324745, ""Bruteforce"": 0.066661, ""GenericReconnaissanceA"": 0.082567, ""EmailTrapExecution"": 0.080403, ""PhoneTrapExecution"": 0.062545, ""GenericReconnaissanceB"": 0.00417, ""PayloadCrafting"": 0.014447, ""EmailFileExecution"": 0.017268, ""PhysicalReconnaissance"": 0.008065, ""KeyloggerLocalInstallation"": 0.021155, ""PasswordIntercept"": 0.171897}","{""Guessing"": [0.670458, 0.533673, 0.363952, 0.202752], ""Dictionary"": [0.670289, 0.617728, 0.555763], ""Bruteforce"": [0.670071, 0.537154, 0.367198, 0.224888, 0.12669], ""GenericReconnaissanceA"": [0.669924, 0.659377, 0.640454], ""EmailTrapExecution"": [0.775974, 0.67002, 0.488627], ""PhoneTrapExecution"": [0.794806, 0.668236], ""GenericReconnaissanceB"": [0.668755, 0.667806, 0.666397], ""PayloadCrafting"": [0.677687, 0.667646, 0.651459], ""EmailFileExecution"": [0.711312, 0.697964, 0.668068], ""PhysicalReconnaissance"": [0.669445, 0.665242, 0.657143], ""KeyloggerLocalInstallation"": [0.693786, 0.669068, 0.63455], ""PasswordIntercept"": [0.745707, 0.669538]}"
4,12,37,2,True,plateau,111500,97.530034,0.00282917,111500,97.530034,0.66989724,0.00010375,0.66979349,0.001,1,"{""Guessing"": 0.145998, ""Dictionary"": 0.324556, ""Bruteforce"": 0.066591, ""GenericReconnaissanceA"": 0.084794, ""EmailTrapExecution"": 0.077634, ""PhoneTrapExecution"": 0.063009, ""GenericReconnaissanceB"": 0.003234, ""PayloadCrafting"": 0.013707, ""EmailFileExecution"": 0.015713, ""PhysicalReconnaissance"": 0.008064, ""KeyloggerLocalInstallation"": 0.018592, ""PasswordIntercept"": 0.178109}","{""Guessing"": [0.670588, 0.533818, 0.364087, 0.202847], ""Dictionary"": [0.67044, 0.617889, 0.555931], ""Bruteforce"": [0.670312, 0.537425, 0.367451, 0.225078, 0.12681], ""GenericReconnaissanceA"": [0.670107, 0.659136, 0.639741], ""EmailTrapExecution"": [0.782246, 0.678027, 0.497737], ""PhoneTrapExecution"": [0.79356, 0.666544], ""GenericReconnaissanceB"": [0.668584, 0.667633, 0.665961], ""PayloadCrafting"": [0.675671, 0.66579, 0.649457], ""EmailFileExecution"": [0.707319, 0.695224, 0.667633], ""PhysicalReconnaissance"": [0.669181, 0.663997, 0.655273], ""KeyloggerLocalInstallation"": [0.692954, 0.670975, 0.638185], ""PasswordIntercept"": [0.738299, 0.66092]}"
5,18,18,1,True,regret,74,0.128720,0.00099742,74,0.128720,0.00764712,0.00000000,0.00764712,0.001,,"{""10"": 0.158617, ""11"": 0.0008, ""12"": 0.000751, ""13"": 0.027523, ""14"": 0.026651, ""15"": 0.026481, ""16"": 0.025531, ""17"": 0.025709, ""18"": 0.026252, ""19"": 0.026565, ""20"": 0.026062, ""3"": 0.293866, ""21"": 0.109806, ""22"": 0.000751, ""23"": 0.108704, ""24"": 0.000751, ""25"": 0.057783, ""26"": 0.057399}","{""10"": [0.012308], ""11"": [0.948833], ""12"": [0.994212], ""13"": [0.009583], ""14"": [0.009898], ""15"": [0.009961], ""16"": [0.010333], ""17"": [0.010262], ""18"": [0.010048], ""19"": [0.00993], ""20"": [0.010122], ""3"": [0.01246], ""21"": [0.012213], ""22"": [0.980569], ""23"": [0.012342], ""24"": [0.980569], ""25"": [0.011959], ""26"": [0.012041]}"
5,18,18,2,True,regret,1,0.000676,0.00000000,1,0.000676,0.01021797,0.00257085,0.00764712,0.001,1,"{""10"": 0.055556, ""11"": 0.055556, ""12"": 0.055556, ""13"": 0.055556, ""14"": 0.055556, ""15"": 0.055556, ""16"": 0.055556, ""17"": 0.055556, ""18"": 0.055556, ""19"": 0.055556, ""20"": 0.055556, ""3"": 0.055556, ""21"": 0.055556, ""22"": 0.055556, ""23"": 0.055556, ""24"": 0.055556, ""25"": 0.055556, ""26"": 0.055556}","{""10"": [0.028726], ""11"": [0.197164], ""12"": [0.693072], ""13"": [0.004704], ""14"": [0.004704], ""15"": [0.004704], ""16"": [0.004704], ""17"": [0.004704], ""18"": [0.004704], ""19"": [0.004704], ""20"": [0.004704], ""3"": [0.070152], ""21"": [0.022446], ""22"": [0.398831], ""23"": [0.022446], ""24"": [0.398831], ""25"": [0.012446], ""26"": [0.012446]}"
6,45,45,1,True,plateau,82500,1061.981193,0.00110754,82500,1061.981193,0.63979517,0.00000000,0.63979517,0.001,,"{""X1"": 0.011683, ""X2"": 0.019474, ""X3"": 0.037821, ""X4"": 0.017515, ""X5"": 0.011445, ""X6"": 0.037602, ""X7"": 0.035659, ""X8"": 0.038714, ""X9"": 0.017128, ""X10"": 0.014239, ""X11"": 0.014867, ""X12"": 0.015233, ""X13"": 0.021645, ""X14"": 0.020736, ""X15"": 0.022672, ""X16"": 0.017571, ""X17"": 0.019257, ""X18"": 0.021692, ""X19"": 0.020736, ""X20"": 0.014344, ""X21"": 0.019912, ""X22"": 0.022302, ""X23"": 0.019603, ""X24"": 0.012253, ""X25"": 0.030854, ""X26"": 0.032704, ""X27"": 0.014343, ""X28"": 0.02921, ""X29"": 0.03512, ""X30"": 0.011447, ""X31"": 0.035423, ""X32"": 0.037503, ""X33"": 0.033477, ""X34"": 0.016865, ""X35"": 0.03418, ""X36"": 0.018195, ""X37"": 0.014342, ""X38"": 0.029686, ""X44"": 0.015442, ""X45"": 0.016382, ""X39"": 0.016864, ""X40"": 0.015229, ""X41"": 0.021805, ""X42"": 0.017568, ""X43"": 0.019255}","{""X1"": [0.668047], ""X2"": [0.669246], ""X3"": [0.669945], ""X4"": [0.669113], ""X5"": [0.668087], ""X6"": [0.669954], ""X7"": [0.669928], ""X8"": [0.669966], ""X9"": [0.66908], ""X10"": [0.668573], ""X11"": [0.668691], ""X12"": [0.668759], ""X13"": [0.669373], ""X14"": [0.66932], ""X15"": [0.669443], ""X16"": [0.669078], ""X17"": [0.669233], ""X18"": [0.669387], ""X19"": [0.669327], ""X20"": [0.668622], ""X21"": [0.669279], ""X22"": [0.669431], ""X23"": [0.669264], ""X24"": [0.668218], ""X25"": [0.66979], ""X26"": [0.669844], ""X27"": [0.668631], ""X28"": [0.669741], ""X29"": [0.669905], ""X30"": [0.668054], ""X31"": [0.669915], ""X32"": [0.669945], ""X33"": [0.669877], ""X34"": [0.669029], ""X35"": [0.669892], ""X36"": [0.669166], ""X37"": [0.668648], ""X38"": [0.669761], ""X44"": [0.668842], ""X45"": [0.668981], ""X39"": [0.669036], ""X40"": [0.668814], ""X41"": [0.669426], ""X42"": [0.669117], ""X43"": [0.669262]}"
