source,network_id,n_controls,total_Q,binary_work,nary_work,work_speedup,runtime_exact_s,iters_exact,est_nary_runtime_s
b100r10,0,13,46,182,75,2.4267,0.008702,5,0.0036
b100r10,1,14,45,193,115,1.6783,50.762346,24980,30.2470
b100r10,2,13,31,116,96,1.2083,48.196333,34093,39.8866
b100r10,3,12,43,162,100,1.6200,586.530973,247561,362.0562
b100r10,4,14,47,195,118,1.6525,563.716942,198771,341.1210
b100r10,5,15,39,171,86,1.9884,0.138856,83,0.0698
b100r10,6,14,46,202,134,1.5075,26.284119,13831,17.4360
b100r10,7,12,31,130,94,1.3830,0.691224,601,0.4998
b100r10,8,14,49,218,159,1.3711,45.980557,20575,33.5363
b100r10,9,10,23,87,59,1.4746,0.333013,378,0.2258
b100r10,10,12,38,204,80,2.5500,550.522963,242500,215.8914
b100r10,11,11,36,129,93,1.3871,33.631323,20591,24.2458
b100r10,12,14,45,199,100,1.9900,0.177226,100,0.0891
b100r10,13,12,35,160,96,1.6667,153.192690,77482,91.9156
b100r10,14,14,34,150,76,1.9737,0.109315,83,0.0554
b100r10,15,14,45,238,97,2.4536,0.300002,169,0.1223
b100r10,16,10,27,96,71,1.3521,18.269413,13935,13.5118
b100r10,17,12,37,149,120,1.2417,26.410988,14221,21.2706
b100r10,18,10,20,84,37,2.2703,306.745896,240500,135.1143
b100r10,19,10,32,116,77,1.5065,0.952219,701,0.6321
b100r10,20,10,24,96,70,1.3714,238.802558,171474,174.1269
b100r10,21,11,25,93,57,1.6316,77.800079,58534,47.6839
b100r10,22,13,42,181,138,1.3116,1.830737,1128,1.3958
b100r10,23,14,37,159,83,1.9157,0.025145,16,0.0131
b100r10,24,11,36,132,66,2.0000,0.078940,52,0.0395
b100r10,25,31,129,961,402,2.3905,263.110333,37987,110.0628
b100r10,26,41,111,893,340,2.6265,2721.900847,327500,1036.3340
b100r10,27,43,150,1040,625,1.6640,4.111012,650,2.4706
b100r10,28,44,144,1145,614,1.8648,2300.575879,214000,1233.6713
b100r10,29,38,148,1142,495,2.3071,0.830711,155,0.3601
b100r10,30,44,100,702,416,1.6875,43.808084,10777,25.9603
b100r10,31,35,150,1263,702,1.7991,702.262643,94833,390.3313
b100r10,32,43,102,772,432,1.7870,1634.777892,346000,914.7980
b100r10,33,37,122,861,500,1.7220,1656.368622,254040,961.8865
b100r10,34,32,117,753,539,1.3970,1651.225855,287120,1181.9532
b100r10,35,42,133,1059,460,2.3022,6.629654,1160,2.8797
b100r10,36,31,113,640,506,1.2648,88.688189,21372,70.1191
b100r10,37,41,116,939,695,1.3511,101.155765,21260,74.8703
b100r10,38,42,126,928,518,1.7915,5.749170,1220,3.2091
b100r10,39,13,42,196,145,1.3517,0.090652,62,0.0671
b100r10,40,14,45,227,97,2.3402,114.467012,56562,48.9132
b100r10,41,12,30,133,106,1.2547,5.928136,5530,4.7247
b100r10,42,14,36,162,141,1.1489,10.066003,7695,8.7612
b100r10,43,15,45,227,174,1.3046,68.428116,39171,52.4515
b100r1,0,13,46,182,75,2.4267,0.977147,873,0.4027
b100r1,1,14,45,193,115,1.6783,181.875783,132500,108.3716
b100r1,2,13,31,116,96,1.2083,129.530893,120000,107.1980
b100r1,3,12,43,162,100,1.6200,214.754414,82500,132.5645
b100r1,4,14,47,195,118,1.6525,267.462239,100500,161.8489
b100r1,5,15,39,171,86,1.9884,0.785885,631,0.3952
b100r1,6,14,46,202,134,1.5075,90.617606,64410,60.1127
b100r1,7,12,31,130,94,1.3830,1.618899,1892,1.1706
b100r1,8,14,49,218,159,1.3711,103.991549,59925,75.8470
b100r1,9,10,23,87,59,1.4746,1.339053,2230,0.9081
b100r1,10,12,38,204,80,2.5500,125.769938,60000,49.3215
b100r1,11,11,36,129,93,1.3871,156.577226,111000,112.8813
b100r1,12,14,45,199,100,1.9900,1.514188,1105,0.7609
b100r1,13,12,35,160,96,1.6667,85.460489,49500,51.2763
b100r1,14,14,34,150,76,1.9737,0.779910,797,0.3952
b100r1,15,14,45,238,97,2.4536,5.095708,3825,2.0768
b100r1,16,10,27,96,71,1.3521,94.203458,102371,69.6713
b100r1,17,12,37,149,120,1.2417,110.882443,74213,89.3013
b100r1,18,10,20,84,37,2.2703,60.424456,56500,26.6155
b100r1,19,10,32,116,77,1.5065,0.588392,715,0.3906
b100r1,20,10,24,96,70,1.3714,95.687458,84500,69.7721
b100r1,21,11,25,93,57,1.6316,87.434932,79000,53.5892
b100r1,22,13,42,181,138,1.3116,6.212347,5334,4.7365
b100r1,23,14,37,159,83,1.9157,0.666550,666,0.3479
b100r1,24,11,36,132,66,2.0000,1.638520,1636,0.8193
b100r1,25,31,129,961,402,2.3905,345.566122,60500,144.5552
