source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch
b100r10,0,13,46,0.008702,0.069354,5,6
b100r10,1,14,45,50.762346,241.319850,24980,26780
b100r10,2,13,31,48.196333,201.021681,34093,37069
b100r10,3,12,43,586.530973,1056.988549,247561,248361
b100r10,4,14,47,563.716942,1211.858448,198771,184581
b100r10,5,15,39,0.138856,1.193539,83,84
b100r10,6,14,46,26.284119,149.679198,13831,14960
b100r10,7,12,31,0.691224,5.726708,601,591
b100r10,8,14,49,45.980557,256.371211,20575,25439
b100r10,9,10,23,0.333013,1.881217,378,357
b100r10,10,12,38,550.522963,1137.294354,242500,251000
b100r10,11,11,36,33.631323,109.480620,20591,21632
b100r10,12,14,45,0.177226,1.498556,100,105
b100r10,13,12,35,153.192690,371.664123,77482,77156
b100r10,14,14,34,0.109315,0.910145,83,75
b100r10,15,14,45,0.300002,1.891814,169,191
b100r10,16,10,27,18.269413,64.754290,13935,10920
b100r10,17,12,37,26.410988,103.269991,14221,15929
b100r10,18,10,20,306.745896,228.778913,240500,82000
b100r10,19,10,32,0.952219,7.429720,701,1080
b100r10,20,10,24,238.802558,783.209793,171474,171921
b100r10,21,11,25,77.800079,205.214073,58534,58912
b100r10,22,13,42,1.830737,11.075132,1128,1119
b100r10,23,14,37,0.025145,0.164930,16,14
b100r10,24,11,36,0.078940,0.278920,52,53
b100r10,25,31,129,263.110333,1741.072418,37987,48436
b100r10,26,41,111,2721.900847,7038.049641,327500,256000
b100r10,27,43,150,4.111012,32.337184,650,621
b100r10,28,44,144,2300.575879,4312.852458,214000,231500
b100r10,29,38,148,0.830711,5.419471,155,96
b100r10,30,44,100,43.808084,220.906402,10777,11666
b100r10,31,35,150,702.262643,3272.809202,94833,94627
b100r10,32,43,102,1634.777892,4322.901732,346000,319000
b100r10,33,37,122,1656.368622,3746.294534,254040,272190
b100r10,34,32,117,1651.225855,3771.051623,287120,284113
b100r10,35,42,133,6.629654,12.701002,1160,887
b100r10,36,31,113,88.688189,867.251882,21372,28891
b100r10,37,41,116,101.155765,827.090487,21260,27902
b100r10,38,42,126,5.749170,58.226072,1220,1253
b100r10,39,13,42,0.090652,0.484357,62,66
b100r10,40,14,45,114.467012,391.680920,56562,48341
b100r10,41,12,30,5.928136,26.427995,5530,4591
b100r10,42,14,36,10.066003,89.524819,7695,9663
b100r10,43,15,45,68.428116,363.753938,39171,45915
b100r1,0,13,46,0.977147,4.276106,873,499
b100r1,1,14,45,181.875783,871.038857,132500,132500
b100r1,2,13,31,129.530893,798.019025,120000,139000
b100r1,3,12,43,214.754414,326.036970,82500,97000
b100r1,4,14,47,267.462239,434.149353,100500,86000
b100r1,5,15,39,0.785885,30.177182,631,2604
b100r1,6,14,46,90.617606,1066.862757,64410,139803
b100r1,7,12,31,1.618899,136.738339,1892,18258
b100r1,8,14,49,103.991549,972.333596,59925,123294
b100r1,9,10,23,1.339053,9.043043,2230,2448
b100r1,10,12,38,125.769938,161.589177,60000,47500
b100r1,11,11,36,156.577226,439.434119,111000,112500
b100r1,12,14,45,1.514188,10.779950,1105,1022
b100r1,13,12,35,85.460489,161.605422,49500,43500
b100r1,14,14,34,0.779910,6.778394,797,776
b100r1,15,14,45,5.095708,147.039708,3825,20243
b100r1,16,10,27,94.203458,166.836024,102371,36560
b100r1,17,12,37,110.882443,482.312914,74213,98163
b100r1,18,10,20,60.424456,94.607464,56500,44500
b100r1,19,10,32,0.588392,11.435783,715,2370
b100r1,20,10,24,95.687458,288.414291,84500,82500
b100r1,21,11,25,87.434932,196.762089,79000,69000
b100r1,22,13,42,6.212347,312.027408,5334,39535
b100r1,23,14,37,0.666550,9.116356,666,1104
b100r1,24,11,36,1.638520,2.092044,1636,570
b100r1,25,31,129,345.566122,2228.196180,60500,89000
b100r1,26,41,111,648.129863,2869.007551,99000,98500
b100r1,27,43,150,51.221025,1523.243007,9155,30710
b100r1,28,44,144,860.154238,1080.540569,63500,57000
b100r1,29,38,148,4.613193,52.264187,892,991
b100r1,30,44,100,241.035525,1172.729474,56717,55168
b100r1,31,35,150,1128.180471,4028.033050,128500,114500
b100r1,32,43,102,577.640750,1307.434809,104500,93000
b100r1,33,37,122,904.529371,2111.657532,138500,150500
b100r1,34,32,117,654.134980,1518.626118,110000,109500
b100r1,35,42,133,3.418025,16.669974,551,1179
b100r1,36,31,113,529.313155,4357.512986,129000,145000
b100r1,37,41,116,542.328519,3689.007425,107442,112564
b100r1,38,42,126,12.337159,531.311679,2960,14088
b100r1,39,13,42,2.623120,63.895626,2313,8805
b100r1,40,14,45,175.118792,830.509802,88000,104000
b100r1,41,12,30,35.263372,318.623130,39250,53744
b100r1,42,14,36,49.672025,316.859861,39306,32484
b100r1,43,15,45,161.581967,828.122500,94000,111500
b100r5,0,13,46,0.099501,0.839158,85,93
b100r5,1,14,45,353.412379,1641.122055,225338,233882
b100r5,2,13,31,193.864401,900.161642,154500,152000
b100r5,3,12,43,706.920037,884.739198,264000,266500
b100r5,4,14,47,713.039455,1194.445294,288000,237500
b100r5,5,15,39,0.409258,3.562567,323,321
b100r5,6,14,46,72.896922,401.664637,47455,52941
b100r5,7,12,31,1.299997,11.605926,1484,1546
b100r5,8,14,49,69.333445,471.633838,38113,61045
b100r5,9,10,23,0.654272,3.281862,1056,973
b100r5,10,12,38,303.000445,363.550098,145500,106000
b100r5,11,11,36,105.541520,271.726658,72477,69968
b100r5,12,14,45,0.639938,4.844813,464,448
b100r5,13,12,35,276.539712,252.627955,159500,68500
b100r5,14,14,34,0.401345,3.012319,377,336
b100r5,15,14,45,0.967870,6.366948,731,884
b100r5,16,10,27,53.393885,236.215229,50305,51091
b100r5,17,12,37,87.195721,295.914900,56949,59328
b100r5,18,10,20,130.759675,131.432775,122500,62500
b100r5,19,10,32,0.614048,6.258935,757,1289
b100r5,20,10,24,234.389459,713.371746,208000,206500
b100r5,21,11,25,143.795857,352.564896,131000,131000
b100r5,22,13,42,2.564386,16.811394,2237,2406
b100r5,23,14,37,0.109158,0.744048,105,91
b100r5,24,11,36,0.257706,0.920607,253,248
b100r5,25,31,129,1104.665635,5489.259765,190583,211627
b100r5,26,41,111,1518.582032,6273.156951,229000,240000
b100r5,27,43,150,8.871130,72.398144,1613,1532
b100r5,28,44,144,1705.482787,2520.996901,143500,137500
b100r5,29,38,148,2.647449,17.722955,522,351
b100r5,30,44,100,188.544083,1176.546758,46196,61985
b100r5,31,35,150,3080.024775,11702.490343,378500,323000
b100r5,32,43,102,1183.606448,3019.441532,230000,220000
b100r5,33,37,122,2258.169291,5202.742026,349500,382000
b100r5,34,32,117,1708.345334,3827.832398,293000,285500
b100r5,35,42,133,6.072423,10.957763,1041,795
b100r5,36,31,113,246.329832,2120.282883,59996,74002
b100r5,37,41,116,420.418558,2809.037094,85904,94872
b100r5,38,42,126,6.960576,70.922155,1701,1871
