source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch,binary_work,nary_work,work_speedup,est_nary_runtime_s
b100r10,0,13,46,0.008702,0.069354,5,6,182,75,2.4267,0.0036
b100r10,1,14,45,50.762346,241.319850,24980,26780,193,115,1.6783,30.2470
b100r10,2,13,31,48.196333,201.021681,34093,37069,116,96,1.2083,39.8866
b100r10,3,12,43,586.530973,1056.988549,247561,248361,162,100,1.6200,362.0562
b100r10,4,14,47,563.716942,1211.858448,198771,184581,195,118,1.6525,341.1210
b100r10,5,15,39,0.138856,1.193539,83,84,171,86,1.9884,0.0698
b100r10,6,14,46,26.284119,149.679198,13831,14960,202,134,1.5075,17.4360
b100r10,7,12,31,0.691224,5.726708,601,591,130,94,1.3830,0.4998
b100r10,8,14,49,45.980557,256.371211,20575,25439,218,159,1.3711,33.5363
b100r10,9,10,23,0.333013,1.881217,378,357,87,59,1.4746,0.2258
b100r10,10,12,38,550.522963,1137.294354,242500,251000,204,80,2.5500,215.8914
b100r10,11,11,36,33.631323,109.480620,20591,21632,129,93,1.3871,24.2458
b100r10,12,14,45,0.177226,1.498556,100,105,199,100,1.9900,0.0891
b100r10,13,12,35,153.192690,371.664123,77482,77156,160,96,1.6667,91.9156
b100r10,14,14,34,0.109315,0.910145,83,75,150,76,1.9737,0.0554
b100r10,15,14,45,0.300002,1.891814,169,191,238,97,2.4536,0.1223
b100r10,16,10,27,18.269413,64.754290,13935,10920,96,71,1.3521,13.5118
b100r10,17,12,37,26.410988,103.269991,14221,15929,149,120,1.2417,21.2706
b100r10,18,10,20,306.745896,228.778913,240500,82000,84,37,2.2703,135.1143
b100r10,19,10,32,0.952219,7.429720,701,1080,116,77,1.5065,0.6321
b100r10,20,10,24,238.802558,783.209793,171474,171921,96,70,1.3714,174.1269
b100r10,21,11,25,77.800079,205.214073,58534,58912,93,57,1.6316,47.6839
b100r10,22,13,42,1.830737,11.075132,1128,1119,181,138,1.3116,1.3958
b100r10,23,14,37,0.025145,0.164930,16,14,159,83,1.9157,0.0131
b100r10,24,11,36,0.078940,0.278920,52,53,132,66,2.0000,0.0395
b100r10,25,31,129,263.110333,1741.072418,37987,48436,961,402,2.3905,110.0628
b100r10,26,41,111,2721.900847,7038.049641,327500,256000,893,340,2.6265,1036.3340
b100r10,27,43,150,4.111012,32.337184,650,621,1040,625,1.6640,2.4706
b100r10,28,44,144,2300.575879,4312.852458,214000,231500,1145,614,1.8648,1233.6713
b100r10,29,38,148,0.830711,5.419471,155,96,1142,495,2.3071,0.3601
b100r10,30,44,100,43.808084,220.906402,10777,11666,702,416,1.6875,25.9603
b100r10,31,35,150,702.262643,3272.809202,94833,94627,1263,702,1.7991,390.3313
b100r10,32,43,102,1634.777892,4322.901732,346000,319000,772,432,1.7870,914.7980
b100r10,33,37,122,1656.368622,3746.294534,254040,272190,861,500,1.7220,961.8865
b100r10,34,32,117,1651.225855,3771.051623,287120,284113,753,539,1.3970,1181.9532
b100r10,35,42,133,6.629654,12.701002,1160,887,1059,460,2.3022,2.8797
b100r10,36,31,113,88.688189,867.251882,21372,28891,640,506,1.2648,70.1191
b100r10,37,41,116,101.155765,827.090487,21260,27902,939,695,1.3511,74.8703
b100r10,38,42,126,5.749170,58.226072,1220,1253,928,518,1.7915,3.2091
b100r10,39,13,42,0.090652,0.484357,62,66,196,145,1.3517,0.0671
b100r10,40,14,45,114.467012,391.680920,56562,48341,227,97,2.3402,48.9132
