network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
0,1,0.04932611,0.04932611,0.00000000,0.00000000,10
0,50,0.03009131,0.03756528,0.00366810,0.00115995,10
0,100,0.02969042,0.03432178,0.00212259,0.00067122,10
0,150,0.02958380,0.03329047,0.00153406,0.00048511,10
0,200,0.02948678,0.03270494,0.00122787,0.00038829,10
0,250,0.02943436,0.03228636,0.00108061,0.00034172,10
0,300,0.02939119,0.03190401,0.00086853,0.00027465,10
0,350,0.02934314,0.03168438,0.00067339,0.00021295,10
0,400,0.02931377,0.03143343,0.00061089,0.00019318,10
0,450,0.02928566,0.03130307,0.00059047,0.00018672,10
0,500,0.02926430,0.03116261,0.00052443,0.00016584,10
0,550,0.02925282,0.03104100,0.00048297,0.00015273,10
0,600,0.02924159,0.03087961,0.00042600,0.00013471,10
0,650,0.02923322,0.03076188,0.00039990,0.00012646,10
0,700,0.02922474,0.03068655,0.00037298,0.00011795,10
0,750,0.02921838,0.03062135,0.00033588,0.00010621,10
0,800,0.02921173,0.03055120,0.00030872,0.00009763,10
0,850,0.02920731,0.03049432,0.00028416,0.00008986,10
0,900,0.02920285,0.03044164,0.00025497,0.00008063,10
0,950,0.02919847,0.03039670,0.00026576,0.00008404,10
0,1000,0.02919501,0.03035008,0.00023731,0.00007504,10
0,1050,0.02919199,0.03031023,0.00021312,0.00006740,10
0,1100,0.02918865,0.03026778,0.00019533,0.00006177,10
0,1150,0.02918604,0.03023598,0.00017739,0.00005610,10
0,1200,0.02918318,0.03021619,0.00017444,0.00005516,10
0,1250,0.02918093,0.03018449,0.00017220,0.00005445,10
0,1300,0.02917826,0.03015838,0.00017566,0.00005555,10
0,1350,0.02917671,0.03013688,0.00016396,0.00005185,10
0,1400,0.02917537,0.03011232,0.00016033,0.00005070,10
0,1450,0.02917278,0.03008051,0.00016320,0.00005161,10
0,1500,0.02917242,0.03006086,0.00016606,0.00005251,10
0,1550,0.02916977,0.03004067,0.00016885,0.00005339,10
0,1600,0.02916906,0.03002187,0.00016702,0.00005282,10
0,1650,0.02916698,0.03000803,0.00016471,0.00005208,10
0,1700,0.02916621,0.02999896,0.00015834,0.00005007,10
0,1750,0.02916476,0.02997936,0.00014873,0.00004703,10
0,1800,0.02916350,0.02996253,0.00014444,0.00004568,10
0,1850,0.02916280,0.02994666,0.00013234,0.00004185,10
0,1900,0.02916094,0.02994007,0.00012717,0.00004021,10
0,1950,0.02916047,0.02992532,0.00012860,0.00004067,10
0,2000,0.02915889,0.02991381,0.00013102,0.00004143,10
0,2050,,0.02990708,0.00012231,0.00003868,10
0,2100,,0.02989718,0.00011743,0.00003714,10
0,2150,,0.02988641,0.00011615,0.00003673,10
0,2200,,0.02986922,0.00011980,0.00003788,10
0,2250,,0.02985804,0.00012172,0.00003849,10
0,2300,,0.02985339,0.00012154,0.00003843,10
0,2350,,0.02983929,0.00011945,0.00003777,10
0,2400,,0.02982954,0.00011396,0.00003604,10
