network_id,n_controls,total_Q,rho,batch,runs,exact_runs,exact_iters,max_iters,exact_time_s,exact_time_std,target_obj,stoch_reached,stoch_iters_to_target,stoch_time_to_target_s,extra_iters,extra_time_s,iter_ratio,time_ratio,target_ell
0,9,36,5.0,1,10,10,2000,100000,7.194014,0.165099,0.02915889,8/10,89215.2,67.333787,87215.2,60.139773,44.608,9.360,"{""v0"": 0.195215, ""v1"": 0.072561, ""v2"": 0.174371, ""v3"": 0.107573, ""v4"": 0.094232, ""v5"": 0.062812, ""v6"": 0.155478, ""v7"": 0.04439, ""v8"": 0.093368}"
1,9,36,5.0,1,10,10,2000,100000,7.689846,0.161095,0.04095182,10/10,9245.4,7.260133,7245.4,-0.429713,4.623,0.944,"{""v0"": 0.167665, ""v1"": 0.069021, ""v2"": 0.095629, ""v3"": 0.245915, ""v4"": 0.03423, ""v5"": 0.082925, ""v6"": 0.105932, ""v7"": 0.061134, ""v8"": 0.137549}"
2,9,36,5.0,1,10,10,2000,100000,6.612630,0.077812,0.02253521,10/10,7019.7,4.777309,5019.7,-1.835321,3.510,0.722,"{""v0"": 0.203733, ""v1"": 0.113071, ""v2"": 0.059172, ""v3"": 0.224002, ""v4"": 0.092014, ""v5"": 0.001569, ""v6"": 0.190476, ""v7"": 0.113692, ""v8"": 0.002272}"
3,9,36,5.0,1,10,10,2000,100000,7.096177,0.122995,0.05335784,10/10,1518.4,1.031106,-481.6,-6.065071,0.759,0.145,"{""v0"": 0.265557, ""v1"": 0.037367, ""v2"": 0.023467, ""v3"": 0.122867, ""v4"": 0.206246, ""v5"": 0.042075, ""v6"": 0.221126, ""v7"": 0.074667, ""v8"": 0.006629}"
4,9,36,5.0,1,10,10,2000,100000,7.237933,0.033602,0.04475694,10/10,35640.7,25.637097,33640.7,18.399164,17.820,3.542,"{""v0"": 0.221173, ""v1"": 0.047917, ""v2"": 0.034138, ""v3"": 0.107559, ""v4"": 0.105242, ""v5"": 0.087055, ""v6"": 0.22495, ""v7"": 0.098568, ""v8"": 0.073397}"
5,15,60,5.0,1,10,10,2000,100000,15.249625,0.073684,0.08857990,10/10,16324.7,18.745356,14324.7,3.495730,8.162,1.229,"{""v0"": 0.2027, ""v1"": 0.018615, ""v2"": 0.000209, ""v3"": 0.080326, ""v4"": 0.062604, ""v5"": 0.026805, ""v6"": 0.089361, ""v7"": 0.000241, ""v8"": 4.1e-05, ""v9"": 0.104501, ""v10"": 0.0597, ""v11"": 0.039904, ""v12"": 0.160567, ""v13"": 0.11719, ""v14"": 0.037235}"
6,15,60,5.0,1,10,10,2000,100000,16.176054,0.110382,0.07526068,10/10,37491.3,46.075005,35491.3,29.898951,18.746,2.848,"{""v0"": 0.086516, ""v1"": 0.012456, ""v2"": 6.5e-05, ""v3"": 0.116131, ""v4"": 0.00982, ""v5"": 0.105447, ""v6"": 0.070205, ""v7"": 0.131573, ""v8"": 0.077865, ""v9"": 0.156388, ""v10"": 0.001543, ""v11"": 0.045912, ""v12"": 0.030441, ""v13"": 0.087875, ""v14"": 0.067763}"
7,15,60,5.0,1,10,10,2000,100000,16.371694,0.068955,0.09046579,10/10,36466.4,45.693546,34466.4,29.321852,18.233,2.791,"{""v0"": 0.118729, ""v1"": 0.056593, ""v2"": 0.07268, ""v3"": 0.105376, ""v4"": 0.067251, ""v5"": 0.032007, ""v6"": 0.099242, ""v7"": 0.021827, ""v8"": 0.017153, ""v9"": 0.095973, ""v10"": 0.095154, ""v11"": 0.000152, ""v12"": 0.060123, ""v13"": 0.115444, ""v14"": 0.042295}"
8,15,60,5.0,1,10,10,2000,100000,15.966106,0.344885,0.12509166,10/10,8761.7,9.648560,6761.7,-6.317546,4.381,0.604,"{""v0"": 0.117026, ""v1"": 0.027029, ""v2"": 0.017246, ""v3"": 0.057402, ""v4"": 0.05695, ""v5"": 0.051447, ""v6"": 0.094349, ""v7"": 0.16823, ""v8"": 0.020281, ""v9"": 0.162025, ""v10"": 0.00176, ""v11"": 0.00118, ""v12"": 0.080848, ""v13"": 0.077581, ""v14"": 0.066648}"
9,15,60,5.0,1,10,10,2000,100000,16.576670,0.242005,0.10361088,10/10,6410.0,7.429496,4410.0,-9.147174,3.205,0.448,"{""v0"": 0.168305, ""v1"": 0.000743, ""v2"": 0.02475, ""v3"": 0.03213, ""v4"": 0.097616, ""v5"": 0.057946, ""v6"": 0.093037, ""v7"": 0.032545, ""v8"": 0.110863, ""v9"": 0.143813, ""v10"": 0.010126, ""v11"": 0.000577, ""v12"": 0.039931, ""v13"": 0.132679, ""v14"": 0.054939}"
10,24,96,5.0,1,10,10,2000,100000,35.077895,0.269079,0.15755159,10/10,7813.7,14.261948,5813.7,-20.815947,3.907,0.407,"{""v0"": 0.063431, ""v1"": 0.024846, ""v2"": 4e-05, ""v3"": 0.043291, ""v4"": 0.000152, ""v5"": 3.3e-05, ""v6"": 0.05525, ""v7"": 0.039829, ""v8"": 0.009114, ""v9"": 0.126855, ""v10"": 0.027021, ""v11"": 0.043472, ""v12"": 0.047069, ""v13"": 0.097735, ""v14"": 0.011957, ""v15"": 0.056957, ""v16"": 0.105892, ""v17"": 0.00149, ""v18"": 0.092829, ""v19"": 0.065226, ""v20"": 0.011917, ""v21"": 0.075301, ""v22"": 0.000227, ""v23"": 6.6e-05}"
11,24,96,5.0,1,10,10,2000,100000,35.867260,0.411522,0.18696933,10/10,5348.0,9.233661,3348.0,-26.633599,2.674,0.257,"{""v0"": 0.08239, ""v1"": 0.000314, ""v2"": 5.8e-05, ""v3"": 0.113011, ""v4"": 0.023496, ""v5"": 0.001264, ""v6"": 0.061554, ""v7"": 0.061304, ""v8"": 0.000236, ""v9"": 0.128981, ""v10"": 0.023572, ""v11"": 0.012174, ""v12"": 0.020986, ""v13"": 0.088261, ""v14"": 0.00014, ""v15"": 0.048526, ""v16"": 0.028105, ""v17"": 5.1e-05, ""v18"": 0.143394, ""v19"": 0.013615, ""v20"": 0.018958, ""v21"": 0.074801, ""v22"": 0.03165, ""v23"": 0.023158}"
12,24,96,5.0,1,10,10,2000,100000,37.421291,0.109460,0.23972901,10/10,3775.0,6.332295,1775.0,-31.088996,1.887,0.169,"{""v0"": 0.06434, ""v1"": 0.064781, ""v2"": 0.017681, ""v3"": 0.073197, ""v4"": 0.042047, ""v5"": 0.010914, ""v6"": 0.070983, ""v7"": 0.065052, ""v8"": 0.01025, ""v9"": 0.107276, ""v10"": 0.009045, ""v11"": 0.000255, ""v12"": 0.057453, ""v13"": 0.031644, ""v14"": 4.6e-05, ""v15"": 0.03838, ""v16"": 0.015393, ""v17"": 0.090796, ""v18"": 0.089576, ""v19"": 0.052542, ""v20"": 0.023781, ""v21"": 0.041329, ""v22"": 0.023193, ""v23"": 4.8e-05}"
13,24,96,5.0,1,10,10,2000,100000,38.365167,0.185771,0.17012787,10/10,13176.1,26.477859,11176.1,-11.887308,6.588,0.690,"{""v0"": 0.069125, ""v1"": 0.012089, ""v2"": 0.015585, ""v3"": 0.036724, ""v4"": 0.050774, ""v5"": 0.096936, ""v6"": 0.097455, ""v7"": 0.037484, ""v8"": 0.001144, ""v9"": 0.078424, ""v10"": 0.033478, ""v11"": 7.4e-05, ""v12"": 0.074443, ""v13"": 0.062161, ""v14"": 0.017184, ""v15"": 0.034024, ""v16"": 0.045341, ""v17"": 0.005458, ""v18"": 0.091141, ""v19"": 0.024269, ""v20"": 0.027514, ""v21"": 0.044674, ""v22"": 0.016705, ""v23"": 0.027796}"
14,24,96,5.0,1,10,10,2000,100000,33.305463,0.244355,0.11524195,10/10,30421.5,58.184160,28421.5,24.878697,15.211,1.747,"{""v0"": 0.072989, ""v1"": 0.025331, ""v2"": 6.8e-05, ""v3"": 0.096116, ""v4"": 0.000625, ""v5"": 0.00134, ""v6"": 0.074408, ""v7"": 0.048316, ""v8"": 0.019304, ""v9"": 0.094214, ""v10"": 0.014226, ""v11"": 0.017786, ""v12"": 0.071253, ""v13"": 0.007969, ""v14"": 5.3e-05, ""v15"": 0.120815, ""v16"": 0.000219, ""v17"": 0.01196, ""v18"": 0.084771, ""v19"": 0.055477, ""v20"": 0.133391, ""v21"": 0.049199, ""v22"": 0.00012, ""v23"": 4.9e-05}"
15,9,36,5.0,1,10,10,2000,100000,6.928213,0.094654,0.05256238,6/10,89777.3,65.906806,87777.3,58.978593,44.889,9.513,"{""v0"": 0.167517, ""v1"": 0.060938, ""v2"": 0.058182, ""v3"": 0.125022, ""v4"": 0.104, ""v5"": 0.147142, ""v6"": 0.157336, ""v7"": 0.082598, ""v8"": 0.097264}"
16,9,36,5.0,1,10,10,2000,100000,7.087731,0.181509,0.02564684,0/10,,,,,,,"{""v0"": 0.15926, ""v1"": 0.070585, ""v2"": 0.064869, ""v3"": 0.102319, ""v4"": 0.093637, ""v5"": 0.091605, ""v6"": 0.161422, ""v7"": 0.129939, ""v8"": 0.126363}"
17,9,36,5.0,1,10,10,2000,100000,6.973472,0.034673,0.04517957,10/10,4299.0,3.145529,2299.0,-3.827943,2.150,0.451,"{""v0"": 0.156238, ""v1"": 0.083941, ""v2"": 0.093907, ""v3"": 0.130447, ""v4"": 0.106288, ""v5"": 0.091705, ""v6"": 0.18219, ""v7"": 0.092241, ""v8"": 0.063043}"
18,9,36,5.0,1,10,10,2000,100000,7.132980,0.329610,0.02923085,10/10,24791.0,19.021002,22791.0,11.888022,12.396,2.667,"{""v0"": 0.101342, ""v1"": 0.11071, ""v2"": 0.086796, ""v3"": 0.159497, ""v4"": 0.087814, ""v5"": 0.052604, ""v6"": 0.206916, ""v7"": 0.059902, ""v8"": 0.13442}"
19,9,36,5.0,1,10,10,2000,100000,6.889155,0.259607,0.03130271,10/10,43007.8,32.395508,41007.8,25.506353,21.504,4.702,"{""v0"": 0.164986, ""v1"": 0.117654, ""v2"": 0.095382, ""v3"": 0.174006, ""v4"": 0.056738, ""v5"": 0.043953, ""v6"": 0.159573, ""v7"": 0.14204, ""v8"": 0.045667}"
20,15,60,5.0,1,10,10,2000,100000,15.241830,0.374923,0.10910226,10/10,49892.1,61.860049,47892.1,46.618220,24.946,4.059,"{""v0"": 0.152098, ""v1"": 0.068563, ""v2"": 0.028692, ""v3"": 0.089712, ""v4"": 0.093847, ""v5"": 0.032029, ""v6"": 0.103118, ""v7"": 0.010908, ""v8"": 0.032149, ""v9"": 0.099473, ""v10"": 0.011498, ""v11"": 0.060799, ""v12"": 0.115814, ""v13"": 0.040804, ""v14"": 0.060495}"
21,15,60,5.0,1,10,10,2000,100000,15.020794,0.311452,0.10144874,10/10,15567.2,18.023196,13567.2,3.002402,7.784,1.200,"{""v0"": 0.166422, ""v1"": 0.018506, ""v2"": 0.00026, ""v3"": 0.086872, ""v4"": 0.0464, ""v5"": 0.065592, ""v6"": 0.0648, ""v7"": 0.114312, ""v8"": 0.074321, ""v9"": 0.153276, ""v10"": 0.016606, ""v11"": 0.001727, ""v12"": 0.100257, ""v13"": 0.039598, ""v14"": 0.051051}"
22,15,60,5.0,1,10,10,2000,100000,16.015034,0.165469,0.12738448,9/10,91957.2,112.754984,89957.2,96.739950,45.979,7.041,"{""v0"": 0.081344, ""v1"": 0.059723, ""v2"": 0.050193, ""v3"": 0.06206, ""v4"": 0.037786, ""v5"": 0.021652, ""v6"": 0.122647, ""v7"": 0.086085, ""v8"": 0.035338, ""v9"": 0.044254, ""v10"": 0.087516, ""v11"": 0.055082, ""v12"": 0.100996, ""v13"": 0.068199, ""v14"": 0.087125}"
23,15,60,5.0,1,10,10,2000,100000,14.611746,0.134324,0.09197403,10/10,36073.2,44.409922,34073.2,29.798176,18.037,3.039,"{""v0"": 0.123198, ""v1"": 0.06894, ""v2"": 0.029218, ""v3"": 0.131843, ""v4"": 0.063252, ""v5"": 0.067835, ""v6"": 0.135269, ""v7"": 0.030683, ""v8"": 0.028121, ""v9"": 0.101948, ""v10"": 0.048246, ""v11"": 0.000258, ""v12"": 0.097139, ""v13"": 0.046354, ""v14"": 0.027696}"
24,15,60,5.0,1,10,10,2000,100000,14.971438,0.273630,0.08451140,10/10,21925.3,26.687165,19925.3,11.715727,10.963,1.783,"{""v0"": 0.072297, ""v1"": 0.075935, ""v2"": 0.026357, ""v3"": 0.105385, ""v4"": 0.06159, ""v5"": 0.000871, ""v6"": 0.127469, ""v7"": 0.083526, ""v8"": 0.063137, ""v9"": 0.107175, ""v10"": 0.064595, ""v11"": 0.006913, ""v12"": 0.151806, ""v13"": 0.03274, ""v14"": 0.020204}"
25,24,96,5.0,1,10,10,2000,100000,35.799467,2.211599,0.19701993,10/10,8703.3,15.720563,6703.3,-20.078904,4.352,0.439,"{""v0"": 0.110129, ""v1"": 0.03937, ""v2"": 0.02103, ""v3"": 0.076263, ""v4"": 0.000575, ""v5"": 0.032395, ""v6"": 0.049161, ""v7"": 0.039667, ""v8"": 0.000275, ""v9"": 0.063904, ""v10"": 0.08202, ""v11"": 0.041173, ""v12"": 0.064406, ""v13"": 0.072109, ""v14"": 0.018329, ""v15"": 0.063743, ""v16"": 0.000496, ""v17"": 6.1e-05, ""v18"": 0.096654, ""v19"": 0.038878, ""v20"": 0.001067, ""v21"": 0.027879, ""v22"": 0.041471, ""v23"": 0.018947}"
