network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
0,1,0.42350204,0.42350204,0.00000000,0.00000000,10
0,50,0.32021916,0.32762839,0.00518214,0.00163874,10
0,100,0.31879535,0.32253399,0.00233131,0.00073722,10
0,150,0.31805724,0.32078803,0.00187416,0.00059266,10
0,200,0.31760592,0.31966998,0.00174533,0.00055192,10
0,250,0.31721282,0.31888919,0.00138636,0.00043841,10
0,300,0.31694190,0.31825137,0.00133240,0.00042134,10
0,350,0.31676098,0.31781733,0.00107291,0.00033928,10
0,400,0.31657577,0.31745517,0.00091961,0.00029081,10
0,450,0.31641233,0.31717173,0.00083033,0.00026257,10
0,500,0.31628967,0.31691963,0.00075029,0.00023726,10
0,550,0.31618853,0.31669005,0.00066556,0.00021047,10
0,600,0.31608725,0.31654073,0.00059403,0.00018785,10
0,650,0.31599570,0.31639322,0.00056110,0.00017744,10
0,700,0.31592590,0.31629314,0.00050248,0.00015890,10
0,750,0.31586740,0.31621678,0.00048034,0.00015190,10
0,800,0.31579602,0.31614103,0.00043080,0.00013623,10
0,850,0.31573177,0.31605104,0.00039655,0.00012540,10
0,900,0.31568367,0.31597564,0.00036643,0.00011588,10
0,950,0.31563523,0.31590502,0.00036671,0.00011596,10
0,1000,0.31558744,0.31586518,0.00035493,0.00011224,10
0,1050,0.31554313,0.31580825,0.00035692,0.00011287,10
0,1100,0.31550382,0.31575238,0.00034193,0.00010813,10
0,1150,0.31546517,0.31569508,0.00034110,0.00010787,10
0,1158,,0.31504009,0.00000000,0.00000000,1
0,1200,0.31543377,0.31571407,0.00025024,0.00008341,9
0,1250,0.31539183,0.31567386,0.00025337,0.00008446,9
0,1300,0.31536147,0.31562983,0.00024910,0.00008303,9
0,1350,0.31533168,0.31558436,0.00024772,0.00008257,9
0,1400,0.31530297,0.31554080,0.00022836,0.00007612,9
0,1450,0.31527498,0.31552206,0.00022307,0.00007436,9
0,1500,0.31524737,0.31548887,0.00021157,0.00007052,9
0,1550,0.31522503,0.31544603,0.00020557,0.00006852,9
0,1600,0.31519918,0.31540840,0.00020556,0.00006852,9
0,1629,,0.31504024,0.00000000,0.00000000,1
0,1650,0.31517818,0.31541674,0.00017397,0.00006151,8
0,1700,0.31515647,0.31538527,0.00016842,0.00005954,8
0,1750,0.31513266,0.31534853,0.00017221,0.00006088,8
0,1800,0.31511343,0.31531908,0.00017168,0.00006070,8
0,1834,,0.31503984,0.00000000,0.00000000,1
0,1850,0.31509476,0.31532266,0.00014690,0.00005552,7
0,1900,0.31507509,0.31529522,0.00014794,0.00005592,7
0,1917,,0.31504008,0.00000000,0.00000000,1
0,1950,0.31505751,0.31530057,0.00012747,0.00005204,6
0,2000,0.31504063,0.31527822,0.00013199,0.00005389,6
0,2050,,0.31526672,0.00012796,0.00005224,6
0,2100,,0.31525292,0.00013514,0.00005517,6
0,2124,,0.31503999,0.00000000,0.00000000,1
0,2150,,0.31527186,0.00010964,0.00004903,5
