network_id,n_controls,total_Q,rho,batch,runs,exact_runs,exact_iters,max_iters,exact_time_s,exact_time_std,target_obj,stoch_reached,stoch_iters_to_target,stoch_time_to_target_s,extra_iters,extra_time_s,iter_ratio,time_ratio,target_ell
0,13,46,1.0,1,10,10,2000,100000,2.186933,0.035269,0.21331211,10/10,13934.6,5.704494,11934.6,3.517561,6.967,2.608,"{""v0"": 0.000271, ""v1"": 7.6e-05, ""v2"": 0.015962, ""v3"": 0.000859, ""v4"": 0.418923, ""v5"": 3.8e-05, ""v6"": 0.000405, ""v7"": 3.8e-05, ""v8"": 3.8e-05, ""v9"": 9.6e-05, ""v10"": 0.000859, ""v11"": 0.196015, ""v12"": 0.366418}"
1,14,45,1.0,1,10,10,2000,100000,2.707583,0.007557,0.53219959,10/10,3732.0,1.411476,1732.0,-1.296107,1.866,0.521,"{""v0"": 0.235469, ""v1"": 0.390009, ""v2"": 0.225813, ""v3"": 0.134689, ""v4"": 0.004277, ""v5"": 0.000344, ""v6"": 0.000804, ""v7"": 0.000511, ""v8"": 0.002004, ""v9"": 0.00021, ""v10"": 0.00324, ""v11"": 0.002507, ""v12"": 8.7e-05, ""v13"": 3.6e-05}"
2,13,31,1.0,1,10,10,2000,100000,2.270680,0.025529,0.58576543,10/10,5404.2,2.162325,3404.2,-0.108355,2.702,0.952,"{""v0"": 0.006131, ""v1"": 0.005133, ""v2"": 0.005148, ""v3"": 0.001432, ""v4"": 0.000117, ""v5"": 5.8e-05, ""v6"": 0.18434, ""v7"": 0.190696, ""v8"": 0.458915, ""v9"": 0.145039, ""v10"": 3.8e-05, ""v11"": 0.002069, ""v12"": 0.000883}"
3,12,43,1.0,1,10,10,2000,100000,4.389008,0.053698,0.74339627,10/10,2655.1,0.598079,655.1,-3.790929,1.328,0.136,"{""v0"": 0.083491, ""v1"": 0.000115, ""v2"": 4.2e-05, ""v3"": 4.2e-05, ""v4"": 4.2e-05, ""v5"": 0.187096, ""v6"": 0.245163, ""v7"": 0.006512, ""v8"": 0.006315, ""v9"": 0.006437, ""v10"": 0.237001, ""v11"": 0.227746}"
4,14,47,1.0,1,10,10,2000,100000,4.408983,0.006618,0.71104705,10/10,2669.7,0.849535,669.7,-3.559448,1.335,0.193,"{""v0"": 0.194977, ""v1"": 0.000354, ""v2"": 4.7e-05, ""v3"": 3.6e-05, ""v4"": 3.6e-05, ""v5"": 0.30341, ""v6"": 0.033006, ""v7"": 0.123827, ""v8"": 0.122716, ""v9"": 3.6e-05, ""v10"": 0.002762, ""v11"": 0.000138, ""v12"": 0.105312, ""v13"": 0.113344}"
5,15,39,1.0,1,10,10,2000,100000,2.390994,0.261789,0.11608451,10/10,9454.6,4.798198,7454.6,2.407204,4.727,2.007,"{""v0"": 0.000871, ""v1"": 3.3e-05, ""v2"": 3.3e-05, ""v3"": 0.000132, ""v4"": 3.3e-05, ""v5"": 3.3e-05, ""v6"": 3.3e-05, ""v7"": 3.3e-05, ""v8"": 3.3e-05, ""v9"": 0.001134, ""v10"": 0.001197, ""v11"": 9.5e-05, ""v12"": 3.3e-05, ""v13"": 0.760338, ""v14"": 0.235967}"
6,14,46,1.0,1,10,10,2000,100000,3.305071,0.006292,0.44032905,10/10,9763.5,4.290448,7763.5,0.985377,4.882,1.298,"{""v0"": 0.365659, ""v1"": 0.625484, ""v2"": 0.001895, ""v3"": 0.001309, ""v4"": 8.9e-05, ""v5"": 7.8e-05, ""v6"": 0.000148, ""v7"": 0.000416, ""v8"": 0.000335, ""v9"": 3.6e-05, ""v10"": 3.6e-05, ""v11"": 0.000177, ""v12"": 0.000541, ""v13"": 0.003798}"
7,12,31,1.0,1,10,10,2000,100000,2.052353,0.002574,0.24976526,0/10,,,,,,,"{""v0"": 0.000188, ""v1"": 0.00019, ""v2"": 4.2e-05, ""v3"": 4.2e-05, ""v4"": 0.998101, ""v5"": 6.1e-05, ""v6"": 4.2e-05, ""v7"": 4.2e-05, ""v8"": 4.2e-05, ""v9"": 4.2e-05, ""v10"": 0.000111, ""v11"": 0.001098}"
8,14,49,1.0,1,10,10,2000,100000,4.083425,0.003354,0.46012734,10/10,9148.4,4.867295,7148.4,0.783870,4.574,1.192,"{""v0"": 0.372068, ""v1"": 0.00039, ""v2"": 0.000264, ""v3"": 0.271366, ""v4"": 0.347658, ""v5"": 4.2e-05, ""v6"": 3.6e-05, ""v7"": 0.000136, ""v8"": 4.9e-05, ""v9"": 3.6e-05, ""v10"": 5.3e-05, ""v11"": 0.000242, ""v12"": 0.003334, ""v13"": 0.004328}"
9,10,23,1.0,1,10,10,2000,100000,1.393719,0.002583,0.25487226,10/10,28731.7,6.841011,26731.7,5.447291,14.366,4.908,"{""v0"": 9.7e-05, ""v1"": 0.000384, ""v2"": 5.4e-05, ""v3"": 0.00332, ""v4"": 0.995206, ""v5"": 5e-05, ""v6"": 5e-05, ""v7"": 6.8e-05, ""v8"": 5e-05, ""v9"": 0.00072}"
