tag,network_id,n_controls,total_Q,rho,samples,GR_GR,GR_GI,GR_GR_over_GR_GI
b10r1,0,13,46,1.0,10,0.21331398,0.23975027,0.88973406
b10r1,1,14,45,1.0,10,0.30060828,0.82283910,0.36533057
b10r1,2,13,31,1.0,10,0.35549268,0.85161786,0.41743216
b10r1,3,12,43,1.0,10,0.36326838,0.99979660,0.36334228
b10r1,4,14,47,1.0,10,0.33824353,0.99797915,0.33892845
b10r1,5,15,39,1.0,10,0.11521514,0.14617066,0.78822344
b10r1,6,14,46,1.0,10,0.28240002,0.56062287,0.50372547
b10r1,7,12,31,1.0,10,0.24934398,0.24996830,0.99750240
b10r1,8,14,49,1.0,10,0.29919860,0.64087662,0.46685835
b10r1,9,10,23,1.0,10,0.23765584,0.51045178,0.46557941
b10r1,10,12,38,1.0,10,0.36824479,0.99987249,0.36829175
b10r1,11,11,36,1.0,10,0.34013232,0.91173607,0.37306007
b10r1,12,14,45,1.0,10,0.22513335,0.22616830,0.99542398
b10r1,13,12,35,1.0,10,0.32993865,0.99093500,0.33295690
b10r1,14,14,34,1.0,10,0.16935302,0.28727552,0.58951428
b10r1,15,14,45,1.0,10,0.26688146,0.34697967,0.76915590
b10r1,16,10,27,1.0,10,0.27224723,0.62495677,0.43562570
b10r1,17,12,37,1.0,10,0.32513852,0.96938537,0.33540688
b10r1,18,10,20,1.0,10,0.33317596,0.99986826,0.33321986
b10r1,19,10,32,1.0,10,0.07535527,0.17735682,0.42487946
b10r1,20,10,24,1.0,10,0.36751044,0.99801903,0.36823991
b10r1,21,11,25,1.0,10,0.32956993,0.99751175,0.33039203
b10r1,22,13,42,1.0,10,0.32839214,0.58482344,0.56152356
b10r1,23,14,37,1.0,10,0.08053663,0.11087249,0.72638966
b10r1,24,11,36,1.0,10,0.10917382,0.14465577,0.75471459
b10r1,25,31,129,1.0,10,0.34890910,0.94849903,0.36785393
b10r1,26,41,111,1.0,10,0.36188767,0.99955134,0.36205011
b10r1,27,43,150,1.0,10,0.19698727,0.26694786,0.73792414
b10r1,28,44,144,1.0,10,0.36826300,0.99997148,0.36827350
b10r1,29,38,148,1.0,10,0.09552163,0.09537527,1.00153457
b10r1,30,44,100,1.0,10,0.27257349,0.80259183,0.33961658
b10r1,31,35,150,1.0,10,0.32442897,0.99394147,0.32640651
b10r1,32,43,102,1.0,10,0.36830655,0.99894425,0.36869580
b10r1,33,37,122,1.0,10,0.36812508,0.99963558,0.36825928
b10r1,34,32,117,1.0,10,0.36714007,0.99980113,0.36721310
b10r1,35,42,133,1.0,10,0.07831276,0.12971957,0.60370814
b10r1,36,31,113,1.0,10,0.31818542,0.98059878,0.32448074
b10r1,37,41,116,1.0,10,0.35462577,0.80066489,0.44291410
b10r1,38,42,126,1.0,10,0.14456412,0.43065154,0.33568699
b10r1,39,13,42,1.0,10,0.19679497,0.26715567,0.73663033
b10r1,40,14,45,1.0,10,0.36380720,0.99118894,0.36704122
b10r1,41,12,30,1.0,10,0.20736521,0.47073815,0.44051074
b10r1,42,14,36,1.0,10,0.21542775,0.58336220,0.36928644
b10r1,43,15,45,1.0,10,0.32172710,0.98952112,0.32513414
b10r10,0,13,46,10.0,10,0.00008339,0.00025827,0.32287916
b10r10,1,14,45,10.0,10,0.00003110,0.73334193,0.00004241
b10r10,2,13,31,10.0,10,0.00007469,0.25566036,0.00029215
b10r10,3,12,43,10.0,10,0.00004473,0.99936927,0.00004476
b10r10,4,14,47,10.0,10,0.00003976,0.99603067,0.00003992
b10r10,5,15,39,10.0,10,0.00001005,0.00028676,0.03504673
b10r10,6,14,46,10.0,10,0.00003319,0.36850745,0.00009007
b10r10,7,12,31,10.0,10,0.00003713,0.00927818,0.00400186
b10r10,8,14,49,10.0,10,0.00002694,0.40172809,0.00006706
b10r10,9,10,23,10.0,10,0.00002192,0.00454791,0.00481980
b10r10,10,12,38,10.0,10,0.00004562,0.99940164,0.00004565
b10r10,11,11,36,10.0,10,0.00003784,0.83449661,0.00004534
b10r10,12,14,45,10.0,10,0.00002766,0.00043026,0.06428671
b10r10,13,12,35,10.0,10,0.00003858,0.98565306,0.00003914
b10r10,14,14,34,10.0,10,0.00001723,0.00112887,0.01526305
b10r10,15,14,45,10.0,10,0.00002803,0.02017848,0.00138910
b10r10,16,10,27,10.0,10,0.00002665,0.42757675,0.00006233
b10r10,17,12,37,10.0,10,0.00003744,0.71452096,0.00005240
b10r10,18,10,20,10.0,10,0.00003887,0.99886416,0.00003891
b10r10,19,10,32,10.0,10,0.00002428,0.01269640,0.00191235
b10r10,20,10,24,10.0,10,0.00004542,0.99645325,0.00004558
b10r10,21,11,25,10.0,10,0.00003801,0.99604446,0.00003816
b10r10,22,13,42,10.0,10,0.00003636,0.02134233,0.00170366
b10r10,23,14,37,10.0,10,0.00014889,0.00051823,0.28730486
b10r10,24,11,36,10.0,10,0.00001409,0.00450064,0.00313067
b10r10,25,31,129,10.0,10,0.00005536,0.92747116,0.00005969
b10r10,26,41,111,10.0,10,0.00009300,0.98900566,0.00009403
b10r10,27,43,150,10.0,10,0.00001205,0.00113118,0.01065259
b10r10,28,44,144,10.0,10,0.00004549,0.99994685,0.00004549
b10r10,29,38,148,10.0,10,0.00000766,0.00031714,0.02415337
b10r10,30,44,100,10.0,10,0.00003009,0.27867234,0.00010798
b10r10,31,35,150,10.0,10,0.00003748,0.99046716,0.00003784
b10r10,32,43,102,10.0,10,0.00004653,0.99787313,0.00004663
b10r10,33,37,122,10.0,10,0.00004681,0.99695491,0.00004695
b10r10,34,32,117,10.0,10,0.00006111,0.99723183,0.00006128
b10r10,35,42,133,10.0,10,0.00000852,0.00137412,0.00620033
b10r10,36,31,113,10.0,10,0.00009219,0.52263681,0.00017639
b10r10,37,41,116,10.0,10,0.00010262,0.01357717,0.00755828
b10r10,38,42,126,10.0,10,0.00001229,0.02708094,0.00045382
b10r10,39,13,42,10.0,10,0.00008223,0.00309010,0.02661079
b10r10,40,14,45,10.0,10,0.00007585,0.84470682,0.00008979
b10r10,41,12,30,10.0,10,0.00001358,0.00910335,0.00149176
b10r10,42,14,36,10.0,10,0.00001835,0.03046057,0.00060242
b10r10,43,15,45,10.0,10,0.00007554,0.97288603,0.00007765
b10r5,0,13,46,5.0,10,0.00240870,0.00834954,0.28848296
b10r5,1,14,45,5.0,10,0.00470375,0.75386195,0.00623954
b10r5,2,13,31,5.0,10,0.00644755,0.35562682,0.01813010
b10r5,3,12,43,5.0,10,0.00662179,0.99961365,0.00662435
b10r5,4,14,47,5.0,10,0.00593695,0.99691470,0.00595532
b10r5,5,15,39,5.0,10,0.00158548,0.00815689,0.19437310
b10r5,6,14,46,5.0,10,0.00429712,0.39522951,0.01087247
b10r5,7,12,31,5.0,10,0.00396923,0.02457268,0.16153020
b10r5,8,14,49,5.0,10,0.00410984,0.43250548,0.00950240
b10r5,9,10,23,5.0,10,0.00337492,0.04504976,0.07491538
b10r5,10,12,38,5.0,10,0.00675140,0.99974000,0.00675316
b10r5,11,11,36,5.0,10,0.00566504,0.84530895,0.00670174
b10r5,12,14,45,5.0,10,0.00266109,0.00523048,0.50876593
b10r5,13,12,35,5.0,10,0.00575930,0.98699604,0.00583518
b10r5,14,14,34,5.0,10,0.00205147,0.01383262,0.14830668
b10r5,15,14,45,5.0,10,0.00397672,0.05284768,0.07524871
b10r5,16,10,27,5.0,10,0.00404388,0.45403091,0.00890662
b10r5,17,12,37,5.0,10,0.00558573,0.74495688,0.00749806
b10r5,18,10,20,5.0,10,0.00579691,0.99963524,0.00579903
b10r5,19,10,32,5.0,10,0.00120907,0.08473670,0.01426855
b10r5,20,10,24,5.0,10,0.00673307,0.99692593,0.00675383
b10r5,21,11,25,5.0,10,0.00564145,0.99629452,0.00566243
b10r5,22,13,42,5.0,10,0.00547468,0.10921150,0.05012915
b10r5,23,14,37,5.0,10,0.00107660,0.00699807,0.15384242
b10r5,24,11,36,5.0,10,0.00178110,0.03359382,0.05301868
b10r5,25,31,129,5.0,10,0.00639672,0.93248428,0.00685987
b10r5,26,41,111,5.0,10,0.00663885,0.99834218,0.00664987
b10r5,27,43,150,5.0,10,0.00202718,0.02054789,0.09865636
b10r5,28,44,144,5.0,10,0.00674638,0.99996574,0.00674661
b10r5,29,38,148,5.0,10,0.00102555,0.00314588,0.32599781
