network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,7,26,5.0,greedy_probability,index,stochastic,10,True,regret,26,0.014401,0.00098349,0.00499553,0.01272070,0.00772517,"{""get_credentials"": 0.319833, ""find_LAN_access_port"": 0.200233, ""spoof_MAC_address"": 0.008684, ""find_WLAN"": 0.005495, ""break_WPA_keys"": 0.005495, ""exploit_software_vulnerability"": 0.225963, ""run_malicous_script"": 0.234298}","{""get_credentials"": [0.01277, 0.010933, 0.008567, 0.005854, 0.003698], ""find_LAN_access_port"": [0.025352, 0.021085, 0.01457], ""spoof_MAC_address"": [0.080837, 0.080339, 0.079485, 0.07787], ""find_WLAN"": [0.077633, 0.076637, 0.074298], ""break_WPA_keys"": [0.081272, 0.080129, 0.077665, 0.07327], ""exploit_software_vulnerability"": [0.084759, 0.075749, 0.062805, 0.04446], ""run_malicous_script"": [0.273901, 0.23656, 0.17428]}"
1,8,29,5.0,greedy_probability,index,stochastic,10,True,regret,429,0.102860,0.00099901,0.00641546,0.07785544,0.07143998,"{""BribeProgrammer"": 0.481771, ""ProgrammerObtainsTheCode"": 0.017248, ""HireRobberA"": 0.000291, ""BugInComputerSystem"": 0.000291, ""ExploitBug"": 0.000291, ""HireRobberB"": 0.000291, ""RobberBreaksIntoSystem"": 0.000291, ""UseCodeInProduct"": 0.499524}","{""BribeProgrammer"": [0.005692, 0.004909, 0.003794, 0.00264], ""ProgrammerObtainsTheCode"": [0.071403, 0.07053, 0.069048, 0.066286], ""HireRobberA"": [0.078076, 0.07805, 0.07799], ""BugInComputerSystem"": [0.078222, 0.0782, 0.078161, 0.078081], ""ExploitBug"": [0.078356, 0.07833, 0.078277], ""HireRobberB"": [0.078182, 0.078154, 0.078093], ""RobberBreaksIntoSystem"": [0.078342, 0.078295, 0.07818], ""UseCodeInProduct"": [0.078489, 0.073899, 0.066145, 0.054267, 0.03629]}"
2,11,43,5.0,greedy_probability,index,stochastic,10,True,regret,2641,0.399487,0.00099973,0.00669470,0.99979470,0.99310000,"{""BreakIntoComputerCentre"": 3.4e-05, ""Unattended Guest"": 6.1e-05, ""CorruptSysAdmin"": 0.999629, ""ObtainPasswordFileA"": 3.4e-05, ""EncounterGuessablePasswordA"": 3.4e-05, ""LookOverSysAdminShoulderA"": 3.4e-05, ""TrojanHorseSAAccountA"": 3.4e-05, ""ObtainPasswordFileB"": 3.4e-05, ""EncounterGuessablePasswordB"": 3.4e-05, ""LookOverSysAdminShoulderB"": 3.4e-05, ""TrojanHorseSAAccountB"": 3.4e-05}","{""BreakIntoComputerCentre"": [0.999751, 0.999675, 0.999522], ""Unattended Guest"": [0.999651, 0.999602, 0.999497], ""CorruptSysAdmin"": [0.006348, 0.005744, 0.004937], ""ObtainPasswordFileA"": [0.999578, 0.999521, 0.999425, 0.999234], ""EncounterGuessablePasswordA"": [0.999811, 0.999788, 0.999747, 0.999669, 0.999535], ""LookOverSysAdminShoulderA"": [0.999795, 0.999758, 0.999687, 0.999547], ""TrojanHorseSAAccountA"": [0.999779, 0.999731, 0.999642, 0.999445], ""ObtainPasswordFileB"": [0.999578, 0.999521, 0.999425, 0.999234], ""EncounterGuessablePasswordB"": [0.999811, 0.999788, 0.999747, 0.999669, 0.999535], ""LookOverSysAdminShoulderB"": [0.999795, 0.999758, 0.999687, 0.999547], ""TrojanHorseSAAccountB"": [0.999779, 0.999731, 0.999642, 0.999445]}"
3,11,11,5.0,greedy_probability,index,stochastic,10,True,regret,1,0.000419,0.00000000,0.00007205,0.00006625,-0.00000580,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [0.0], ""User_login"": [0.000108], ""Password_attack"": [0.000105], ""Unauthorized_login"": [0.000105], ""Packet_spoofing"": [0.011679], ""Sync_flood"": [0.011679], ""SQL_injection"": [2e-05], ""Insert_malicious_scripts"": [0.013711], ""Capture_packets"": [0.0], ""Analyze_packets"": [1.4e-05], ""Modify_sensitive_data"": [0.00457]}"
4,12,37,5.0,greedy_probability,index,stochastic,10,True,regret,1034,0.487622,0.00099958,0.00477265,0.83765686,0.83288421,"{""Guessing"": 8.1e-05, ""Dictionary"": 0.373747, ""Bruteforce"": 8.1e-05, ""GenericReconnaissanceA"": 0.27428, ""EmailTrapExecution"": 8.1e-05, ""PhoneTrapExecution"": 8.1e-05, ""GenericReconnaissanceB"": 0.351248, ""PayloadCrafting"": 8.1e-05, ""EmailFileExecution"": 8.1e-05, ""PhysicalReconnaissance"": 8.1e-05, ""KeyloggerLocalInstallation"": 8.1e-05, ""PasswordIntercept"": 8.1e-05}","{""Guessing"": [0.998742, 0.997766, 0.995542, 0.990024], ""Dictionary"": [0.124599, 0.101638, 0.080536], ""Bruteforce"": [0.997129, 0.994987, 0.990024, 0.980246, 0.961257], ""GenericReconnaissanceA"": [0.168001, 0.150952, 0.126542], ""EmailTrapExecution"": [0.998612, 0.997635, 0.994987], ""PhoneTrapExecution"": [0.99839, 0.996909], ""GenericReconnaissanceB"": [0.090205, 0.080288, 0.06641], ""PayloadCrafting"": [0.997032, 0.996645, 0.995834], ""EmailFileExecution"": [0.998228, 0.99783, 0.996869], ""PhysicalReconnaissance"": [0.996601, 0.996241, 0.995575], ""KeyloggerLocalInstallation"": [0.997978, 0.997332, 0.996098], ""PasswordIntercept"": [0.999268, 0.99894]}"
5,18,18,5.0,greedy_probability,index,stochastic,10,True,regret,1,0.002606,0.00000000,0.00374708,0.00519278,0.00144570,"{""10"": 0.055556, ""11"": 0.055556, ""12"": 0.055556, ""13"": 0.055556, ""14"": 0.055556, ""15"": 0.055556, ""16"": 0.055556, ""17"": 0.055556, ""18"": 0.055556, ""19"": 0.055556, ""20"": 0.055556, ""3"": 0.055556, ""21"": 0.055556, ""22"": 0.055556, ""23"": 0.055556, ""24"": 0.055556, ""25"": 0.055556, ""26"": 0.055556}","{""10"": [0.003462], ""11"": [0.034621], ""12"": [0.287182], ""13"": [0.000843], ""14"": [0.000843], ""15"": [0.000843], ""16"": [0.000843], ""17"": [0.000843], ""18"": [0.000843], ""19"": [0.000843], ""20"": [0.000843], ""3"": [0.013282], ""21"": [0.003292], ""22"": [0.105838], ""23"": [0.003292], ""24"": [0.105838], ""25"": [0.002244], ""26"": [0.002244]}"
6,45,45,5.0,greedy_probability,index,stochastic,10,True,regret,1738,38.755579,0.00099952,0.00598690,0.86552422,0.85953732,"{""X1"": 1.3e-05, ""X2"": 1.3e-05, ""X3"": 0.014307, ""X4"": 1.3e-05, ""X5"": 1.3e-05, ""X6"": 0.001091, ""X7"": 0.000485, ""X8"": 0.982209, ""X9"": 1.3e-05, ""X10"": 1.3e-05, ""X11"": 1.3e-05, ""X12"": 1.3e-05, ""X13"": 1.3e-05, ""X14"": 1.3e-05, ""X15"": 1.9e-05, ""X16"": 1.3e-05, ""X17"": 1.3e-05, ""X18"": 1.3e-05, ""X19"": 1.3e-05, ""X20"": 1.3e-05, ""X21"": 1.3e-05, ""X22"": 1.3e-05, ""X23"": 1.3e-05, ""X24"": 1.3e-05, ""X25"": 1.9e-05, ""X26"": 1.9e-05, ""X27"": 1.3e-05, ""X28"": 1.9e-05, ""X29"": 9.4e-05, ""X30"": 1.3e-05, ""X31"": 0.000449, ""X32"": 0.000686, ""X33"": 9.4e-05, ""X34"": 1.3e-05, ""X35"": 9.4e-05, ""X36"": 1.3e-05, ""X37"": 1.3e-05, ""X38"": 1.9e-05, ""X44"": 1.3e-05, ""X45"": 1.3e-05, ""X39"": 1.3e-05, ""X40"": 1.3e-05, ""X41"": 1.3e-05, ""X42"": 1.3e-05, ""X43"": 1.3e-05}","{""X1"": [0.997304], ""X2"": [0.998396], ""X3"": [0.513394], ""X4"": [0.998214], ""X5"": [0.997248], ""X6"": [0.934299], ""X7"": [0.968071], ""X8"": [0.000594], ""X9"": [0.998173], ""X10"": [0.997795], ""X11"": [0.99789], ""X12"": [0.997941], ""X13"": [0.998559], ""X14"": [0.998495], ""X15"": [0.997948], ""X16"": [0.998219], ""X17"": [0.998378], ""X18"": [0.998562], ""X19"": [0.998495], ""X20"": [0.997812], ""X21"": [0.998432], ""X22"": [0.998602], ""X23"": [0.998407], ""X24"": [0.997432], ""X25"": [0.9985], ""X26"": [0.998586], ""X27"": [0.997812], ""X28"": [0.998414], ""X29"": [0.993591], ""X30"": [0.997248], ""X31"": [0.97021], ""X32"": [0.957572], ""X33"": [0.993272], ""X34"": [0.998144], ""X35"": [0.993412], ""X36"": [0.998282], ""X37"": [0.997812], ""X38"": [0.99844], ""X44"": [0.99797], ""X45"": [0.998088], ""X39"": [0.998144], ""X40"": [0.997941], ""X41"": [0.99857], ""X42"": [0.998219], ""X43"": [0.998378]}"
7,25,25,5.0,greedy_probability,index,stochastic,10,True,regret,1,0.011342,0.00000000,0.00055676,0.00047842,-0.00007834,"{""Signal_and_communication"": 0.04, ""Frogs__switches_and_track_appliances"": 0.04, ""Other_way_and_structure"": 0.04, ""Rail__joint_bar_and_rail_anchoring"": 0.04, ""Roadbed"": 0.04, ""Track_geometry"": 0.04, ""Brakes__use_of"": 0.04, ""General_switching_rules"": 0.04, ""Loading_procedures"": 0.04, ""Miscellaneous"": 0.04, ""Speed"": 0.04, ""Switches__use_of"": 0.04, ""Train_handling/train_makeup"": 0.04, ""Axles_and_journal_bearings"": 0.04, ""Body"": 0.04, ""Brakes"": 0.04, ""Coupler_and_draft_system"": 0.04, ""General_mechanical_and_electrical_failures"": 0.04, ""Locomotive"": 0.04, ""Truck_component"": 0.04, ""Wheels"": 0.04, ""Environmental_conditions"": 0.04, ""Loading_procedures_misc"": 0.04, ""Other_miscellaneous"": 0.04, ""Unusual_operating_situations"": 0.04}","{""Signal_and_communication"": [4.5e-05], ""Frogs__switches_and_track_appliances"": [0.000181], ""Other_way_and_structure"": [4.5e-05], ""Rail__joint_bar_and_rail_anchoring"": [0.000903], ""Roadbed"": [0.000271], ""Track_geometry"": [0.000632], ""Brakes__use_of"": [5e-06], ""General_switching_rules"": [0.000135], ""Loading_procedures"": [5e-06], ""Miscellaneous"": [0.000135], ""Speed"": [9e-05], ""Switches__use_of"": [0.000181], ""Train_handling/train_makeup"": [0.000542], ""Axles_and_journal_bearings"": [0.000406], ""Body"": [4.5e-05], ""Brakes"": [0.000271], ""Coupler_and_draft_system"": [4.5e-05], ""General_mechanical_and_electrical_failures"": [5e-06], ""Locomotive"": [0.000316], ""Truck_component"": [0.000181], ""Wheels"": [0.000361], ""Environmental_conditions"": [0.000316], ""Loading_procedures_misc"": [0.000181], ""Other_miscellaneous"": [9e-05], ""Unusual_operating_situations"": [0.000226]}"
8,9,9,5.0,greedy_probability,index,stochastic,10,True,regret,1,0.000780,0.00000000,0.00274606,0.00257327,-0.00017279,"{""Truck_componenets"": 0.111111, ""Brakes__use_of"": 0.111111, ""Flagging__fixed__hand_and_radio_signals"": 0.111111, ""General_switching_rules"": 0.111111, ""Main-track_authority"": 0.111111, ""Miscellaneous"": 0.111111, ""Speed"": 0.111111, ""Train_handling/train_makeup"": 0.111111, ""Unusual_operating_situations"": 0.111111}","{""Truck_componenets"": [0.000498], ""Brakes__use_of"": [0.001478], ""Flagging__fixed__hand_and_radio_signals"": [0.000995], ""General_switching_rules"": [0.000498], ""Main-track_authority"": [0.002015], ""Miscellaneous"": [0.000995], ""Speed"": [0.004022], ""Train_handling/train_makeup"": [0.000498], ""Unusual_operating_situations"": [0.000498]}"
9,27,27,5.0,greedy_probability,index,stochastic,10,True,regret,1,0.004514,0.00000000,0.00833105,0.00885610,0.00052505,"{""B1"": 0.037037, ""B2"": 0.037037, ""B4"": 0.037037, ""B5"": 0.037037, ""B10"": 0.037037, ""B7"": 0.037037, ""B8"": 0.037037, ""B3"": 0.037037, ""B9"": 0.037037, ""B16"": 0.037037, ""B17"": 0.037037, ""B18"": 0.037037, ""B19"": 0.037037, ""B26"": 0.037037, ""B27"": 0.037037, ""B14"": 0.037037, ""B15"": 0.037037, ""B11"": 0.037037, ""B12"": 0.037037, ""B13"": 0.037037, ""B6"": 0.037037, ""B25"": 0.037037, ""B21"": 0.037037, ""B22"": 0.037037, ""B23"": 0.037037, ""B20"": 0.037037, ""B24"": 0.037037}","{""B1"": [0.000147], ""B2"": [0.000147], ""B4"": [0.011467], ""B5"": [0.000147], ""B10"": [4.9e-05], ""B7"": [1.5e-05], ""B8"": [5e-06], ""B3"": [7e-06], ""B9"": [0.044748], ""B16"": [0.015247], ""B17"": [0.111421], ""B18"": [0.020133], ""B19"": [0.013385], ""B26"": [0.005281], ""B27"": [0.003771], ""B14"": [0.015676], ""B15"": [0.01881], ""B11"": [5e-06], ""B12"": [5e-06], ""B13"": [5e-06], ""B6"": [0.000147], ""B25"": [0.002501], ""B21"": [4.9e-05], ""B22"": [0.010458], ""B23"": [0.013385], ""B20"": [0.013337], ""B24"": [0.01881]}"
