network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,13,46,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,93,0.010949,0.00099378,0.00235354,0.00238658,0.00003304,"{""v0"": 0.004294, ""v1"": 0.009591, ""v2"": 0.119963, ""v3"": 0.124448, ""v4"": 0.256907, ""v5"": 0.000827, ""v6"": 0.119508, ""v7"": 0.000827, ""v8"": 0.000827, ""v9"": 0.076843, ""v10"": 0.000827, ""v11"": 0.155427, ""v12"": 0.129711}",{}
1,14,45,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,707,0.044278,0.00099896,0.00477310,0.00475905,-0.00001405,"{""v0"": 0.000101, ""v1"": 0.40204, ""v2"": 0.000931, ""v3"": 0.000817, ""v4"": 0.364473, ""v5"": 0.000101, ""v6"": 0.000101, ""v7"": 0.000101, ""v8"": 0.000101, ""v9"": 0.000599, ""v10"": 0.230332, ""v11"": 0.000101, ""v12"": 0.000101, ""v13"": 0.000101}",{}
2,13,31,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,423,0.025509,0.00099893,0.00649609,0.00651863,0.00002254,"{""v0"": 0.332321, ""v1"": 0.000182, ""v2"": 0.001184, ""v3"": 0.000182, ""v4"": 0.000182, ""v5"": 0.000182, ""v6"": 0.328412, ""v7"": 0.000182, ""v8"": 0.321579, ""v9"": 0.000182, ""v10"": 0.000182, ""v11"": 0.013999, ""v12"": 0.001233}",{}
3,12,43,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,2067,0.070613,0.00099984,0.00666304,0.00666142,-0.00000162,"{""v0"": 4e-05, ""v1"": 4e-05, ""v2"": 4e-05, ""v3"": 4e-05, ""v4"": 4e-05, ""v5"": 4e-05, ""v6"": 0.997877, ""v7"": 0.00088, ""v8"": 4e-05, ""v9"": 4e-05, ""v10"": 0.00088, ""v11"": 4e-05}",{}
4,14,47,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,2409,0.115520,0.00099990,0.00594508,0.00593739,-0.00000769,"{""v0"": 3e-05, ""v1"": 3e-05, ""v2"": 3e-05, ""v3"": 3e-05, ""v4"": 3e-05, ""v5"": 0.542288, ""v6"": 3e-05, ""v7"": 3e-05, ""v8"": 3e-05, ""v9"": 0.457356, ""v10"": 3e-05, ""v11"": 3e-05, ""v12"": 3e-05, ""v13"": 3e-05}",{}
5,15,39,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,674,0.043676,0.00099996,0.00154514,0.00158182,0.00003668,"{""v0"": 9.9e-05, ""v1"": 0.002689, ""v2"": 9.9e-05, ""v3"": 0.111051, ""v4"": 9.9e-05, ""v5"": 9.9e-05, ""v6"": 9.9e-05, ""v7"": 9.9e-05, ""v8"": 9.9e-05, ""v9"": 0.085052, ""v10"": 0.213842, ""v11"": 9.9e-05, ""v12"": 9.9e-05, ""v13"": 0.401467, ""v14"": 0.185007}",{}
6,14,46,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,462,0.041399,0.00099949,0.00428306,0.00426901,-0.00001405,"{""v0"": 0.000155, ""v1"": 0.569427, ""v2"": 0.000155, ""v3"": 0.000155, ""v4"": 0.288953, ""v5"": 0.036948, ""v6"": 0.002852, ""v7"": 0.001524, ""v8"": 0.000155, ""v9"": 0.000155, ""v10"": 0.000155, ""v11"": 0.040765, ""v12"": 0.000155, ""v13"": 0.058449}",{}
7,12,31,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,513,0.030600,0.00099834,0.00408109,0.00405756,-0.00002353,"{""v0"": 0.001403, ""v1"": 0.210493, ""v2"": 0.000162, ""v3"": 0.000162, ""v4"": 0.559765, ""v5"": 0.215586, ""v6"": 0.000162, ""v7"": 0.000162, ""v8"": 0.000162, ""v9"": 0.000162, ""v10"": 0.009967, ""v11"": 0.001812}",{}
8,14,49,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,798,0.060787,0.00099822,0.00413924,0.00415087,0.00001163,"{""v0"": 9e-05, ""v1"": 0.329269, ""v2"": 9e-05, ""v3"": 0.28819, ""v4"": 0.159788, ""v5"": 0.030711, ""v6"": 9e-05, ""v7"": 9e-05, ""v8"": 9e-05, ""v9"": 9e-05, ""v10"": 9e-05, ""v11"": 9e-05, ""v12"": 0.191237, ""v13"": 9e-05}",{}
9,10,23,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,306,0.014664,0.00099569,0.00340757,0.00341281,0.00000524,"{""v0"": 0.302706, ""v1"": 0.000327, ""v2"": 0.000327, ""v3"": 0.246072, ""v4"": 0.148713, ""v5"": 0.000327, ""v6"": 0.000327, ""v7"": 0.000327, ""v8"": 0.000327, ""v9"": 0.300547}",{}
10,12,38,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1813,0.088550,0.00099956,0.00675077,0.00675139,0.00000062,"{""v0"": 4.6e-05, ""v1"": 4.6e-05, ""v2"": 4.6e-05, ""v3"": 0.499514, ""v4"": 4.6e-05, ""v5"": 4.6e-05, ""v6"": 4.6e-05, ""v7"": 4.6e-05, ""v8"": 4.6e-05, ""v9"": 4.6e-05, ""v10"": 0.500027, ""v11"": 4.6e-05}",{}
11,11,36,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,2002,0.085030,0.00099952,0.00568359,0.00567449,-0.00000909,"{""v0"": 4.5e-05, ""v1"": 4.5e-05, ""v2"": 4.5e-05, ""v3"": 4.5e-05, ""v4"": 4.5e-05, ""v5"": 4.5e-05, ""v6"": 4.5e-05, ""v7"": 4.5e-05, ""v8"": 0.64488, ""v9"": 4.5e-05, ""v10"": 0.354711}",{}
12,14,45,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,320,0.030740,0.00099757,0.00266312,0.00266970,0.00000658,"{""v0"": 0.353668, ""v1"": 0.089915, ""v2"": 0.000223, ""v3"": 0.000223, ""v4"": 0.000223, ""v5"": 0.000223, ""v6"": 0.000223, ""v7"": 0.000223, ""v8"": 0.02506, ""v9"": 0.012171, ""v10"": 0.001086, ""v11"": 0.000223, ""v12"": 0.273537, ""v13"": 0.243001}",{}
13,12,35,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,2086,0.089706,0.00099972,0.00577460,0.00575920,-0.00001541,"{""v0"": 0.546418, ""v1"": 4e-05, ""v2"": 4e-05, ""v3"": 4e-05, ""v4"": 4e-05, ""v5"": 4e-05, ""v6"": 0.453183, ""v7"": 4e-05, ""v8"": 4e-05, ""v9"": 4e-05, ""v10"": 4e-05, ""v11"": 4e-05}",{}
14,14,34,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,229,0.019668,0.00098699,0.00203789,0.00204561,0.00000772,"{""v0"": 0.215328, ""v1"": 0.361433, ""v2"": 0.000312, ""v3"": 0.023814, ""v4"": 0.000312, ""v5"": 0.000312, ""v6"": 0.022905, ""v7"": 0.000312, ""v8"": 0.001165, ""v9"": 0.000312, ""v10"": 0.000312, ""v11"": 0.208032, ""v12"": 0.05277, ""v13"": 0.112682}",{}
15,14,45,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,247,0.019651,0.00099123,0.00392293,0.00393876,0.00001584,"{""v0"": 0.385106, ""v1"": 0.031199, ""v2"": 0.000289, ""v3"": 0.238362, ""v4"": 0.000787, ""v5"": 0.000289, ""v6"": 0.000787, ""v7"": 0.000289, ""v8"": 0.021699, ""v9"": 0.000289, ""v10"": 0.26313, ""v11"": 0.057194, ""v12"": 0.000289, ""v13"": 0.000289}",{}
16,10,27,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1476,0.055257,0.00099893,0.00408171,0.00409056,0.00000885,"{""v0"": 6.8e-05, ""v1"": 6.8e-05, ""v2"": 0.570236, ""v3"": 6.8e-05, ""v4"": 6.8e-05, ""v5"": 6.8e-05, ""v6"": 0.429222, ""v7"": 6.8e-05, ""v8"": 6.8e-05, ""v9"": 6.8e-05}",{}
17,12,37,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,2545,0.122210,0.00099985,0.00555510,0.00556582,0.00001071,"{""v0"": 3.3e-05, ""v1"": 3.3e-05, ""v2"": 0.710894, ""v3"": 3.3e-05, ""v4"": 0.288778, ""v5"": 3.3e-05, ""v6"": 3.3e-05, ""v7"": 3.3e-05, ""v8"": 3.3e-05, ""v9"": 3.3e-05, ""v10"": 3.3e-05, ""v11"": 3.3e-05}",{}
18,10,20,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1730,0.066673,0.00099944,0.00581067,0.00579643,-0.00001424,"{""v0"": 5.8e-05, ""v1"": 0.445645, ""v2"": 5.8e-05, ""v3"": 5.8e-05, ""v4"": 5.8e-05, ""v5"": 5.8e-05, ""v6"": 0.553893, ""v7"": 5.8e-05, ""v8"": 5.8e-05, ""v9"": 5.8e-05}",{}
19,10,32,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000067,0.00000000,0.01474248,0.01487415,0.00013167,"{""v0"": 0.1, ""v1"": 0.1, ""v2"": 0.1, ""v3"": 0.1, ""v4"": 0.1, ""v5"": 0.1, ""v6"": 0.1, ""v7"": 0.1, ""v8"": 0.1, ""v9"": 0.1}",{}
20,10,24,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1591,0.053449,0.00099949,0.00677263,0.00677464,0.00000201,"{""v0"": 0.000842, ""v1"": 0.000842, ""v2"": 6.3e-05, ""v3"": 6.3e-05, ""v4"": 6.3e-05, ""v5"": 6.3e-05, ""v6"": 6.3e-05, ""v7"": 6.3e-05, ""v8"": 6.3e-05, ""v9"": 0.997877}",{}
21,11,25,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,3663,0.102551,0.00099990,0.00565860,0.00564022,-0.00001838,"{""v0"": 2.5e-05, ""v1"": 2.5e-05, ""v2"": 2.5e-05, ""v3"": 2.5e-05, ""v4"": 2.5e-05, ""v5"": 2.5e-05, ""v6"": 2.5e-05, ""v7"": 2.5e-05, ""v8"": 2.5e-05, ""v9"": 2.5e-05, ""v10"": 0.999752}",{}
22,13,42,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,744,0.037785,0.00099979,0.00548137,0.00548210,0.00000073,"{""v0"": 0.000606, ""v1"": 0.137071, ""v2"": 0.000606, ""v3"": 0.000103, ""v4"": 0.000103, ""v5"": 0.000103, ""v6"": 0.000103, ""v7"": 0.000103, ""v8"": 0.000103, ""v9"": 0.000103, ""v10"": 0.000103, ""v11"": 0.334368, ""v12"": 0.526522}",{}
23,14,37,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000083,0.00000000,0.00552465,0.00556927,0.00004462,"{""v0"": 0.071429, ""v1"": 0.071429, ""v2"": 0.071429, ""v3"": 0.071429, ""v4"": 0.071429, ""v5"": 0.071429, ""v6"": 0.071429, ""v7"": 0.071429, ""v8"": 0.071429, ""v9"": 0.071429, ""v10"": 0.071429, ""v11"": 0.071429, ""v12"": 0.071429, ""v13"": 0.071429}",{}
24,11,36,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000053,0.00000000,0.02814812,0.02830248,0.00015436,"{""v0"": 0.090909, ""v1"": 0.090909, ""v2"": 0.090909, ""v3"": 0.090909, ""v4"": 0.090909, ""v5"": 0.090909, ""v6"": 0.090909, ""v7"": 0.090909, ""v8"": 0.090909, ""v9"": 0.090909, ""v10"": 0.090909}",{}
25,31,129,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,3535,0.690001,0.00099984,0.00644040,0.00644614,0.00000573,"{""v0"": 9e-06, ""v1"": 9e-06, ""v2"": 9e-06, ""v3"": 0.001751, ""v4"": 9e-06, ""v5"": 9e-06, ""v6"": 0.390815, ""v7"": 9e-06, ""v8"": 9e-06, ""v9"": 9e-06, ""v10"": 9e-06, ""v11"": 9e-06, ""v12"": 0.163729, ""v13"": 9e-06, ""v14"": 9e-06, ""v15"": 9e-06, ""v16"": 9e-06, ""v17"": 9e-06, ""v18"": 9e-06, ""v19"": 9e-06, ""v20"": 9e-06, ""v21"": 9e-06, ""v22"": 9e-06, ""v23"": 9e-06, ""v24"": 9e-06, ""v25"": 9e-06, ""v26"": 9e-06, ""v27"": 9e-06, ""v28"": 9e-06, ""v29"": 9e-06, ""v30"": 0.443459}",{}
26,41,111,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,4105,1.009144,0.00099979,0.00662343,0.00663202,0.00000859,"{""v0"": 6e-06, ""v1"": 6e-06, ""v2"": 6e-06, ""v3"": 6e-06, ""v4"": 6e-06, ""v5"": 6e-06, ""v6"": 6e-06, ""v7"": 6e-06, ""v8"": 0.500852, ""v9"": 6e-06, ""v10"": 2.5e-05, ""v11"": 6e-06, ""v12"": 6e-06, ""v13"": 6e-06, ""v14"": 6e-06, ""v15"": 6e-06, ""v16"": 6e-06, ""v17"": 6e-06, ""v18"": 6e-06, ""v19"": 6e-06, ""v20"": 6e-06, ""v21"": 6e-06, ""v22"": 6e-06, ""v23"": 6e-06, ""v24"": 6e-06, ""v25"": 6e-06, ""v26"": 6e-06, ""v27"": 6e-06, ""v28"": 6e-06, ""v29"": 6e-06, ""v30"": 6e-06, ""v31"": 6e-06, ""v32"": 6e-06, ""v33"": 6e-06, ""v34"": 6e-06, ""v35"": 6e-06, ""v36"": 6e-06, ""v37"": 0.482589, ""v38"": 0.016315, ""v39"": 6e-06, ""v40"": 6e-06}",{}
27,43,150,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1502,0.664165,0.00099887,0.00202025,0.00202060,0.00000035,"{""v0"": 0.098523, ""v1"": 0.006151, ""v2"": 1.5e-05, ""v3"": 1.5e-05, ""v4"": 1.5e-05, ""v5"": 0.10458, ""v6"": 0.114568, ""v7"": 0.086116, ""v8"": 0.187153, ""v9"": 1.5e-05, ""v10"": 0.135332, ""v11"": 1.5e-05, ""v12"": 0.060244, ""v13"": 1.5e-05, ""v14"": 1.5e-05, ""v15"": 1.5e-05, ""v16"": 1.5e-05, ""v17"": 1.5e-05, ""v18"": 1.5e-05, ""v19"": 1.5e-05, ""v20"": 0.006735, ""v21"": 1.5e-05, ""v22"": 0.066782, ""v23"": 0.005049, ""v24"": 0.086096, ""v25"": 1.5e-05, ""v26"": 1.5e-05, ""v27"": 0.042205, ""v28"": 1.5e-05, ""v29"": 1.5e-05, ""v30"": 1.5e-05, ""v31"": 1.5e-05, ""v32"": 1.5e-05, ""v33"": 1.5e-05, ""v34"": 1.5e-05, ""v35"": 1.5e-05, ""v36"": 1.5e-05, ""v37"": 1.5e-05, ""v38"": 1.5e-05, ""v39"": 1.5e-05, ""v40"": 1.5e-05, ""v41"": 1.5e-05, ""v42"": 1.5e-05}",{}
28,44,144,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,3803,0.678537,0.00099985,0.00674638,0.00674638,-0.00000000,"{""v0"": 6e-06, ""v1"": 6e-06, ""v2"": 0.499875, ""v3"": 6e-06, ""v4"": 6e-06, ""v5"": 6e-06, ""v6"": 6e-06, ""v7"": 6e-06, ""v8"": 0.499875, ""v9"": 6e-06, ""v10"": 6e-06, ""v11"": 6e-06, ""v12"": 6e-06, ""v13"": 6e-06, ""v14"": 6e-06, ""v15"": 6e-06, ""v16"": 6e-06, ""v17"": 6e-06, ""v18"": 6e-06, ""v19"": 6e-06, ""v20"": 6e-06, ""v21"": 6e-06, ""v22"": 6e-06, ""v23"": 6e-06, ""v24"": 6e-06, ""v25"": 6e-06, ""v26"": 6e-06, ""v27"": 6e-06, ""v28"": 6e-06, ""v29"": 6e-06, ""v30"": 6e-06, ""v31"": 6e-06, ""v32"": 6e-06, ""v33"": 6e-06, ""v34"": 6e-06, ""v35"": 6e-06, ""v36"": 6e-06, ""v37"": 6e-06, ""v38"": 6e-06, ""v39"": 6e-06, ""v40"": 6e-06, ""v41"": 6e-06, ""v42"": 6e-06, ""v43"": 6e-06}",{}
