network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,13,46,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,6,0.000793,0.00093156,0.00004314,0.00004395,0.00000081,"{""v0"": 0.074575, ""v1"": 0.075149, ""v2"": 0.075149, ""v3"": 0.075149, ""v4"": 0.345829, ""v5"": 0.012821, ""v6"": 0.075715, ""v7"": 0.012821, ""v8"": 0.012821, ""v9"": 0.075715, ""v10"": 0.012821, ""v11"": 0.075715, ""v12"": 0.075722}",{}
1,14,45,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,122,0.007941,0.00099861,0.00006046,0.00006038,-0.00000008,"{""v0"": 0.000585, ""v1"": 0.306388, ""v2"": 0.029217, ""v3"": 0.029077, ""v4"": 0.305305, ""v5"": 0.000585, ""v6"": 0.000585, ""v7"": 0.000585, ""v8"": 0.000585, ""v9"": 0.020613, ""v10"": 0.304716, ""v11"": 0.000585, ""v12"": 0.000585, ""v13"": 0.000585}",{}
2,13,31,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,75,0.004408,0.00099359,0.00009765,0.00009683,-0.00000082,"{""v0"": 0.261252, ""v1"": 0.001026, ""v2"": 0.020672, ""v3"": 0.001026, ""v4"": 0.001026, ""v5"": 0.001026, ""v6"": 0.261239, ""v7"": 0.001026, ""v8"": 0.261239, ""v9"": 0.001026, ""v10"": 0.001026, ""v11"": 0.166706, ""v12"": 0.021713}",{}
3,12,43,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1114,0.038003,0.00099994,0.00005623,0.00005623,0.00000000,"{""v0"": 7.5e-05, ""v1"": 7.5e-05, ""v2"": 7.5e-05, ""v3"": 7.5e-05, ""v4"": 7.5e-05, ""v5"": 7.5e-05, ""v6"": 0.972338, ""v7"": 0.013495, ""v8"": 7.5e-05, ""v9"": 7.5e-05, ""v10"": 0.013494, ""v11"": 7.5e-05}",{}
4,14,47,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,2055,0.098986,0.00099978,0.00003981,0.00003976,-0.00000005,"{""v0"": 3.5e-05, ""v1"": 3.5e-05, ""v2"": 3.5e-05, ""v3"": 3.5e-05, ""v4"": 3.5e-05, ""v5"": 0.499838, ""v6"": 3.5e-05, ""v7"": 3.5e-05, ""v8"": 3.5e-05, ""v9"": 0.499745, ""v10"": 3.5e-05, ""v11"": 3.5e-05, ""v12"": 3.5e-05, ""v13"": 3.5e-05}",{}
5,15,39,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,147,0.009314,0.00099743,0.00002246,0.00002289,0.00000043,"{""v0"": 0.000454, ""v1"": 0.091543, ""v2"": 0.000454, ""v3"": 0.13199, ""v4"": 0.000454, ""v5"": 0.000454, ""v6"": 0.000454, ""v7"": 0.000454, ""v8"": 0.000454, ""v9"": 0.131968, ""v10"": 0.133845, ""v11"": 0.000454, ""v12"": 0.000454, ""v13"": 0.372211, ""v14"": 0.134363}",{}
6,14,46,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,49,0.004587,0.00098965,0.00005738,0.00005745,0.00000007,"{""v0"": 0.001458, ""v1"": 0.36685, ""v2"": 0.001458, ""v3"": 0.001458, ""v4"": 0.118093, ""v5"": 0.114732, ""v6"": 0.088468, ""v7"": 0.072189, ""v8"": 0.001458, ""v9"": 0.001458, ""v10"": 0.001458, ""v11"": 0.114732, ""v12"": 0.001458, ""v13"": 0.114732}",{}
7,12,31,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,50,0.003038,0.00099729,0.00010033,0.00010072,0.00000039,"{""v0"": 0.046708, ""v1"": 0.220839, ""v2"": 0.001667, ""v3"": 0.001667, ""v4"": 0.246909, ""v5"": 0.220839, ""v6"": 0.001667, ""v7"": 0.001667, ""v8"": 0.001667, ""v9"": 0.001667, ""v10"": 0.172561, ""v11"": 0.082143}",{}
8,14,49,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,216,0.016800,0.00099727,0.00002678,0.00002687,0.00000009,"{""v0"": 0.000331, ""v1"": 0.404479, ""v2"": 0.000331, ""v3"": 0.153077, ""v4"": 0.14434, ""v5"": 0.146608, ""v6"": 0.000331, ""v7"": 0.000331, ""v8"": 0.000331, ""v9"": 0.000331, ""v10"": 0.000331, ""v11"": 0.000331, ""v12"": 0.14852, ""v13"": 0.000331}",{}
9,10,23,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,35,0.001692,0.00098915,0.00002540,0.00002548,0.00000009,"{""v0"": 0.379732, ""v1"": 0.002857, ""v2"": 0.002857, ""v3"": 0.11183, ""v4"": 0.111736, ""v5"": 0.002857, ""v6"": 0.002857, ""v7"": 0.002857, ""v8"": 0.002857, ""v9"": 0.379559}",{}
10,12,38,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1574,0.076977,0.00099998,0.00004562,0.00004562,0.00000000,"{""v0"": 5.3e-05, ""v1"": 5.3e-05, ""v2"": 5.3e-05, ""v3"": 0.499735, ""v4"": 5.3e-05, ""v5"": 5.3e-05, ""v6"": 5.3e-05, ""v7"": 5.3e-05, ""v8"": 5.3e-05, ""v9"": 5.3e-05, ""v10"": 0.499736, ""v11"": 5.3e-05}",{}
11,11,36,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1130,0.047603,0.00099913,0.00003795,0.00003790,-0.00000005,"{""v0"": 8e-05, ""v1"": 8e-05, ""v2"": 8e-05, ""v3"": 8e-05, ""v4"": 8e-05, ""v5"": 8e-05, ""v6"": 8e-05, ""v7"": 8e-05, ""v8"": 0.702822, ""v9"": 8e-05, ""v10"": 0.296454}",{}
12,14,45,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,26,0.002562,0.00098404,0.00004726,0.00004731,0.00000005,"{""v0"": 0.292459, ""v1"": 0.101342, ""v2"": 0.002747, ""v3"": 0.002747, ""v4"": 0.002747, ""v5"": 0.002747, ""v6"": 0.002747, ""v7"": 0.002747, ""v8"": 0.101342, ""v9"": 0.175961, ""v10"": 0.014871, ""v11"": 0.002747, ""v12"": 0.105193, ""v13"": 0.189601}",{}
13,12,35,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1575,0.068647,0.00099954,0.00003870,0.00003858,-0.00000012,"{""v0"": 0.499787, ""v1"": 5.3e-05, ""v2"": 5.3e-05, ""v3"": 5.3e-05, ""v4"": 5.3e-05, ""v5"": 5.3e-05, ""v6"": 0.499684, ""v7"": 5.3e-05, ""v8"": 5.3e-05, ""v9"": 5.3e-05, ""v10"": 5.3e-05, ""v11"": 5.3e-05}",{}
14,14,34,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,23,0.002065,0.00095749,0.00002735,0.00002738,0.00000003,"{""v0"": 0.097607, ""v1"": 0.34315, ""v2"": 0.003106, ""v3"": 0.093207, ""v4"": 0.003106, ""v5"": 0.003106, ""v6"": 0.093207, ""v7"": 0.003106, ""v8"": 0.067137, ""v9"": 0.003106, ""v10"": 0.003106, ""v11"": 0.098583, ""v12"": 0.094642, ""v13"": 0.093833}",{}
15,14,45,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,23,0.002013,0.00097741,0.00004262,0.00004275,0.00000013,"{""v0"": 0.378314, ""v1"": 0.108005, ""v2"": 0.003106, ""v3"": 0.10802, ""v4"": 0.019638, ""v5"": 0.003106, ""v6"": 0.019638, ""v7"": 0.003106, ""v8"": 0.108005, ""v9"": 0.003106, ""v10"": 0.128151, ""v11"": 0.111595, ""v12"": 0.003106, ""v13"": 0.003106}",{}
16,10,27,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,846,0.032396,0.00099902,0.00002692,0.00002698,0.00000006,"{""v0"": 0.000118, ""v1"": 0.000118, ""v2"": 0.70655, ""v3"": 0.000118, ""v4"": 0.000118, ""v5"": 0.000118, ""v6"": 0.292504, ""v7"": 0.000118, ""v8"": 0.000118, ""v9"": 0.000118}",{}
17,12,37,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1437,0.066834,0.00099960,0.00003731,0.00003737,0.00000007,"{""v0"": 5.8e-05, ""v1"": 5.8e-05, ""v2"": 0.699533, ""v3"": 5.8e-05, ""v4"": 0.299887, ""v5"": 5.8e-05, ""v6"": 5.8e-05, ""v7"": 5.8e-05, ""v8"": 5.8e-05, ""v9"": 5.8e-05, ""v10"": 5.8e-05, ""v11"": 5.8e-05}",{}
