network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,7,26,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000101,0.00045400,0.00045965,0.00046444,0.00000479,"{""get_credentials"": 0.142857, ""find_LAN_access_port"": 0.142857, ""spoof_MAC_address"": 0.142857, ""find_WLAN"": 0.142857, ""break_WPA_keys"": 0.142857, ""exploit_software_vulnerability"": 0.142857, ""run_malicous_script"": 0.142857}",{}
1,8,29,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000069,0.00019808,0.01824862,0.01830037,0.00005175,"{""BribeProgrammer"": 0.125, ""ProgrammerObtainsTheCode"": 0.125, ""HireRobberA"": 0.125, ""BugInComputerSystem"": 0.125, ""ExploitBug"": 0.125, ""HireRobberB"": 0.125, ""RobberBreaksIntoSystem"": 0.125, ""UseCodeInProduct"": 0.125}",{}
2,11,43,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1883,0.064305,0.00099997,0.00006527,0.00006529,0.00000002,"{""BreakIntoComputerCentre"": 4.8e-05, ""Unattended Guest"": 0.03844, ""CorruptSysAdmin"": 0.961125, ""ObtainPasswordFileA"": 4.8e-05, ""EncounterGuessablePasswordA"": 4.8e-05, ""LookOverSysAdminShoulderA"": 4.8e-05, ""TrojanHorseSAAccountA"": 4.8e-05, ""ObtainPasswordFileB"": 4.8e-05, ""EncounterGuessablePasswordB"": 4.8e-05, ""LookOverSysAdminShoulderB"": 4.8e-05, ""TrojanHorseSAAccountB"": 4.8e-05}",{}
3,11,11,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000073,0.00000000,0.00001767,0.00002953,0.00001186,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}",{}
4,12,37,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,594,0.040402,0.00099868,0.00003126,0.00003144,0.00000018,"{""Guessing"": 0.00014, ""Dictionary"": 0.22307, ""Bruteforce"": 0.00014, ""GenericReconnaissanceA"": 0.222008, ""EmailTrapExecution"": 0.00014, ""PhoneTrapExecution"": 0.00014, ""GenericReconnaissanceB"": 0.55366, ""PayloadCrafting"": 0.00014, ""EmailFileExecution"": 0.00014, ""PhysicalReconnaissance"": 0.00014, ""KeyloggerLocalInstallation"": 0.00014, ""PasswordIntercept"": 0.00014}",{}
5,18,18,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000291,0.00000000,0.00129037,0.00135032,0.00005995,"{""10"": 0.055556, ""11"": 0.055556, ""12"": 0.055556, ""13"": 0.055556, ""14"": 0.055556, ""15"": 0.055556, ""16"": 0.055556, ""17"": 0.055556, ""18"": 0.055556, ""19"": 0.055556, ""20"": 0.055556, ""3"": 0.055556, ""21"": 0.055556, ""22"": 0.055556, ""23"": 0.055556, ""24"": 0.055556, ""25"": 0.055556, ""26"": 0.055556}",{}
6,45,45,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.006220,0.00000000,0.23471612,0.23485583,0.00013970,"{""X1"": 0.022222, ""X2"": 0.022222, ""X3"": 0.022222, ""X4"": 0.022222, ""X5"": 0.022222, ""X6"": 0.022222, ""X7"": 0.022222, ""X8"": 0.022222, ""X9"": 0.022222, ""X10"": 0.022222, ""X11"": 0.022222, ""X12"": 0.022222, ""X13"": 0.022222, ""X14"": 0.022222, ""X15"": 0.022222, ""X16"": 0.022222, ""X17"": 0.022222, ""X18"": 0.022222, ""X19"": 0.022222, ""X20"": 0.022222, ""X21"": 0.022222, ""X22"": 0.022222, ""X23"": 0.022222, ""X24"": 0.022222, ""X25"": 0.022222, ""X26"": 0.022222, ""X27"": 0.022222, ""X28"": 0.022222, ""X29"": 0.022222, ""X30"": 0.022222, ""X31"": 0.022222, ""X32"": 0.022222, ""X33"": 0.022222, ""X34"": 0.022222, ""X35"": 0.022222, ""X36"": 0.022222, ""X37"": 0.022222, ""X38"": 0.022222, ""X44"": 0.022222, ""X45"": 0.022222, ""X39"": 0.022222, ""X40"": 0.022222, ""X41"": 0.022222, ""X42"": 0.022222, ""X43"": 0.022222}",{}
7,25,25,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.001203,0.00000000,0.00033403,0.00046051,0.00012647,"{""Signal_and_communication"": 0.04, ""Frogs__switches_and_track_appliances"": 0.04, ""Other_way_and_structure"": 0.04, ""Rail__joint_bar_and_rail_anchoring"": 0.04, ""Roadbed"": 0.04, ""Track_geometry"": 0.04, ""Brakes__use_of"": 0.04, ""General_switching_rules"": 0.04, ""Loading_procedures"": 0.04, ""Miscellaneous"": 0.04, ""Speed"": 0.04, ""Switches__use_of"": 0.04, ""Train_handling/train_makeup"": 0.04, ""Axles_and_journal_bearings"": 0.04, ""Body"": 0.04, ""Brakes"": 0.04, ""Coupler_and_draft_system"": 0.04, ""General_mechanical_and_electrical_failures"": 0.04, ""Locomotive"": 0.04, ""Truck_component"": 0.04, ""Wheels"": 0.04, ""Environmental_conditions"": 0.04, ""Loading_procedures_misc"": 0.04, ""Other_miscellaneous"": 0.04, ""Unusual_operating_situations"": 0.04}",{}
8,9,9,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000106,0.00000000,0.00125904,0.00117952,-0.00007952,"{""Truck_componenets"": 0.111111, ""Brakes__use_of"": 0.111111, ""Flagging__fixed__hand_and_radio_signals"": 0.111111, ""General_switching_rules"": 0.111111, ""Main-track_authority"": 0.111111, ""Miscellaneous"": 0.111111, ""Speed"": 0.111111, ""Train_handling/train_makeup"": 0.111111, ""Unusual_operating_situations"": 0.111111}",{}
9,27,27,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000484,0.00000000,0.00549699,0.00554433,0.00004734,"{""B1"": 0.037037, ""B2"": 0.037037, ""B4"": 0.037037, ""B5"": 0.037037, ""B10"": 0.037037, ""B7"": 0.037037, ""B8"": 0.037037, ""B3"": 0.037037, ""B9"": 0.037037, ""B16"": 0.037037, ""B17"": 0.037037, ""B18"": 0.037037, ""B19"": 0.037037, ""B26"": 0.037037, ""B27"": 0.037037, ""B14"": 0.037037, ""B15"": 0.037037, ""B11"": 0.037037, ""B12"": 0.037037, ""B13"": 0.037037, ""B6"": 0.037037, ""B25"": 0.037037, ""B21"": 0.037037, ""B22"": 0.037037, ""B23"": 0.037037, ""B20"": 0.037037, ""B24"": 0.037037}",{}
