network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,7,26,1.0,greedy_probability,index,stochastic,10,True,regret,921,0.290066,0.00099772,0.31312696,0.36014808,0.04702112,"{""get_credentials"": 0.368967, ""find_LAN_access_port"": 0.149236, ""spoof_MAC_address"": 0.000305, ""find_WLAN"": 0.000155, ""break_WPA_keys"": 0.000155, ""exploit_software_vulnerability"": 0.003383, ""run_malicous_script"": 0.477798}","{""get_credentials"": [0.366522, 0.342624, 0.304503, 0.245935, 0.181594], ""find_LAN_access_port"": [0.47334, 0.450408, 0.399369], ""spoof_MAC_address"": [0.575803, 0.575774, 0.575722, 0.575622], ""find_WLAN"": [0.575691, 0.575641, 0.575521], ""break_WPA_keys"": [0.575866, 0.575811, 0.575688, 0.575453], ""exploit_software_vulnerability"": [0.576024, 0.575632, 0.574872, 0.573047], ""run_malicous_script"": [0.578305, 0.529742, 0.434172]}"
1,8,29,1.0,greedy_probability,index,stochastic,10,True,regret,571,0.138701,0.00099885,0.35564064,0.38594296,0.03030232,"{""BribeProgrammer"": 0.077985, ""ProgrammerObtainsTheCode"": 0.001877, ""HireRobberA"": 0.000219, ""BugInComputerSystem"": 0.000219, ""ExploitBug"": 0.000219, ""HireRobberB"": 0.000219, ""RobberBreaksIntoSystem"": 0.000219, ""UseCodeInProduct"": 0.919044}","{""BribeProgrammer"": [0.352908, 0.347802, 0.337373, 0.318983], ""ProgrammerObtainsTheCode"": [0.385855, 0.385743, 0.385548, 0.385161], ""HireRobberA"": [0.386356, 0.386336, 0.38629], ""BugInComputerSystem"": [0.386466, 0.38645, 0.38642, 0.386359], ""ExploitBug"": [0.386567, 0.386547, 0.386507], ""HireRobberB"": [0.386436, 0.386415, 0.386368], ""RobberBreaksIntoSystem"": [0.386557, 0.386521, 0.386434], ""UseCodeInProduct"": [0.386667, 0.371314, 0.343943, 0.298105, 0.217968]}"
2,11,43,1.0,greedy_probability,index,stochastic,10,True,regret,830,0.126450,0.00099924,0.36638287,0.99986934,0.63348647,"{""BreakIntoComputerCentre"": 0.00011, ""Unattended Guest"": 0.000206, ""CorruptSysAdmin"": 0.998808, ""ObtainPasswordFileA"": 0.00011, ""EncounterGuessablePasswordA"": 0.00011, ""LookOverSysAdminShoulderA"": 0.00011, ""TrojanHorseSAAccountA"": 0.00011, ""ObtainPasswordFileB"": 0.00011, ""EncounterGuessablePasswordB"": 0.00011, ""LookOverSysAdminShoulderB"": 0.00011, ""TrojanHorseSAAccountB"": 0.00011}","{""BreakIntoComputerCentre"": [0.999841, 0.999793, 0.999696], ""Unattended Guest"": [0.999765, 0.999732, 0.999662], ""CorruptSysAdmin"": [0.354043, 0.331378, 0.298563], ""ObtainPasswordFileA"": [0.999731, 0.999695, 0.999634, 0.999512], ""EncounterGuessablePasswordA"": [0.99988, 0.999865, 0.999839, 0.999789, 0.999704], ""LookOverSysAdminShoulderA"": [0.99987, 0.999846, 0.999801, 0.999712], ""TrojanHorseSAAccountA"": [0.99986, 0.999829, 0.999772, 0.999647], ""ObtainPasswordFileB"": [0.999731, 0.999695, 0.999634, 0.999512], ""EncounterGuessablePasswordB"": [0.99988, 0.999865, 0.999839, 0.999789, 0.999704], ""LookOverSysAdminShoulderB"": [0.99987, 0.999846, 0.999801, 0.999712], ""TrojanHorseSAAccountB"": [0.99986, 0.999829, 0.999772, 0.999647]}"
3,11,11,1.0,greedy_probability,index,stochastic,10,True,regret,1,0.000460,0.00000000,0.00022508,0.00019225,-0.00003284,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [7e-06], ""User_login"": [0.001089], ""Password_attack"": [0.001064], ""Unauthorized_login"": [0.001064], ""Packet_spoofing"": [0.066687], ""Sync_flood"": [0.066687], ""SQL_injection"": [0.000178], ""Insert_malicious_scripts"": [0.077542], ""Capture_packets"": [0.0], ""Analyze_packets"": [0.000121], ""Modify_sensitive_data"": [0.027011]}"
4,12,37,1.0,greedy_probability,index,stochastic,10,True,regret,1118,0.534393,0.00099972,0.31131084,0.96722033,0.65590949,"{""Guessing"": 7.5e-05, ""Dictionary"": 0.978243, ""Bruteforce"": 7.5e-05, ""GenericReconnaissanceA"": 0.004789, ""EmailTrapExecution"": 7.5e-05, ""PhoneTrapExecution"": 7.5e-05, ""GenericReconnaissanceB"": 0.016298, ""PayloadCrafting"": 7.5e-05, ""EmailFileExecution"": 7.5e-05, ""PhysicalReconnaissance"": 7.5e-05, ""KeyloggerLocalInstallation"": 7.5e-05, ""PasswordIntercept"": 7.5e-05}","{""Guessing"": [0.999767, 0.999586, 0.999172, 0.99814], ""Dictionary"": [0.319701, 0.271956, 0.224322], ""Bruteforce"": [0.999468, 0.999069, 0.99814, 0.996287, 0.992601], ""GenericReconnaissanceA"": [0.991642, 0.990565, 0.988523], ""EmailTrapExecution"": [0.999743, 0.999562, 0.999069], ""PhoneTrapExecution"": [0.999702, 0.999427], ""GenericReconnaissanceB"": [0.966075, 0.961717, 0.953541], ""PayloadCrafting"": [0.99945, 0.999378, 0.999227], ""EmailFileExecution"": [0.999672, 0.999598, 0.99942], ""PhysicalReconnaissance"": [0.99937, 0.999303, 0.999179], ""KeyloggerLocalInstallation"": [0.999625, 0.999506, 0.999276], ""PasswordIntercept"": [0.999864, 0.999804]}"
5,18,18,1.0,greedy_probability,index,stochastic,10,True,regret,1,0.002572,0.00000000,0.00983358,0.01021797,0.00038439,"{""10"": 0.055556, ""11"": 0.055556, ""12"": 0.055556, ""13"": 0.055556, ""14"": 0.055556, ""15"": 0.055556, ""16"": 0.055556, ""17"": 0.055556, ""18"": 0.055556, ""19"": 0.055556, ""20"": 0.055556, ""3"": 0.055556, ""21"": 0.055556, ""22"": 0.055556, ""23"": 0.055556, ""24"": 0.055556, ""25"": 0.055556, ""26"": 0.055556}","{""10"": [0.028726], ""11"": [0.197164], ""12"": [0.693072], ""13"": [0.004704], ""14"": [0.004704], ""15"": [0.004704], ""16"": [0.004704], ""17"": [0.004704], ""18"": [0.004704], ""19"": [0.004704], ""20"": [0.004704], ""3"": [0.070152], ""21"": [0.022446], ""22"": [0.398831], ""23"": [0.022446], ""24"": [0.398831], ""25"": [0.012446], ""26"": [0.012446]}"
6,45,45,1.0,greedy_probability,index,stochastic,10,True,regret,983,22.066545,0.00099919,0.32327650,0.87112863,0.54785213,"{""X1"": 2.3e-05, ""X2"": 2.3e-05, ""X3"": 0.005359, ""X4"": 2.3e-05, ""X5"": 2.3e-05, ""X6"": 0.001416, ""X7"": 0.00035, ""X8"": 0.990484, ""X9"": 2.3e-05, ""X10"": 2.3e-05, ""X11"": 2.3e-05, ""X12"": 2.3e-05, ""X13"": 2.3e-05, ""X14"": 2.3e-05, ""X15"": 5.4e-05, ""X16"": 2.3e-05, ""X17"": 2.3e-05, ""X18"": 2.3e-05, ""X19"": 2.3e-05, ""X20"": 2.3e-05, ""X21"": 2.3e-05, ""X22"": 2.6e-05, ""X23"": 2.3e-05, ""X24"": 2.3e-05, ""X25"": 6.1e-05, ""X26"": 6.1e-05, ""X27"": 2.3e-05, ""X28"": 5.4e-05, ""X29"": 0.000149, ""X30"": 2.3e-05, ""X31"": 0.000278, ""X32"": 0.000677, ""X33"": 0.000149, ""X34"": 2.3e-05, ""X35"": 0.000149, ""X36"": 2.3e-05, ""X37"": 2.3e-05, ""X38"": 5.4e-05, ""X44"": 2.3e-05, ""X45"": 2.3e-05, ""X39"": 2.3e-05, ""X40"": 2.3e-05, ""X41"": 2.3e-05, ""X42"": 2.3e-05, ""X43"": 2.3e-05}","{""X1"": [0.999045], ""X2"": [0.999432], ""X3"": [0.935739], ""X4"": [0.999368], ""X5"": [0.999025], ""X6"": [0.982112], ""X7"": [0.995274], ""X8"": [0.045203], ""X9"": [0.999353], ""X10"": [0.999219], ""X11"": [0.999253], ""X12"": [0.999271], ""X13"": [0.99949], ""X14"": [0.999467], ""X15"": [0.998828], ""X16"": [0.99937], ""X17"": [0.999426], ""X18"": [0.999491], ""X19"": [0.999467], ""X20"": [0.999225], ""X21"": [0.999445], ""X22"": [0.999434], ""X23"": [0.999436], ""X24"": [0.99909], ""X25"": [0.999041], ""X26"": [0.999096], ""X27"": [0.999225], ""X28"": [0.999094], ""X29"": [0.99795], ""X30"": [0.999025], ""X31"": [0.996218], ""X32"": [0.991345], ""X33"": [0.997847], ""X34"": [0.999343], ""X35"": [0.997892], ""X36"": [0.999392], ""X37"": [0.999225], ""X38"": [0.999109], ""X44"": [0.999281], ""X45"": [0.999323], ""X39"": [0.999343], ""X40"": [0.999271], ""X41"": [0.999494], ""X42"": [0.99937], ""X43"": [0.999426]}"
7,25,25,1.0,greedy_probability,index,stochastic,10,True,regret,1,0.011613,0.00000000,0.00109496,0.00096452,-0.00013043,"{""Signal_and_communication"": 0.04, ""Frogs__switches_and_track_appliances"": 0.04, ""Other_way_and_structure"": 0.04, ""Rail__joint_bar_and_rail_anchoring"": 0.04, ""Roadbed"": 0.04, ""Track_geometry"": 0.04, ""Brakes__use_of"": 0.04, ""General_switching_rules"": 0.04, ""Loading_procedures"": 0.04, ""Miscellaneous"": 0.04, ""Speed"": 0.04, ""Switches__use_of"": 0.04, ""Train_handling/train_makeup"": 0.04, ""Axles_and_journal_bearings"": 0.04, ""Body"": 0.04, ""Brakes"": 0.04, ""Coupler_and_draft_system"": 0.04, ""General_mechanical_and_electrical_failures"": 0.04, ""Locomotive"": 0.04, ""Truck_component"": 0.04, ""Wheels"": 0.04, ""Environmental_conditions"": 0.04, ""Loading_procedures_misc"": 0.04, ""Other_miscellaneous"": 0.04, ""Unusual_operating_situations"": 0.04}","{""Signal_and_communication"": [0.000245], ""Frogs__switches_and_track_appliances"": [0.000979], ""Other_way_and_structure"": [0.000245], ""Rail__joint_bar_and_rail_anchoring"": [0.004877], ""Roadbed"": [0.001468], ""Track_geometry"": [0.003419], ""Brakes__use_of"": [2.5e-05], ""General_switching_rules"": [0.000735], ""Loading_procedures"": [2.5e-05], ""Miscellaneous"": [0.000735], ""Speed"": [0.00049], ""Switches__use_of"": [0.000979], ""Train_handling/train_makeup"": [0.002932], ""Axles_and_journal_bearings"": [0.0022], ""Body"": [0.000245], ""Brakes"": [0.001468], ""Coupler_and_draft_system"": [0.000245], ""General_mechanical_and_electrical_failures"": [2.5e-05], ""Locomotive"": [0.001712], ""Truck_component"": [0.000979], ""Wheels"": [0.001956], ""Environmental_conditions"": [0.001712], ""Loading_procedures_misc"": [0.000979], ""Other_miscellaneous"": [0.00049], ""Unusual_operating_situations"": [0.001224]}"
8,9,9,1.0,greedy_probability,index,stochastic,10,True,regret,1,0.000775,0.00000000,0.00678705,0.00620365,-0.00058340,"{""Truck_componenets"": 0.111111, ""Brakes__use_of"": 0.111111, ""Flagging__fixed__hand_and_radio_signals"": 0.111111, ""General_switching_rules"": 0.111111, ""Main-track_authority"": 0.111111, ""Miscellaneous"": 0.111111, ""Speed"": 0.111111, ""Train_handling/train_makeup"": 0.111111, ""Unusual_operating_situations"": 0.111111}","{""Truck_componenets"": [0.003139], ""Brakes__use_of"": [0.009273], ""Flagging__fixed__hand_and_radio_signals"": [0.006257], ""General_switching_rules"": [0.003139], ""Main-track_authority"": [0.012603], ""Miscellaneous"": [0.006257], ""Speed"": [0.024892], ""Train_handling/train_makeup"": [0.003139], ""Unusual_operating_situations"": [0.003139]}"
9,27,27,1.0,greedy_probability,index,stochastic,10,True,regret,1,0.004506,0.00000000,0.01227374,0.01304375,0.00077001,"{""B1"": 0.037037, ""B2"": 0.037037, ""B4"": 0.037037, ""B5"": 0.037037, ""B10"": 0.037037, ""B7"": 0.037037, ""B8"": 0.037037, ""B3"": 0.037037, ""B9"": 0.037037, ""B16"": 0.037037, ""B17"": 0.037037, ""B18"": 0.037037, ""B19"": 0.037037, ""B26"": 0.037037, ""B27"": 0.037037, ""B14"": 0.037037, ""B15"": 0.037037, ""B11"": 0.037037, ""B12"": 0.037037, ""B13"": 0.037037, ""B6"": 0.037037, ""B25"": 0.037037, ""B21"": 0.037037, ""B22"": 0.037037, ""B23"": 0.037037, ""B20"": 0.037037, ""B24"": 0.037037}","{""B1"": [0.000794], ""B2"": [0.000794], ""B4"": [0.058865], ""B5"": [0.000794], ""B10"": [0.000265], ""B7"": [0.000115], ""B8"": [3.8e-05], ""B3"": [5.1e-05], ""B9"": [0.201644], ""B16"": [0.077052], ""B17"": [0.403375], ""B18"": [0.099734], ""B19"": [0.068163], ""B26"": [0.027827], ""B27"": [0.019999], ""B14"": [0.079079], ""B15"": [0.093679], ""B11"": [2.7e-05], ""B12"": [2.7e-05], ""B13"": [2.7e-05], ""B6"": [0.000794], ""B25"": [0.013336], ""B21"": [0.000265], ""B22"": [0.05391], ""B23"": [0.068163], ""B20"": [0.067932], ""B24"": [0.093679]}"
