network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,7,26,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,2,0.000981,0.00053938,0.00011793,0.00011833,0.00000040,"{""get_credentials"": 0.202865, ""find_LAN_access_port"": 0.17336, ""spoof_MAC_address"": 0.128493, ""find_WLAN"": 0.071429, ""break_WPA_keys"": 0.071429, ""exploit_software_vulnerability"": 0.179064, ""run_malicous_script"": 0.17336}",{}
1,8,29,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,121,0.030802,0.00099819,0.00008588,0.00008681,0.00000093,"{""BribeProgrammer"": 0.380487, ""ProgrammerObtainsTheCode"": 0.233932, ""HireRobberA"": 0.001033, ""BugInComputerSystem"": 0.001033, ""ExploitBug"": 0.001033, ""HireRobberB"": 0.001033, ""RobberBreaksIntoSystem"": 0.001033, ""UseCodeInProduct"": 0.380415}",{}
2,11,43,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,3196,0.500896,0.00099991,0.00004515,0.00004520,0.00000005,"{""BreakIntoComputerCentre"": 2.8e-05, ""Unattended Guest"": 2.8e-05, ""CorruptSysAdmin"": 0.999716, ""ObtainPasswordFileA"": 2.8e-05, ""EncounterGuessablePasswordA"": 2.8e-05, ""LookOverSysAdminShoulderA"": 2.8e-05, ""TrojanHorseSAAccountA"": 2.8e-05, ""ObtainPasswordFileB"": 2.8e-05, ""EncounterGuessablePasswordB"": 2.8e-05, ""LookOverSysAdminShoulderB"": 2.8e-05, ""TrojanHorseSAAccountB"": 2.8e-05}",{}
3,11,11,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,1,0.000437,0.00000000,0.00001767,0.00002953,0.00001186,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}",{}
4,12,37,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,487,0.244315,0.00099855,0.00003082,0.00003101,0.00000019,"{""Guessing"": 0.000171, ""Dictionary"": 0.306558, ""Bruteforce"": 0.000171, ""GenericReconnaissanceA"": 0.303294, ""EmailTrapExecution"": 0.000171, ""PhoneTrapExecution"": 0.000171, ""GenericReconnaissanceB"": 0.388607, ""PayloadCrafting"": 0.000171, ""EmailFileExecution"": 0.000171, ""PhysicalReconnaissance"": 0.000171, ""KeyloggerLocalInstallation"": 0.000171, ""PasswordIntercept"": 0.000171}",{}
5,18,18,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,1,0.002651,0.00000000,0.00129037,0.00135032,0.00005995,"{""10"": 0.055556, ""11"": 0.055556, ""12"": 0.055556, ""13"": 0.055556, ""14"": 0.055556, ""15"": 0.055556, ""16"": 0.055556, ""17"": 0.055556, ""18"": 0.055556, ""19"": 0.055556, ""20"": 0.055556, ""3"": 0.055556, ""21"": 0.055556, ""22"": 0.055556, ""23"": 0.055556, ""24"": 0.055556, ""25"": 0.055556, ""26"": 0.055556}",{}
6,45,45,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,1589,36.056888,0.00099948,0.00007959,0.00007880,-0.00000079,"{""X1"": 1.4e-05, ""X2"": 1.4e-05, ""X3"": 0.230358, ""X4"": 1.4e-05, ""X5"": 1.4e-05, ""X6"": 0.003444, ""X7"": 0.00277, ""X8"": 0.756994, ""X9"": 1.4e-05, ""X10"": 1.4e-05, ""X11"": 1.4e-05, ""X12"": 1.4e-05, ""X13"": 1.4e-05, ""X14"": 1.4e-05, ""X15"": 1.4e-05, ""X16"": 1.4e-05, ""X17"": 1.4e-05, ""X18"": 1.4e-05, ""X19"": 1.4e-05, ""X20"": 1.4e-05, ""X21"": 1.4e-05, ""X22"": 1.4e-05, ""X23"": 1.4e-05, ""X24"": 1.4e-05, ""X25"": 1.4e-05, ""X26"": 1.4e-05, ""X27"": 1.4e-05, ""X28"": 1.4e-05, ""X29"": 8.7e-05, ""X30"": 1.4e-05, ""X31"": 0.002691, ""X32"": 0.00298, ""X33"": 8.7e-05, ""X34"": 1.4e-05, ""X35"": 8.7e-05, ""X36"": 1.4e-05, ""X37"": 1.4e-05, ""X38"": 1.4e-05, ""X44"": 1.4e-05, ""X45"": 1.4e-05, ""X39"": 1.4e-05, ""X40"": 1.4e-05, ""X41"": 1.4e-05, ""X42"": 1.4e-05, ""X43"": 1.4e-05}",{}
7,25,25,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,1,0.011496,0.00000000,0.00033403,0.00046051,0.00012647,"{""Signal_and_communication"": 0.04, ""Frogs__switches_and_track_appliances"": 0.04, ""Other_way_and_structure"": 0.04, ""Rail__joint_bar_and_rail_anchoring"": 0.04, ""Roadbed"": 0.04, ""Track_geometry"": 0.04, ""Brakes__use_of"": 0.04, ""General_switching_rules"": 0.04, ""Loading_procedures"": 0.04, ""Miscellaneous"": 0.04, ""Speed"": 0.04, ""Switches__use_of"": 0.04, ""Train_handling/train_makeup"": 0.04, ""Axles_and_journal_bearings"": 0.04, ""Body"": 0.04, ""Brakes"": 0.04, ""Coupler_and_draft_system"": 0.04, ""General_mechanical_and_electrical_failures"": 0.04, ""Locomotive"": 0.04, ""Truck_component"": 0.04, ""Wheels"": 0.04, ""Environmental_conditions"": 0.04, ""Loading_procedures_misc"": 0.04, ""Other_miscellaneous"": 0.04, ""Unusual_operating_situations"": 0.04}",{}
8,9,9,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,1,0.000772,0.00000000,0.00125904,0.00117952,-0.00007952,"{""Truck_componenets"": 0.111111, ""Brakes__use_of"": 0.111111, ""Flagging__fixed__hand_and_radio_signals"": 0.111111, ""General_switching_rules"": 0.111111, ""Main-track_authority"": 0.111111, ""Miscellaneous"": 0.111111, ""Speed"": 0.111111, ""Train_handling/train_makeup"": 0.111111, ""Unusual_operating_situations"": 0.111111}",{}
9,27,27,10.0,greedy_probability,greedy_probability,stochastic,10,True,regret,1,0.004675,0.00000000,0.00549699,0.00554433,0.00004734,"{""B1"": 0.037037, ""B2"": 0.037037, ""B4"": 0.037037, ""B5"": 0.037037, ""B10"": 0.037037, ""B7"": 0.037037, ""B8"": 0.037037, ""B3"": 0.037037, ""B9"": 0.037037, ""B16"": 0.037037, ""B17"": 0.037037, ""B18"": 0.037037, ""B19"": 0.037037, ""B26"": 0.037037, ""B27"": 0.037037, ""B14"": 0.037037, ""B15"": 0.037037, ""B11"": 0.037037, ""B12"": 0.037037, ""B13"": 0.037037, ""B6"": 0.037037, ""B25"": 0.037037, ""B21"": 0.037037, ""B22"": 0.037037, ""B23"": 0.037037, ""B20"": 0.037037, ""B24"": 0.037037}",{}
