network_id,structure,n_controls,total_Q,depth,policy,exact_value,expected_reward,std_error,ci95_halfwidth,win_probability,mean_attempts,mean_attempts_given_win,mean_time,optimal_value,absolute_gap,relative_loss,num_samples,seed
0,"Ser(Ser(Par(v0,v1),v2),Ser(Ser(v3,Ser(v4,Par(v5,Par(v6,v7)))),Ser(Par(v8,Par(v9,v10)),Ser(v11,v12))))",13,46,6,index_policy,0.039180,0.039412,0.000296,0.000580,0.541150,8.359950,10.150790,2.269866,0.039180,-0.000000,-0.000000,20000,173879092
0,"Ser(Ser(Par(v0,v1),v2),Ser(Ser(v3,Ser(v4,Par(v5,Par(v6,v7)))),Ser(Par(v8,Par(v9,v10)),Ser(v11,v12))))",13,46,6,greedy_probability,0.030049,0.030351,0.000228,0.000447,0.542650,8.221250,9.974477,2.466341,0.039180,0.009131,0.233057,20000,173879092
0,"Ser(Ser(Par(v0,v1),v2),Ser(Ser(v3,Ser(v4,Par(v5,Par(v6,v7)))),Ser(Par(v8,Par(v9,v10)),Ser(v11,v12))))",13,46,6,greedy_discounted,0.038462,0.038729,0.000293,0.000574,0.541150,8.266450,10.023469,2.285331,0.039180,0.000717,0.018307,20000,173879092
0,"Ser(Ser(Par(v0,v1),v2),Ser(Ser(v3,Ser(v4,Par(v5,Par(v6,v7)))),Ser(Par(v8,Par(v9,v10)),Ser(v11,v12))))",13,46,6,uncoupled_index,0.039180,0.039412,0.000296,0.000580,0.541150,8.359950,10.150790,2.269866,0.039180,-0.000000,-0.000000,20000,173879092
0,"Ser(Ser(Par(v0,v1),v2),Ser(Ser(v3,Ser(v4,Par(v5,Par(v6,v7)))),Ser(Par(v8,Par(v9,v10)),Ser(v11,v12))))",13,46,6,single_route,0.037979,0.038389,0.000300,0.000588,0.511800,8.037150,9.996190,2.165960,0.039180,0.001200,0.030640,20000,173879092
0,"Ser(Ser(Par(v0,v1),v2),Ser(Ser(v3,Ser(v4,Par(v5,Par(v6,v7)))),Ser(Par(v8,Par(v9,v10)),Ser(v11,v12))))",13,46,6,fixed_priority,0.017361,0.017312,0.000134,0.000263,0.537350,8.476000,10.390900,2.826882,0.039180,0.021819,0.556901,20000,173879092
0,"Ser(Ser(Par(v0,v1),v2),Ser(Ser(v3,Ser(v4,Par(v5,Par(v6,v7)))),Ser(Par(v8,Par(v9,v10)),Ser(v11,v12))))",13,46,6,random_frontier,,0.023354,0.000196,0.000384,0.539300,8.611250,10.586223,2.652942,0.039180,0.015826,0.403933,20000,173879092
1,"Ser(Par(v0,Par(v1,Ser(v2,v3))),Ser(Par(v4,Par(Ser(v5,v6),Ser(v7,v8))),Par(v9,Par(Par(v10,v11),Ser(v12,v13)))))",14,45,5,index_policy,0.518138,0.519361,0.000828,0.001622,0.990600,4.136400,4.099182,0.682637,0.518138,0.000000,0.000000,20000,1739178872
1,"Ser(Par(v0,Par(v1,Ser(v2,v3))),Ser(Par(v4,Par(Ser(v5,v6),Ser(v7,v8))),Par(v9,Par(Par(v10,v11),Ser(v12,v13)))))",14,45,5,greedy_probability,0.142363,0.142420,0.000273,0.000535,0.990750,5.869300,5.841282,1.991304,0.518138,0.375776,0.725242,20000,1739178872
1,"Ser(Par(v0,Par(v1,Ser(v2,v3))),Ser(Par(v4,Par(Ser(v5,v6),Ser(v7,v8))),Par(v9,Par(Par(v10,v11),Ser(v12,v13)))))",14,45,5,greedy_discounted,0.505388,0.507289,0.000834,0.001635,0.992200,4.035750,4.004636,0.715930,0.518138,0.012751,0.024609,20000,1739178872
1,"Ser(Par(v0,Par(v1,Ser(v2,v3))),Ser(Par(v4,Par(Ser(v5,v6),Ser(v7,v8))),Par(v9,Par(Par(v10,v11),Ser(v12,v13)))))",14,45,5,uncoupled_index,0.516139,0.517294,0.000845,0.001657,0.990250,4.172500,4.134713,0.687492,0.518138,0.001999,0.003859,20000,1739178872
1,"Ser(Par(v0,Par(v1,Ser(v2,v3))),Ser(Par(v4,Par(Ser(v5,v6),Ser(v7,v8))),Par(v9,Par(Par(v10,v11),Ser(v12,v13)))))",14,45,5,single_route,0.497451,0.499082,0.001018,0.001995,0.948850,3.918200,3.817885,0.678436,0.518138,0.020687,0.039926,20000,1739178872
1,"Ser(Par(v0,Par(v1,Ser(v2,v3))),Ser(Par(v4,Par(Ser(v5,v6),Ser(v7,v8))),Par(v9,Par(Par(v10,v11),Ser(v12,v13)))))",14,45,5,fixed_priority,0.484089,0.484995,0.000821,0.001610,0.991300,4.110900,4.078029,0.759611,0.518138,0.034050,0.065715,20000,1739178872
1,"Ser(Par(v0,Par(v1,Ser(v2,v3))),Ser(Par(v4,Par(Ser(v5,v6),Ser(v7,v8))),Par(v9,Par(Par(v10,v11),Ser(v12,v13)))))",14,45,5,random_frontier,,0.267872,0.001117,0.002190,0.990250,6.133900,6.110629,1.511541,0.518138,0.250267,0.483011,20000,1739178872
2,"Ser(Par(Par(Par(v0,v1),v2),Ser(v3,Ser(v4,v5))),Par(Ser(v6,v7),Ser(Par(v8,Ser(v9,v10)),Par(v11,v12))))",13,31,5,index_policy,0.274414,0.273762,0.001279,0.002506,0.818950,4.793800,4.346236,1.477525,0.274414,0.000000,0.000000,20000,938204377
2,"Ser(Par(Par(Par(v0,v1),v2),Ser(v3,Ser(v4,v5))),Par(Ser(v6,v7),Ser(Par(v8,Ser(v9,v10)),Par(v11,v12))))",13,31,5,greedy_probability,0.082021,0.081886,0.000423,0.000829,0.821950,6.550850,6.320944,2.616431,0.274414,0.192393,0.701105,20000,938204377
2,"Ser(Par(Par(Par(v0,v1),v2),Ser(v3,Ser(v4,v5))),Par(Ser(v6,v7),Ser(Par(v8,Ser(v9,v10)),Par(v11,v12))))",13,31,5,greedy_discounted,0.164837,0.164825,0.000802,0.001571,0.821900,5.536250,5.291945,1.897856,0.274414,0.109577,0.399314,20000,938204377
2,"Ser(Par(Par(Par(v0,v1),v2),Ser(v3,Ser(v4,v5))),Par(Ser(v6,v7),Ser(Par(v8,Ser(v9,v10)),Par(v11,v12))))",13,31,5,uncoupled_index,0.179797,0.179517,0.000787,0.001543,0.822400,5.539250,5.260275,1.779168,0.274414,0.094617,0.344796,20000,938204377
2,"Ser(Par(Par(Par(v0,v1),v2),Ser(v3,Ser(v4,v5))),Par(Ser(v6,v7),Ser(Par(v8,Ser(v9,v10)),Par(v11,v12))))",13,31,5,single_route,0.227227,0.227219,0.001472,0.002886,0.546700,3.223600,3.280135,0.856301,0.274414,0.047187,0.171955,20000,938204377
2,"Ser(Par(Par(Par(v0,v1),v2),Ser(v3,Ser(v4,v5))),Par(Ser(v6,v7),Ser(Par(v8,Ser(v9,v10)),Par(v11,v12))))",13,31,5,fixed_priority,0.219187,0.219852,0.001031,0.002021,0.826500,5.566950,5.138052,1.704027,0.274414,0.055227,0.201254,20000,938204377
2,"Ser(Par(Par(Par(v0,v1),v2),Ser(v3,Ser(v4,v5))),Par(Ser(v6,v7),Ser(Par(v8,Ser(v9,v10)),Par(v11,v12))))",13,31,5,random_frontier,,0.114829,0.000766,0.001502,0.821700,6.548000,6.270354,2.420988,0.274414,0.159585,0.581549,20000,938204377
3,"Par(Ser(v0,Par(Par(v1,v2),Par(v3,v4))),Par(Par(v5,v6),Ser(Par(v7,Par(v8,v9)),Par(v10,v11))))",12,43,5,index_policy,0.701727,0.702295,0.000562,0.001101,1.000000,1.146400,1.146400,0.362920,0.701727,-0.000000,-0.000000,20000,407295012
3,"Par(Ser(v0,Par(Par(v1,v2),Par(v3,v4))),Par(Par(v5,v6),Ser(Par(v7,Par(v8,v9)),Par(v10,v11))))",12,43,5,greedy_probability,0.673140,0.673855,0.001082,0.002121,1.000000,1.256250,1.256250,0.440452,0.701727,0.028588,0.040739,20000,407295012
3,"Par(Ser(v0,Par(Par(v1,v2),Par(v3,v4))),Par(Par(v5,v6),Ser(Par(v7,Par(v8,v9)),Par(v10,v11))))",12,43,5,greedy_discounted,0.701649,0.702258,0.000564,0.001106,1.000000,1.146050,1.146050,0.363124,0.701727,0.000079,0.000112,20000,407295012
3,"Par(Ser(v0,Par(Par(v1,v2),Par(v3,v4))),Par(Par(v5,v6),Ser(Par(v7,Par(v8,v9)),Par(v10,v11))))",12,43,5,uncoupled_index,0.701707,0.702305,0.000562,0.001101,1.000000,1.146700,1.146700,0.362812,0.701727,0.000020,0.000029,20000,407295012
3,"Par(Ser(v0,Par(Par(v1,v2),Par(v3,v4))),Par(Par(v5,v6),Ser(Par(v7,Par(v8,v9)),Par(v10,v11))))",12,43,5,single_route,0.699513,0.700436,0.000645,0.001265,0.993450,1.146350,1.127535,0.362183,0.701727,0.002214,0.003155,20000,407295012
3,"Par(Ser(v0,Par(Par(v1,v2),Par(v3,v4))),Par(Par(v5,v6),Ser(Par(v7,Par(v8,v9)),Par(v10,v11))))",12,43,5,fixed_priority,0.421349,0.421959,0.000575,0.001126,1.000000,2.536600,2.536600,0.891641,0.701727,0.280378,0.399554,20000,407295012
3,"Par(Ser(v0,Par(Par(v1,v2),Par(v3,v4))),Par(Par(v5,v6),Ser(Par(v7,Par(v8,v9)),Par(v10,v11))))",12,43,5,random_frontier,,0.446090,0.001444,0.002830,1.000000,2.386850,2.386850,0.942223,0.701727,0.255637,0.364297,20000,407295012
4,"Par(Par(Par(Ser(v0,Par(Par(v1,v2),Ser(v3,v4))),v5),Ser(v6,Ser(v7,v8))),Ser(Par(Par(v9,v10),v11),Ser(v12,v13)))",14,47,6,index_policy,0.651387,0.651509,0.001105,0.002166,0.999950,3.165000,3.164258,0.470709,0.651387,0.000000,0.000000,20000,1332073689
4,"Par(Par(Par(Ser(v0,Par(Par(v1,v2),Ser(v3,v4))),v5),Ser(v6,Ser(v7,v8))),Ser(Par(Par(v9,v10),v11),Ser(v12,v13)))",14,47,6,greedy_probability,0.218128,0.217846,0.000444,0.000871,0.999950,5.973750,5.973099,1.584087,0.651387,0.433258,0.665132,20000,1332073689
4,"Par(Par(Par(Ser(v0,Par(Par(v1,v2),Ser(v3,v4))),v5),Ser(v6,Ser(v7,v8))),Ser(Par(Par(v9,v10),v11),Ser(v12,v13)))",14,47,6,greedy_discounted,0.249945,0.249767,0.000529,0.001037,0.999950,6.223400,6.222811,1.447197,0.651387,0.401442,0.616289,20000,1332073689
4,"Par(Par(Par(Ser(v0,Par(Par(v1,v2),Ser(v3,v4))),v5),Ser(v6,Ser(v7,v8))),Ser(Par(Par(v9,v10),v11),Ser(v12,v13)))",14,47,6,uncoupled_index,0.559369,0.560847,0.000994,0.001947,0.999950,4.334700,4.334317,0.625177,0.651387,0.092018,0.141265,20000,1332073689
4,"Par(Par(Par(Ser(v0,Par(Par(v1,v2),Ser(v3,v4))),v5),Ser(v6,Ser(v7,v8))),Ser(Par(Par(v9,v10),v11),Ser(v12,v13)))",14,47,6,single_route,0.570079,0.571563,0.002127,0.004169,0.789100,2.836650,2.496959,0.366096,0.651387,0.081307,0.124822,20000,1332073689
4,"Par(Par(Par(Ser(v0,Par(Par(v1,v2),Ser(v3,v4))),v5),Ser(v6,Ser(v7,v8))),Ser(Par(Par(v9,v10),v11),Ser(v12,v13)))",14,47,6,fixed_priority,0.533063,0.534603,0.000979,0.001920,0.999900,2.902950,2.901290,0.679167,0.651387,0.118324,0.181649,20000,1332073689
4,"Par(Par(Par(Ser(v0,Par(Par(v1,v2),Ser(v3,v4))),v5),Ser(v6,Ser(v7,v8))),Ser(Par(Par(v9,v10),v11),Ser(v12,v13)))",14,47,6,random_frontier,,0.303544,0.001539,0.003017,0.999950,4.670150,4.669433,1.514651,0.651387,0.347843,0.534004,20000,1332073689
5,"Ser(Ser(Par(Par(v0,Par(v1,Par(v2,v3))),Par(Ser(v4,v5),Ser(v6,Ser(v7,v8)))),v9),Ser(Par(v10,Ser(v11,v12)),Ser(v13,v14)))",15,39,6,index_policy,0.074908,0.074859,0.000544,0.001065,0.555650,5.325400,6.359219,1.733143,0.074908,-0.000000,-0.000000,20000,1418186270
5,"Ser(Ser(Par(Par(v0,Par(v1,Par(v2,v3))),Par(Ser(v4,v5),Ser(v6,Ser(v7,v8)))),v9),Ser(Par(v10,Ser(v11,v12)),Ser(v13,v14)))",15,39,6,greedy_probability,0.026343,0.026147,0.000186,0.000364,0.553900,6.748250,8.149666,2.577593,0.074908,0.048565,0.648328,20000,1418186270
